family	coverage_bin	n_regions	percent_of_extracted_regions
CFPICI	0%	169	68.98%
CFPICI	>0-10%	45	18.37%
CFPICI	10-25%	0	0.00%
CFPICI	25-50%	0	0.00%
CFPICI	50-75%	0	0.00%
CFPICI	75-100%	31	12.65%
PICI	0%	98	17.53%
PICI	>0-10%	57	10.20%
PICI	10-25%	28	5.01%
PICI	25-50%	93	16.64%
PICI	50-75%	76	13.60%
PICI	75-100%	207	37.03%
EPIP	0%	0	0.00%
EPIP	>0-10%	0	0.00%
EPIP	10-25%	0	0.00%
EPIP	25-50%	1	50.00%
EPIP	50-75%	0	0.00%
EPIP	75-100%	1	50.00%
MFMR	0%	0	0.00%
MFMR	>0-10%	1	100.00%
MFMR	10-25%	0	0.00%
MFMR	25-50%	0	0.00%
MFMR	50-75%	0	0.00%
MFMR	75-100%	0	0.00%
P4	0%	0	0.00%
P4	>0-10%	1	4.55%
P4	10-25%	0	0.00%
P4	25-50%	8	36.36%
P4	50-75%	11	50.00%
P4	75-100%	2	9.09%
PHANIE	0%	0	—
PHANIE	>0-10%	0	—
PHANIE	10-25%	0	—
PHANIE	25-50%	0	—
PHANIE	50-75%	0	—
PHANIE	75-100%	0	—
