Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - AE005174.2	Upstream	1155	1270754	1271104	1	WP_162806827.1	100	92.3	3.02e-72	glycoside hydrolase family protein, partial [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Upstream	1156	1271559	1272128	1	WP_001056806.1	100	99.5	1.70e-134	MULTISPECIES: phage antirepressor N-terminal domain-containing protein [Enterobacteriaceae]
CFPICI REGION 1 - AE005174.2	Upstream	1157	1272128	1272274	1	WP_000539792.1	100	98.0	4.09e-22	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
CFPICI REGION 1 - AE005174.2	Upstream	1158	1272282	1272749	1	WP_001082609.1	100	99.4	2.96e-98	lysis protein [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Upstream	1159	1273112	1273339	-1	WP_000095736.1	100	98.7	4.82e-46	YlcI/YnfO family protein [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1160	1273381	1273566	1	CORE	98.4	98.4	1.30e-34	PROTEIN: WP_103745947.1 HNH endonuclease, partial [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1161	1273514	1273747	1	CORE	100	78.2	7.96e-39	PROTEIN: WP_061317680.1 HNH endonuclease, partial [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1162	1274037	1274600	1	WP_000958416.1	99.5	99.5	7.39e-119	terminase small subunit [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1163	1274597	1275853	1	CORE	99.7	94.7	3.22e-292	PROTEIN: WP_153104449.1 terminase large subunit, partial [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1164	1275825	1276259	1	WP_235162310.1	100	99.3	6.60e-97	terminase TerL endonuclease subunit, partial [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1165	1276323	1278260	1	WP_000173030.1	100	99.8	0.0	MULTISPECIES: phage major capsid protein [Enterobacteriaceae]
CFPICI REGION 1 - AE005174.2	Core	1166	1278472	1279017	1	CORE	100	92.3	1.07e-117	PROTEIN: WP_032216112.1 phage portal protein, partial [Escherichia coli]
CFPICI REGION 1 - AE005174.2	Core	1167	1279147	1279839	1	CORE	99.1	98.3	1.47e-153	PROTEIN: WP_286352573.1 phage portal protein [Escherichia coli]
