Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - NZ_AP035757.1	Upstream	2506	2674471	2674827	-1	WP_407582101.1	99.2	99.2	8.82e-80	phage tail tube protein [Escherichia coli]
CFPICI REGION 1 - NZ_AP035757.1	Upstream	2507	2674827	2676323	-1	WP_000155732.1	99.6	99.8	0.0	phage tail sheath subtilisin-like domain-containing protein [Escherichia coli]
CFPICI REGION 1 - NZ_AP035757.1	Upstream	2508	2676307	2676477	-1	WP_000497751.1	100	98.2	6.03e-34	MULTISPECIES: DUF2635 domain-containing protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Upstream	2509	2676486	2677046	-1	WP_000779292.1	100	99.5	1.11e-133	MULTISPECIES: phage tail terminator protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Upstream	2510	2677043	2677549	-1	YP_008318488.1	99.4	99.4	4.63e-115	tail completion or Neck1 protein [Shigella phage SfII]
CFPICI REGION 1 - NZ_AP035757.1	Core	2511	2677524	2677934	-1	CORE	100	99.3	7.96e-96	PROTEIN: WP_000702388.1 MULTISPECIES: phage head closure protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2512	2677931	2678254	-1	CORE	100	99.1	2.87e-73	PROTEIN: WP_000927711.1 MULTISPECIES: head-tail connector protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2513	2678257	2678457	-1	WP_000601365.1	98.5	98.5	1.02e-34	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2514	2678507	2679712	-1	WP_000257507.1	100	99.8	3.00e-282	MULTISPECIES: phage major capsid protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2515	2679727	2680377	-1	CORE	100	99.5	1.12e-150	PROTEIN: WP_001193631.1 MULTISPECIES: HK97 family phage prohead protease [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2516	2680355	2681596	-1	CORE	100	99.8	3.66e-305	PROTEIN: WP_053286221.1 MULTISPECIES: phage portal protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2517	2681596	2681778	-1	WP_096941659.1	100	98.4	2.76e-34	MULTISPECIES: protein YmfR [Escherichia]
CFPICI REGION 1 - NZ_AP035757.1	Core	2518	2681790	2683523	-1	CORE	100	99.8	0.0	PROTEIN: WP_000088150.1 MULTISPECIES: terminase large subunit [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2519	2683520	2684014	-1	CORE	100	99.4	3.28e-113	PROTEIN: WP_000929175.1 MULTISPECIES: phage terminase small subunit P27 family [Enterobacteriaceae]
CFPICI REGION 1 - NZ_AP035757.1	Core	2520	2684140	2684490	-1	CORE	100	99.1	3.47e-85	PROTEIN: WP_057509642.1 HNH endonuclease [Escherichia coli]
CFPICI REGION 1 - NZ_AP035757.1	Downstream	2521	2684570	2684869	1	WP_256793751.1	98.5	66.0	1.88e-41	hypothetical protein, partial [Escherichia coli]
CFPICI REGION 1 - NZ_AP035757.1	Downstream	2522	2685051	2685443	-1	WP_061356347.1	100	99.2	1.11e-81	DUF2570 domain-containing protein [Escherichia coli]
