Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NC_004668.1	Upstream	2825	2815365	2816678	-1	WP_002355107.1	100	99.8	5.28e-292	MULTISPECIES: NCS2 family permease [Enterococcus]
PICI REGION 1 - NC_004668.1	Upstream	2826	2816901	2817290	-1	WP_258956755.1	32.3	97.7	5.57e-17	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 1 - NC_004668.1	Upstream	2827	2817287	2817625	-1	WP_010714129.1	100	99.1	1.90e-69	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Upstream	2828	2817629	2817838	-1	WP_427813826.1	62.7	84.3	4.69e-18	DNA helicase UvrB [Enterococcus sp. 22-H-5-01]
PICI REGION 1 - NC_004668.1	Upstream	2829	2817863	2818141	-1	WP_202530392.1	39.7	78.5	5.83e-06	helix-turn-helix domain-containing protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2830	2818345	2818548	-1	CORE	100	98.5	2.10e-41	PROTEIN: WP_010714131.1 MULTISPECIES: cold-shock protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2831	2818565	2819137	-1	WP_010714132.1	100	99.5	1.74e-123	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2832	2819152	2819349	-1	WP_010714133.1	100	98.5	5.59e-25	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2833	2819330	2819887	-1	WP_010714134.1	100	99.5	4.35e-135	MULTISPECIES: DarT ssDNA thymidine ADP-ribosyltransferase family protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2834	2819916	2820449	-1	WP_011109572.1	100	99.4	4.21e-120	hypothetical protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2835	2820430	2820912	-1	WP_010714136.1	100	99.4	5.07e-106	hypothetical protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2836	2821157	2821297	-1	CORE	100	97.9	2.61e-24	PROTEIN: WP_010707097.1 MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2837	2821576	2821719	-1	WP_010714137.1	100	97.9	1.06e-19	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2838	2821725	2821904	-1	WP_010714138.1	100	98.3	7.40e-34	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2839	2821957	2822367	-1	WP_010714139.1	100	99.3	3.00e-91	MULTISPECIES: DUF3206 domain-containing protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2840	2822713	2825061	-1	CORE	100	99.9	0.0	PROTEIN: WP_010714140.1 DNA primase family protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2841	2825114	2825362	-1	WP_010714141.1	100	98.8	6.23e-52	hypothetical protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2842	2825362	2825658	-1	WP_010714142.1	100	99.0	1.89e-58	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2843	2825668	2826333	-1	CORE	100	99.5	1.84e-147	PROTEIN: WP_010714143.1 Rha family transcriptional regulator [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2844	2826337	2826585	-1	WP_010707091.1	100	98.8	4.22e-50	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NC_004668.1	Core	2845	2826669	2826986	-1	WP_010707090.1	100	99.1	8.00e-70	hypothetical protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2846	2826991	2827200	-1	WP_010707089.1	100	98.6	1.59e-37	helix-turn-helix domain-containing protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2847	2827370	2828320	1	WP_010707088.1	100	99.7	6.89e-220	helix-turn-helix domain-containing protein [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Core	2848	2828409	2829554	1	CORE	100	99.7	1.72e-280	PROTEIN: WP_010707087.1 site-specific integrase [Enterococcus faecalis]
PICI REGION 1 - NC_004668.1	Downstream	2849	2829780	2830517	-1	WP_002359155.1	100	99.6	1.89e-161	MULTISPECIES: SDR family oxidoreductase [Enterococcus]
PICI REGION 1 - NC_004668.1	Downstream	2850	2830517	2831098	-1	WP_002355105.1	100	99.5	2.58e-131	MULTISPECIES: DapH/DapD/GlmU-related protein [Enterococcus]
PICI REGION 1 - NC_004668.1	Downstream	2851	2831206	2832090	1	WP_002370030.1	100	99.7	3.11e-205	MULTISPECIES: LysR family transcriptional regulator [Enterococcus]
PICI REGION 1 - NC_004668.1	Downstream	2852	2832110	2832997	-1	WP_002378904.1	100	99.7	4.21e-199	MULTISPECIES: ribose/proton symporter RbsU [Enterococcus]
PICI REGION 1 - NC_004668.1	Downstream	2853	2833018	2833413	-1	WP_002359153.1	100	99.2	2.71e-87	MULTISPECIES: D-ribose pyranase [Bacteria]
PICI REGION 2 - NC_004668.1	Upstream	1384	1403818	1404108	1	WP_002392047.1	100	99.0	1.51e-63	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Upstream	1385	1404113	1406236	1	WP_010774194.1	100	99.9	0.0	AAA family ATPase [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Upstream	1386	1406237	1406491	1	WP_010774195.1	100	98.8	5.85e-60	hypothetical protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Upstream	1387	1406481	1407668	1	WP_010774196.1	100	99.7	2.24e-274	hypothetical protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Upstream	1388	1407668	1408369	1	WP_002390536.1	100	99.6	4.73e-165	MULTISPECIES: MBL fold metallo-hydrolase [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1389	1408387	1409145	1	CORE	99.6	99.6	4.49e-173	PROTEIN: WP_002386717.1 MULTISPECIES: DnaD domain protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1390	1409161	1409658	1	WP_010774197.1	100	99.4	8.37e-121	Holliday junction resolvase RecU [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1391	1409679	1409993	1	WP_002390537.1	100	99.0	1.56e-71	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1392	1410077	1410826	1	WP_002390538.1	100	99.6	8.48e-176	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1393	1410851	1411078	1	WP_002390542.1	100	98.7	3.39e-46	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1394	1411099	1411326	1	WP_002390543.1	100	98.7	2.04e-47	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1395	1411332	1411757	1	WP_002399988.1	100	99.3	5.89e-101	YopX family protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1396	1411741	1412178	1	WP_002399989.1	100	99.3	5.47e-105	YopX family protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1397	1412179	1412517	1	WP_002399990.1	100	99.1	3.55e-74	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1398	1412514	1412867	1	WP_002399991.1	100	99.2	2.75e-78	MULTISPECIES: DNA topoisomerase [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1399	1412864	1413451	1	WP_002399992.1	100	99.5	2.59e-141	DUF1642 domain-containing protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1400	1413448	1413933	1	WP_002399993.1	100	99.4	1.35e-115	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1401	1413934	1414251	1	WP_002399994.1	100	99.1	4.29e-65	MULTISPECIES: replicase [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1402	1414245	1414451	1	WP_002399995.1	100	98.6	2.00e-44	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1403	1414452	1414631	1	WP_002377565.1	100	98.3	1.28e-34	MULTISPECIES: DUF6877 family protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1404	1414664	1414756	1	YP_003358849.1	89.7	93.5	2.78e-05	hypothetical protein PHIEF11_0059 [Enterococcus phage phiEf11]
PICI REGION 2 - NC_004668.1	Core	1405	1414772	1414951	1	WP_010706619.1	100	98.3	5.21e-34	MULTISPECIES: XtrA/YqaO family protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1406	1415052	1415636	1	CORE	100	99.5	3.39e-132	PROTEIN: WP_010774200.1 sigma factor-like helix-turn-helix DNA-binding protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1407	1416071	1416274	1	WP_108355487.1	66.7	92.6	3.71e-24	hypothetical protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1408	1416376	1416645	1	WP_010708196.1	100	98.9	5.29e-54	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1409	1416690	1417958	1	WP_010774201.1	100	99.8	4.17e-311	site-specific DNA-methyltransferase [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Core	1410	1418042	1418314	1	WP_002386742.1	100	83.5	1.27e-43	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Core	1411	1418329	1419054	1	CORE	100	99.6	1.90e-159	PROTEIN: WP_002399998.1 MULTISPECIES: terminase small subunit [Enterococcus]
PICI REGION 2 - NC_004668.1	Downstream	1412	1419035	1420471	1	WP_002399999.1	100	99.8	0.0	MULTISPECIES: phage terminase large subunit [Enterococcus]
PICI REGION 2 - NC_004668.1	Downstream	1413	1420494	1421888	1	WP_002400000.1	100	99.8	0.0	DUF1073 domain-containing protein [Enterococcus faecalis]
PICI REGION 2 - NC_004668.1	Downstream	1414	1421878	1423122	1	WP_010774202.1	100	99.8	1.07e-293	MULTISPECIES: minor capsid protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Downstream	1415	1423115	1423279	1	WP_002390571.1	100	98.2	2.27e-26	MULTISPECIES: hypothetical protein [Enterococcus]
PICI REGION 2 - NC_004668.1	Downstream	1416	1423336	1423623	1	WP_002386748.1	100	99.0	5.93e-65	MULTISPECIES: DUF6275 family protein [Enterococcus]
