Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
P4 REGION 1 - NZ_CP125889.1	Upstream	1770	1750827	1751168	1	WP_001203437.1	100	99.1	3.82e-74	MULTISPECIES: outer membrane protein assembly factor BamE [Bacteria]
P4 REGION 1 - NZ_CP125889.1	Upstream	1771	1751230	1751520	-1	WP_001117838.1	100	99.0	8.10e-59	MULTISPECIES: RnfH family protein [Pseudomonadati]
P4 REGION 1 - NZ_CP125889.1	Upstream	1772	1751510	1751986	-1	YP_009949246.1	100	99.4	1.78e-105	type II toxin-antitoxin system toxin RatA [Escherichia phage 500465-1]
P4 REGION 1 - NZ_CP125889.1	Upstream	1773	1752118	1752600	1	WP_000162574.1	100	99.4	1.91e-110	MULTISPECIES: SsrA-binding protein SmpB [Enterobacteriaceae]
P4 REGION 1 - NZ_CP125889.1	Upstream	1774	1752776	1752901	1	YP_009949244.1	100	97.6	7.18e-22	hypothetical protein HYO67_gp45 [Escherichia phage 500465-1]
P4 REGION 1 - NZ_CP125889.1	Core	1775	1753362	1754570	1	CORE	100	99.8	3.68e-288	PROTEIN: WP_000124726.1 MULTISPECIES: integrase domain-containing protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CP125889.1	Core	1776	1754574	1756532	1	WP_001183326.1	100	99.8	0.0	MULTISPECIES: NACHT domain-containing protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CP125889.1	Core	1777	1756750	1757322	-1	CORE	100	99.5	2.21e-126	PROTEIN: WP_000446132.1 MULTISPECIES: phage polarity suppression protein [Enterobacterales]
P4 REGION 1 - NZ_CP125889.1	Core	1778	1757396	1757896	-1	CORE	100	99.4	2.91e-117	PROTEIN: WP_000638635.1 MULTISPECIES: ogr/Delta-like zinc finger family protein [Enterobacterales]
P4 REGION 1 - NZ_CP125889.1	Core	1779	1757893	1758627	-1	WP_309598141.1	100	99.6	5.70e-167	glycoprotein 3 [Escherichia coli]
P4 REGION 1 - NZ_CP125889.1	Core	1780	1759180	1759446	1	WP_001149160.1	100	98.9	3.73e-58	MULTISPECIES: helix-turn-helix transcriptional regulator [Bacteria]
P4 REGION 1 - NZ_CP125889.1	Core	1781	1759443	1760042	1	CORE	100	99.5	1.61e-137	PROTEIN: WP_039264337.1 MULTISPECIES: host cell division inhibitor Icd-like protein [Escherichia]
P4 REGION 1 - NZ_CP125889.1	Core	1782	1760035	1760322	1	CORE	100	99.0	8.12e-63	PROTEIN: NP_042039.1 helper derepression protein [Enterobacteria phage P4]
P4 REGION 1 - NZ_CP125889.1	Core	1783	1760315	1760770	1	WP_000459301.1	100	99.3	4.98e-113	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CP125889.1	Core	1784	1760906	1761226	1	CORE	100	99.1	5.18e-71	PROTEIN: WP_000856729.1 MULTISPECIES: DUF5375 domain-containing protein [Enterobacterales]
P4 REGION 1 - NZ_CP125889.1	Core	1785	1761241	1763574	1	WP_309598142.1	100	99.9	0.0	primase-helicase zinc-binding domain-containing protein [Escherichia coli]
P4 REGION 1 - NZ_CP125889.1	Core	1786	1764138	1765061	-1	WP_015431536.1	100	99.7	2.31e-218	IS30 family transposase [Escherichia coli]
P4 REGION 1 - NZ_CP125889.1	Core	1787	1765294	1766523	1	CORE	100	99.8	4.37e-295	PROTEIN: WP_001341819.1 MULTISPECIES: integrase domain-containing protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CP125889.1	Downstream	1788	1766562	1766978	1	WP_000448925.1	100	99.3	2.55e-93	MULTISPECIES: hypothetical protein [Enterobacterales]
P4 REGION 1 - NZ_CP125889.1	Downstream	1789	1767050	1768798	-1	WP_000214985.1	100	99.8	0.0	response regulator receiver domain [Escherichia coli]
P4 REGION 1 - NZ_CP125889.1	Downstream	1790	1768800	1770518	-1	WP_000577254.1	100	99.8	0.0	MULTISPECIES: ATP-binding protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CP125889.1	Downstream	1791	1770670	1771536	-1	WP_000878218.1	100	99.7	7.47e-219	IS3 family transposase [Escherichia coli]
P4 REGION 1 - NZ_CP125889.1	Downstream	1792	1771533	1771832	-1	WP_000169527.1	100	99.0	1.13e-55	MULTISPECIES: transposase [Enterobacteriaceae]
