Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - BAAHTQ010000004.1	Upstream	116	125267	125713	-1	WP_000442601.1	100	99.3	5.01e-98	MULTISPECIES: phage tail assembly chaperone G [Bacteria]
CFPICI REGION 1 - BAAHTQ010000004.1	Upstream	117	125778	126731	-1	WP_000570652.1	100	99.7	6.38e-221	MULTISPECIES: major tail protein [Bacteria]
CFPICI REGION 1 - BAAHTQ010000004.1	Upstream	118	126732	127112	-1	YP_918935.1	99.2	99.2	4.41e-86	tail terminator [Staphylococcus phage phiPVL108]
CFPICI REGION 1 - BAAHTQ010000004.1	Upstream	119	127109	127486	-1	WP_000501244.1	100	99.2	1.48e-79	MULTISPECIES: HK97-gp10 family putative phage morphogenesis protein [Bacteria]
CFPICI REGION 1 - BAAHTQ010000004.1	Upstream	120	127486	127821	-1	WP_000975314.1	100	99.1	8.72e-79	MULTISPECIES: phage head completion protein [Bacteria]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	121	127808	128140	-1	CORE	100	99.1	1.07e-74	PROTEIN: WP_001177483.1 MULTISPECIES: head-tail connector protein [Bacilli]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	122	128149	128307	-1	NP_061633.1	100	98.1	1.64e-25	phi PVL ORF 8 homologue [Staphylococcus prophage phiPV83]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	123	128343	129590	-1	WP_432480042.1	96.9	99.8	7.49e-274	phage major capsid protein [Staphylococcus aureus]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	124	129678	130262	-1	CORE	100	99.5	1.23e-134	PROTEIN: WP_000032525.1 MULTISPECIES: HK97 family phage prohead protease [Staphylococcus]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	125	130255	131505	-1	CORE	100	99.8	4.76e-298	PROTEIN: WP_000511067.1 MULTISPECIES: phage portal protein [Staphylococcus]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	126	131511	131750	-1	WP_000644964.1	100	98.8	4.50e-46	membrane protein [Staphylococcus aureus]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	127	131725	133419	-1	CORE	100	99.8	0.0	PROTEIN: WP_000133304.1 MULTISPECIES: terminase large subunit [Staphylococcus]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	128	133422	133889	-1	WP_000919026.1	100	99.4	1.93e-103	MULTISPECIES: phage terminase small subunit P27 family [Bacteria]
CFPICI REGION 1 - BAAHTQ010000004.1	Core	129	134018	134362	-1	CORE	100	99.1	1.00e-83	PROTEIN: WP_000817289.1 MULTISPECIES: HNH endonuclease [Bacilli]
CFPICI REGION 1 - BAAHTQ010000004.1	Downstream	130	134378	134830	-1	WP_000406191.1	100	99.3	7.37e-101	MULTISPECIES: nucleoside triphosphate pyrophosphohydrolase family protein [Bacilli]
CFPICI REGION 1 - BAAHTQ010000004.1	Downstream	131	134945	135415	-1	WP_000282755.1	99.4	99.4	4.00e-92	MULTISPECIES: hypothetical protein [Staphylococcus]
CFPICI REGION 1 - BAAHTQ010000004.1	Downstream	132	135438	135641	-1	WP_000989990.1	98.5	98.5	3.96e-37	MULTISPECIES: DUF1514 family protein [Bacteria]
CFPICI REGION 1 - BAAHTQ010000004.1	Downstream	133	135638	136288	-1	NP_958667.1	100	99.5	5.33e-149	77ORF019 [Staphylococcus phage 77]
CFPICI REGION 1 - BAAHTQ010000004.1	Downstream	134	136295	136447	-1	NP_958666.1	100	98.0	8.04e-23	77ORF108 [Staphylococcus phage 77]
