Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - FR821779.1	Upstream	763	848427	848813	1	WP_001018959.1	100	99.2	2.64e-88	MULTISPECIES: toprim domain-containing protein [Staphylococcus]
PICI REGION 1 - FR821779.1	Upstream	764	848806	849102	1	WP_001065801.1	100	99.0	5.19e-65	MULTISPECIES: thioredoxin family protein [Staphylococcus]
PICI REGION 1 - FR821779.1	Upstream	765	849352	850377	1	WP_000571213.1	100	99.7	1.00e-236	MULTISPECIES: methionine ABC transporter ATP-binding protein [Staphylococcus]
PICI REGION 1 - FR821779.1	Upstream	766	850370	851065	1	WP_428701096.1	99.6	99.6	5.36e-129	methionine ABC transporter permease [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Upstream	767	851083	851904	1	WP_000732330.1	100	99.6	6.21e-190	MetQ/NlpA family ABC transporter substrate-binding protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	768	852047	853267	-1	CORE	100	99.8	3.70e-290	PROTEIN: WP_000264629.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	769	853282	853983	-1	WP_000668211.1	100	99.6	6.37e-154	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	770	854127	854339	1	WP_001245563.1	100	98.6	1.83e-41	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	771	854340	854612	1	WP_070030927.1	98.9	98.9	2.50e-57	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	772	854603	854770	1	WP_070003265.1	97.9	85.7	2.73e-22	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	773	854763	854975	1	WP_001058499.1	100	98.6	3.69e-41	type II toxin-antitoxin system antitoxin TscA [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	774	854977	855336	1	WP_070007347.1	93.3	99.2	1.84e-68	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	775	855337	855636	1	WP_001103937.1	100	99.0	1.88e-63	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	776	855711	857324	1	WP_070001322.1	99.8	99.8	0.0	phage resistance protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	777	857495	858298	1	CORE	100	99.6	1.95e-199	PROTEIN: WP_000148366.1 bifunctional DNA primase/polymerase [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	778	858285	858557	1	WP_078370820.1	98.9	98.9	1.24e-57	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	779	858559	859200	1	WP_070043497.1	99.5	99.5	7.32e-150	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	780	859549	859890	1	WP_252602652.1	99.1	99.1	9.37e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	781	859904	860137	1	WP_000449694.1	100	98.7	1.48e-41	hypothetical protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	782	860103	860669	1	WP_096659590.1	89.6	91.5	2.52e-98	coiled-coil domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	783	860759	861286	1	WP_000771351.1	100	99.4	2.86e-117	spore coat protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	784	861289	861630	1	WP_070043472.1	90.3	99.1	4.83e-68	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Core	785	861627	862196	1	CORE	100	99.5	1.56e-130	PROTEIN: WP_001293082.1 terminase small subunit [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Downstream	786	862271	862630	-1	WP_000935289.1	100	99.2	2.62e-77	hypothetical protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Downstream	787	862747	863136	-1	WP_000362904.1	100	99.2	1.78e-82	hypothetical protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Downstream	788	863138	864349	-1	WP_000369273.1	100	99.8	7.19e-291	hypothetical protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Downstream	789	864388	864768	1	WP_173361317.1	100	99.2	1.39e-83	DUF1433 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - FR821779.1	Downstream	790	865491	865949	-1	WP_251642263.1	82.5	35.9	4.29e-24	hypothetical protein, partial [Staphylococcus aureus]
