Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - NC_004668.1	Upstream	2708	2711450	2713753	-1	WP_010714097.1	100	99.9	0.0	MULTISPECIES: phage tail tape measure protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Upstream	2709	2713945	2714400	-1	WP_002380802.1	100	99.3	7.34e-97	MULTISPECIES: hypothetical protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Upstream	2710	2714400	2715044	-1	WP_002385663.1	100	99.5	6.77e-151	MULTISPECIES: major tail protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Upstream	2711	2715041	2715403	-1	WP_002385662.1	100	99.2	2.07e-79	MULTISPECIES: HK97-gp10 family putative phage morphogenesis protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Upstream	2712	2715393	2715731	-1	WP_002385661.1	100	99.1	1.50e-75	MULTISPECIES: hypothetical protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Core	2713	2715721	2716047	-1	CORE	100	99.1	5.78e-69	PROTEIN: WP_002365100.1 MULTISPECIES: phage head closure protein [Bacteria]
CFPICI REGION 1 - NC_004668.1	Core	2714	2716025	2716306	-1	CORE	100	98.9	1.32e-58	PROTEIN: WP_002365101.1 head-tail connector protein [Enterobacter hormaechei]
CFPICI REGION 1 - NC_004668.1	Core	2715	2716308	2717672	-1	WP_002415255.1	100	99.8	1.19e-292	MULTISPECIES: phage major capsid protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Core	2716	2717685	2718257	-1	CORE	100	99.5	1.69e-130	PROTEIN: WP_002385658.1 MULTISPECIES: HK97 family phage prohead protease [Bacteria]
CFPICI REGION 1 - NC_004668.1	Core	2717	2718229	2719455	-1	CORE	100	99.8	4.71e-294	PROTEIN: WP_010714098.1 MULTISPECIES: phage portal protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Core	2718	2719474	2721201	-1	CORE	100	99.8	0.0	PROTEIN: WP_010706848.1 MULTISPECIES: terminase large subunit [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Core	2719	2721198	2721650	-1	WP_010714099.1	100	99.3	8.61e-100	MULTISPECIES: P27 family phage terminase small subunit [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Core	2720	2721761	2722135	-1	CORE	100	99.2	1.48e-92	PROTEIN: WP_002365108.1 MULTISPECIES: HNH endonuclease [Bacteria]
CFPICI REGION 1 - NC_004668.1	Downstream	2721	2722135	2722542	-1	WP_010714100.1	100	99.3	1.09e-79	MULTISPECIES: hypothetical protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Downstream	2722	2723070	2723603	-1	WP_002358088.1	100	87.1	4.92e-105	MULTISPECIES: ArpU family phage packaging/lysis transcriptional regulator [Bacteria]
CFPICI REGION 1 - NC_004668.1	Downstream	2723	2723745	2723978	-1	WP_010714101.1	100	98.7	8.79e-52	MULTISPECIES: hypothetical protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Downstream	2724	2724161	2724343	-1	WP_010714102.1	100	98.4	3.35e-35	MULTISPECIES: hypothetical protein [Enterococcus]
CFPICI REGION 1 - NC_004668.1	Downstream	2726	2724686	2724784	-1	WP_048960176.1	81.3	97.0	2.93e-08	DEAD/DEAH box helicase family protein, partial [Enterococcus faecalis]
