Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHVC010000001.1	Upstream	148	158356	159663	-1	WP_000205572.1	100	99.8	1.06e-306	MULTISPECIES: Fe-S cluster assembly protein SufD [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Upstream	149	159761	160522	-1	WP_000168845.1	100	99.6	8.13e-176	MULTISPECIES: Fe-S cluster assembly ATPase SufC [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Upstream	150	160850	161701	1	WP_141065376.1	95.8	99.6	4.04e-175	DUF368 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Upstream	151	161934	162128	-1	WP_000752917.1	100	98.5	3.63e-34	MULTISPECIES: CsbD family protein [Bacillati]
PICI REGION 1 - BAAHVC010000001.1	Upstream	152	163162	163716	1	WP_001035618.1	100	99.5	7.17e-120	DUF4888 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	153	163951	164919	-1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Core	154	165348	165839	-1	WP_234694358.1	99.4	99.4	1.89e-105	pathogenicity island protein, partial [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	155	166023	167081	-1	WP_000657538.1	100	99.7	1.11e-250	phage capsid protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	156	167068	167274	-1	WP_000884055.1	100	98.6	1.12e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Core	157	167255	167461	-1	WP_326515163.1	56.9	73.9	3.42e-12	hypothetical protein [Staphylococcus hominis]
PICI REGION 1 - BAAHVC010000001.1	Core	158	167499	167843	-1	WP_123073285.1	99.1	99.1	1.61e-80	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	159	168514	170886	-1	WP_000985235.1	100	99.9	0.0	phage/plasmid primase, P4 family [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	160	170978	171226	-1	WP_001103959.1	100	98.8	5.32e-53	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	161	171227	171610	-1	WP_303751621.1	98.4	99.2	4.39e-82	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	162	171612	171815	-1	WP_164071220.1	98.5	98.5	6.04e-41	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	163	171782	171976	-1	WP_141060246.1	100	87.7	2.71e-29	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	164	171967	172239	-1	WP_000091732.1	100	98.9	1.24e-57	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	165	172232	172495	-1	WP_031784022.1	100	98.9	3.35e-56	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	166	172688	173020	1	WP_001260004.1	100	99.1	1.92e-68	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Core	167	173032	173490	1	WP_000281658.1	100	99.3	3.93e-106	MULTISPECIES: ImmA/IrrE family metallo-endopeptidase [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Core	168	173507	174235	1	WP_001033321.1	100	99.6	4.55e-172	MULTISPECIES: staphylococcal enterotoxin type Q [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Core	169	174259	174987	1	WP_000734020.1	100	99.6	2.63e-171	staphylococcal enterotoxin type K [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Core	170	175075	176295	1	CORE	100	99.8	3.04e-289	PROTEIN: WP_000266158.1 MULTISPECIES: tyrosine-type recombinase/integrase [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Downstream	171	176438	177259	-1	WP_000732326.1	100	99.6	8.83e-190	MULTISPECIES: MetQ/NlpA family ABC transporter substrate-binding protein [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Downstream	172	177277	177972	-1	WP_428701096.1	99.6	99.6	5.36e-129	methionine ABC transporter permease [Staphylococcus aureus]
PICI REGION 1 - BAAHVC010000001.1	Downstream	173	177965	178990	-1	WP_000571218.1	100	99.7	2.87e-236	MULTISPECIES: methionine ABC transporter ATP-binding protein [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Downstream	174	179240	179536	-1	WP_001065801.1	100	99.0	5.19e-65	MULTISPECIES: thioredoxin family protein [Staphylococcus]
PICI REGION 1 - BAAHVC010000001.1	Downstream	175	179529	179915	-1	WP_001018962.1	100	99.2	3.08e-87	MULTISPECIES: toprim domain-containing protein [Staphylococcus]
