Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHTT010000002.1	Upstream	289	319700	320881	1	WP_000199069.1	100	99.7	2.00e-276	MULTISPECIES: acetyl-CoA C-acetyltransferase [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Upstream	290	320964	321716	-1	WP_000195907.1	100	99.6	3.36e-187	MULTISPECIES: cyclase family protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Upstream	291	321759	323987	-1	WP_000207619.1	100	99.9	0.0	MULTISPECIES: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Upstream	292	323984	325825	-1	WP_000077320.1	100	99.8	0.0	MULTISPECIES: bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Upstream	293	325794	326954	-1	WP_000175854.1	100	99.7	1.35e-275	MULTISPECIES: cystathionine beta-lyase MetC [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	294	326951	328054	-1	CORE	100	99.7	2.66e-261	PROTEIN: WP_000655703.1 MULTISPECIES: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	296	328718	329563	1	WP_001566903.1	100	99.6	1.57e-187	MULTISPECIES: ParB/RepB/Spo0J family partition protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	297	329720	330601	1	WP_001077602.1	100	99.7	4.03e-150	MULTISPECIES: mechanosensitive ion channel family protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	298	330631	330834	1	WP_000157345.1	100	98.5	1.48e-41	MULTISPECIES: DUF951 domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	299	330846	331943	1	WP_001218732.1	100	99.7	2.44e-256	MULTISPECIES: redox-regulated ATPase YchF [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	300	332029	332220	-1	WP_001052483.1	100	98.4	9.23e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	301	332464	332760	1	WP_001261460.1	100	99.0	3.52e-63	MULTISPECIES: 30S ribosomal protein S6 [Bacteria]
PICI REGION 1 - BAAHTT010000002.1	Core	302	332781	333284	1	WP_061839556.1	91.6	99.4	1.08e-99	single-stranded DNA-binding protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTT010000002.1	Core	303	333336	333578	1	WP_000897044.1	100	98.8	3.02e-49	MULTISPECIES: 30S ribosomal protein S18 [Bacteria]
PICI REGION 1 - BAAHTT010000002.1	Core	304	333844	334836	-1	CORE	100	94.3	9.74e-225	PROTEIN: WP_072419886.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Core	305	335116	335244	-1	CORE	79.4	79.1	5.24e-06	PROTEIN: WP_326024596.1 tyrosine-type recombinase/integrase [Staphylococcus saprophyticus]
PICI REGION 1 - BAAHTT010000002.1	Core	306	335241	335381	-1	CORE	100	97.9	1.48e-24	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHTT010000002.1	Downstream	307	335741	336352	1	WP_000473941.1	100	99.5	1.13e-139	exotoxin beta-grasp domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTT010000002.1	Downstream	309	336721	337122	1	WP_000849170.1	100	99.3	1.82e-86	MULTISPECIES: YxeA family protein [unclassified Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Downstream	310	337237	337842	1	WP_000769722.1	100	94.1	9.10e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Downstream	311	337980	338243	-1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTT010000002.1	Downstream	312	338537	338788	1	WP_000466739.1	100	98.8	3.61e-38	MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus]
