Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - CM132592.1	Upstream	2323	2312718	2313083	-1	WP_170959132.1	100	99.2	8.06e-82	MULTISPECIES: alkylphosphonate utilization protein [Lactococcus]
PICI REGION 1 - CM132592.1	Upstream	2324	2313133	2314353	-1	WP_259745502.1	99.2	96.3	5.04e-280	tyrosine-type recombinase/integrase [Lactococcus lactis]
PICI REGION 1 - CM132592.1	Upstream	2325	2314829	2315407	-1	WP_418887580.1	98.8	86.5	7.66e-111	helix-turn-helix domain-containing protein [Lactococcus lactis]
PICI REGION 1 - CM132592.1	Upstream	2326	2315594	2315791	1	WP_014573247.1	100	98.5	1.16e-35	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - CM132592.1	Upstream	2327	2315795	2316043	1	WP_252462220.1	96.3	98.8	1.12e-48	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - CM132592.1	Core	2328	2316159	2316353	1	CORE	100	98.5	1.59e-37	PROTEIN: WP_396425219.1 DUF1655 domain-containing protein [Lactococcus cremoris]
PICI REGION 1 - CM132592.1	Core	2329	2316358	2316783	1	WP_025017042.1	98.6	99.3	1.65e-95	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - CM132592.1	Core	2330	2316795	2317076	1	WP_025017041.1	100	98.9	1.17e-61	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - CM132592.1	Core	2331	2317114	2317353	1	WP_101944598.1	98.7	98.8	3.41e-50	hypothetical protein [Lactococcus cremoris]
PICI REGION 1 - CM132592.1	Core	2332	2317350	2317604	1	WP_350028602.1	94.0	98.8	2.06e-51	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - CM132592.1	Core	2333	2317601	2317795	1	WP_012898685.1	100	98.5	6.49e-37	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - CM132592.1	Core	2334	2317782	2318111	1	WP_098123232.1	99.1	99.1	7.85e-72	hypothetical protein [Acetobacter fabarum]
