Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHSY010000001.1	Upstream	272	274866	275252	1	WP_001018962.1	100	99.2	3.08e-87	MULTISPECIES: toprim domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Upstream	273	275245	275541	1	WP_001065801.1	100	99.0	5.19e-65	MULTISPECIES: thioredoxin family protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Upstream	274	275791	276816	1	WP_000571218.1	100	99.7	2.87e-236	MULTISPECIES: methionine ABC transporter ATP-binding protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Upstream	275	276809	277504	1	WP_428701096.1	99.6	99.6	5.36e-129	methionine ABC transporter permease [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Upstream	276	277522	278343	1	WP_000732326.1	100	99.6	8.83e-190	MULTISPECIES: MetQ/NlpA family ABC transporter substrate-binding protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	277	278486	279706	-1	CORE	100	99.8	3.04e-289	PROTEIN: WP_000266158.1 MULTISPECIES: tyrosine-type recombinase/integrase [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	278	279794	280522	-1	WP_000734020.1	100	99.6	2.63e-171	staphylococcal enterotoxin type K [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	279	280546	281274	-1	WP_001033321.1	100	99.6	4.55e-172	MULTISPECIES: staphylococcal enterotoxin type Q [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	280	281291	281749	-1	WP_000281658.1	100	99.3	3.93e-106	MULTISPECIES: ImmA/IrrE family metallo-endopeptidase [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	281	281761	282093	-1	WP_001260004.1	100	99.1	1.92e-68	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	282	282286	282549	1	WP_000243849.1	100	98.9	5.77e-57	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	283	282542	282814	1	WP_000091732.1	100	98.9	1.24e-57	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	284	282805	282999	1	WP_141060246.1	100	87.7	2.71e-29	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	285	282966	283169	1	WP_164071220.1	98.5	98.5	6.04e-41	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	286	283171	283554	1	WP_303751621.1	98.4	99.2	4.39e-82	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	287	283555	283803	1	WP_001103959.1	100	98.8	5.32e-53	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	288	283895	286267	1	WP_000985235.1	100	99.9	0.0	phage/plasmid primase, P4 family [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	289	286938	287282	1	WP_123073285.1	99.1	99.1	1.61e-80	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	290	287320	287526	1	WP_326515163.1	56.9	73.9	3.42e-12	hypothetical protein [Staphylococcus hominis]
PICI REGION 1 - BAAHSY010000001.1	Core	291	287507	287713	1	WP_000884055.1	100	98.6	1.12e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Core	292	287700	288758	1	WP_000657538.1	100	99.7	1.11e-250	phage capsid protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	293	288942	289433	1	WP_234694358.1	99.4	99.4	1.89e-105	pathogenicity island protein, partial [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Core	294	289862	290830	1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Downstream	295	291065	291619	-1	WP_001035618.1	100	99.5	7.17e-120	DUF4888 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Downstream	296	292653	292847	1	WP_000752917.1	100	98.5	3.63e-34	MULTISPECIES: CsbD family protein [Bacillati]
PICI REGION 1 - BAAHSY010000001.1	Downstream	297	293080	293931	-1	WP_141065376.1	95.8	99.6	4.04e-175	DUF368 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSY010000001.1	Downstream	298	294259	295020	1	WP_000168845.1	100	99.6	8.13e-176	MULTISPECIES: Fe-S cluster assembly ATPase SufC [Staphylococcus]
PICI REGION 1 - BAAHSY010000001.1	Downstream	299	295118	296425	1	WP_000205572.1	100	99.8	1.06e-306	MULTISPECIES: Fe-S cluster assembly protein SufD [Staphylococcus]
