Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - NZ_CM128597.1	Upstream	4424	4810775	4811140	1	WP_087604723.1	100	99.2	5.87e-82	MULTISPECIES: antiterminator Q family protein [Escherichia]
CFPICI REGION 1 - NZ_CM128597.1	Upstream	4425	4811181	4811996	-1	WP_000862379.1	100	99.6	2.36e-193	MULTISPECIES: TIR domain-containing protein [Escherichia]
CFPICI REGION 1 - NZ_CM128597.1	Upstream	4426	4812294	4812620	1	WP_001120491.1	100	99.1	1.08e-73	MULTISPECIES: phage holin, lambda family [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Upstream	4427	4812624	4813100	1	WP_001157006.1	100	99.4	1.78e-114	MULTISPECIES: glycoside hydrolase family 24 protein [Escherichia]
CFPICI REGION 1 - NZ_CM128597.1	Upstream	4428	4813084	4813476	1	WP_001469324.1	100	99.2	1.64e-83	MULTISPECIES: DUF2570 domain-containing protein [Escherichia]
CFPICI REGION 1 - NZ_CM128597.1	Core	4429	4813660	4814010	1	CORE	100	99.1	2.86e-84	PROTEIN: WP_001135215.1 MULTISPECIES: HNH endonuclease [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4430	4814136	4814630	1	CORE	100	99.4	1.34e-112	PROTEIN: WP_000929184.1 MULTISPECIES: phage terminase small subunit P27 family [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4431	4814627	4816360	1	CORE	100	99.8	0.0	PROTEIN: WP_000088157.1 MULTISPECIES: terminase large subunit [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4432	4816372	4816554	1	WP_000605606.1	100	98.4	7.92e-34	MULTISPECIES: protein YmfR [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4433	4816554	4817795	1	CORE	100	99.8	2.57e-305	PROTEIN: WP_000466255.1 MULTISPECIES: phage portal protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4434	4817773	4818423	1	CORE	100	99.5	4.57e-150	PROTEIN: WP_001193635.1 MULTISPECIES: HK97 family phage prohead protease [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4435	4818438	4818854	1	WP_000257487.1	100	99.3	1.31e-86	phage major capsid protein, partial [Escherichia coli]
CFPICI REGION 1 - NZ_CM128597.1	Core	4436	4818864	4819643	1	WP_120136258.1	98.8	99.6	7.93e-182	phage major capsid protein, partial [Escherichia coli]
CFPICI REGION 1 - NZ_CM128597.1	Core	4437	4819692	4819892	1	WP_000601358.1	100	98.5	3.56e-35	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4438	4819895	4820218	1	CORE	100	99.1	2.87e-73	PROTEIN: WP_000927711.1 MULTISPECIES: head-tail connector protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Core	4439	4820215	4820625	1	CORE	100	99.3	1.13e-95	PROTEIN: WP_000702406.1 MULTISPECIES: phage head closure protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Downstream	4440	4820600	4821106	1	YP_008318488.1	99.4	99.4	6.57e-115	tail completion or Neck1 protein [Shigella phage SfII]
CFPICI REGION 1 - NZ_CM128597.1	Downstream	4441	4821103	4821663	1	WP_000779279.1	100	99.5	1.58e-133	MULTISPECIES: phage tail terminator protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Downstream	4442	4821672	4821842	1	WP_000497751.1	100	98.2	6.03e-34	MULTISPECIES: DUF2635 domain-containing protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Downstream	4443	4821826	4823322	1	WP_000155713.1	100	99.8	0.0	MULTISPECIES: phage tail sheath subtilisin-like domain-containing protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CM128597.1	Downstream	4444	4823322	4823678	1	WP_000090993.1	100	99.2	1.07e-80	MULTISPECIES: phage tail tube protein [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CM128597.1	Upstream	2585	2782624	2783463	-1	WP_000379247.1	100	99.6	2.02e-198	MULTISPECIES: HTH-type transcriptional regulator HdfR [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CM128597.1	Upstream	2586	2783582	2783920	1	WP_038355361.1	98.2	99.1	3.84e-69	macrodomain Ori organization protein MaoP [Escherichia marmotae]
CFPICI REGION 2 - NZ_CM128597.1	Upstream	2587	2783946	2785313	-1	WP_000058950.1	100	99.6	0.0	MULTISPECIES: YifB family Mg chelatase-like AAA ATPase [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CM128597.1	Upstream	2588	2785741	2785992	1	WP_028120178.1	100	98.8	1.35e-51	hypothetical protein [Escherichia coli]
CFPICI REGION 2 - NZ_CM128597.1	Upstream	2589	2786074	2786367	-1	WP_001735905.1	100	95.9	3.11e-56	MULTISPECIES: hypothetical protein [Escherichia]
CFPICI REGION 2 - NZ_CM128597.1	Core	2590	2786364	2788025	-1	CORE	100	99.8	0.0	PROTEIN: WP_062873866.1 terminase large subunit [Escherichia coli]
CFPICI REGION 2 - NZ_CM128597.1	Core	2591	2788009	2788506	-1	CORE	100	71.1	3.98e-77	PROTEIN: WP_001353110.1 MULTISPECIES: phage terminase small subunit P27 family [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CM128597.1	Core	2592	2788654	2789094	-1	CORE	100	99.3	9.05e-109	PROTEIN: WP_001145899.1 HNH endonuclease signature motif containing protein [Escherichia coli]
CFPICI REGION 2 - NZ_CM128597.1	Core	2593	2789094	2789396	-1	CORE	100	99.0	8.87e-67	PROTEIN: WP_001287546.1 MULTISPECIES: head-tail connector protein [Enterobacteriaceae]
