NZ_JAMQEY010000007.1_1|56|358|-1|ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.617	WP_003403581.1 MULTISPECIES: 50S ribosomal protein L23 [Mycobacterium]	100	99.0	1.17e-62
NZ_JAMQEY010000007.1_2|358|1029|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.673	WP_003403580.1 MULTISPECIES: 50S ribosomal protein L4 [Mycobacterium]	100	99.6	1.29e-148
NZ_JAMQEY010000007.1_3|1029|1682|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.639	WP_070896942.1 50S ribosomal protein L3 [Mycobacterium tuberculosis]	96.8	99.5	4.48e-137
NZ_JAMQEY010000007.1_4|1699|2004|-1|ID=1_4;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611	WP_003403578.1 MULTISPECIES: 30S ribosomal protein S10 [Mycobacterium]	100	99.0	7.86e-66
NZ_JAMQEY010000007.1_6|4119|5477|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636	WP_003901900.1 MULTISPECIES: mycofactocin dehydrogenase MftG [Mycobacterium]	100	99.8	0.0
NZ_JAMQEY010000007.1_7|5560|6972|-1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.663	WP_003403501.1 MULTISPECIES: mycofactocin biosynthesis glycosyltransferase MftF [Mycobacterium]	100	99.8	0.0
NZ_JAMQEY010000007.1_8|7021|7686|-1|ID=1_8;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.695	WP_003403497.1 MULTISPECIES: mycofactocin biosynthesis peptidyl-dipeptidase MftE [Mycobacterium]	99.5	99.5	7.00e-159
NZ_JAMQEY010000007.1_9|7966|9156|-1|ID=1_9;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.655	WP_003898557.1 MULTISPECIES: pre-mycofactocin synthase MftD [Mycobacterium]	100	99.7	1.22e-283
NZ_JAMQEY010000007.1_10|9159|10334|-1|ID=1_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.660	WP_003403490.1 MULTISPECIES: mycofactocin radical SAM maturase [Mycobacterium]	100	99.7	1.19e-292
NZ_JAMQEY010000007.1_11|10331|10660|-1|ID=1_11;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636	WP_003403486.1 MULTISPECIES: mycofactocin biosynthesis chaperone MftB [Mycobacterium]	100	99.1	1.46e-76
NZ_JAMQEY010000007.1_12|10645|10734|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.533	WP_003403483.1 MULTISPECIES: mycofactocin precursor MftA [Mycobacteriaceae]	100	96.7	6.18e-12
NZ_JAMQEY010000007.1_13|10825|11421|1|ID=1_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605	WP_003403482.1 MULTISPECIES: mycofactocin system transcriptional regulator [Mycobacterium]	100	99.5	8.99e-139
NZ_JAMQEY010000007.1_14|11418|12467|1|ID=1_14;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.672	WP_003403477.1 MULTISPECIES: DUF2332 domain-containing protein [Mycobacterium]	100	99.7	6.24e-260
NZ_JAMQEY010000007.1_15|13071|13319|-1|ID=1_15;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.739	WP_178121162.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	98.8	3.88e-55
NZ_JAMQEY010000007.1_16|13331|14551|-1|ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648	WP_003901000.1 MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Mycobacterium]	100	99.8	3.04e-289
NZ_JAMQEY010000007.1_17|14565|15311|-1|ID=1_17;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.633	WP_234883349.1 Rv0687 family mycofactocin-dependent SDR oxidoreductase, partial [Mycobacterium tuberculosis]	99.6	99.6	2.52e-172
NZ_JAMQEY010000007.1_18|15545|16342|-1|ID=1_18;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.610	WP_003403465.1 MULTISPECIES: SHOCT domain-containing protein [Mycobacterium]	100	99.6	1.27e-169
NZ_JAMQEY010000007.1_19|16480|17670|-1|ID=1_19;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.641	WP_003403463.1 MULTISPECIES: elongation factor Tu [Mycobacterium]	100	99.7	1.05e-284
NZ_JAMQEY010000007.1_20|17901|20006|-1|ID=1_20;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.623	WP_003898554.1 MULTISPECIES: elongation factor G [Mycobacterium]	100	99.9	0.0
NZ_JAMQEY010000007.1_21|20087|20557|-1|ID=1_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633	WP_003403456.1 MULTISPECIES: 30S ribosomal protein S7 [Mycobacterium]	100	99.4	8.84e-105
NZ_JAMQEY010000007.1_22|20557|20931|-1|ID=1_22;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627	WP_003910993.1 MULTISPECIES: 30S ribosomal protein S12 [Mycobacterium]	100	99.2	1.61e-78
NZ_JAMQEY010000007.1_23|21180|21836|-1|ID=1_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662	WP_349649744.1 TetR/AcrR family transcriptional regulator [Mycobacterium canetti]	99.1	99.5	7.25e-148
NZ_JAMQEY010000007.1_24|22075|22449|1|ID=1_24;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.632	WP_003403448.1 MULTISPECIES: DUF3060 domain-containing protein [Mycobacterium]	100	99.2	1.49e-83
NZ_JAMQEY010000007.1_25|22466|22948|1|ID=1_25;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.646	WP_003901898.1 MULTISPECIES: DUF3060 domain-containing protein [Mycobacterium]	99.4	99.4	4.69e-78
NZ_JAMQEY010000007.1_26|23004|23510|-1|ID=1_26;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.649	WP_042903870.1 MULTISPECIES: siderophore transport transcriptional regulator MmpR5 [Mycobacterium]	99.4	97.6	6.38e-110
NZ_JAMQEY010000007.1_27|23586|24014|1|ID=1_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615	WP_003403439.1 MULTISPECIES: siderophore transporter accessory protein MmpS5 [Mycobacterium]	100	99.3	2.52e-95
