Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - Mawb	Upstream	61	59306	60511	1	WP_115319233.1	100	99.8	1.25e-274	cysteine desulfurase family protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Upstream	62	60508	61590	1	WP_115319234.1	100	99.7	1.36e-255	tRNA 2-thiouridine(34) synthase MnmA [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Upstream	63	61568	62167	-1	WP_115319235.1	100	99.5	1.38e-141	sensor domain-containing protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Upstream	64	62231	63274	1	WP_115319236.1	99.7	96.3	1.55e-231	methionine synthase [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Upstream	65	63405	63752	-1	WP_147292004.1	100	99.1	3.88e-69	hypothetical protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	66	65675	65980	1	CORE	80.2	99.0	1.41e-50	PROTEIN: WP_241472265.1 P27 family phage terminase small subunit [Mycolicibacterium neoaurum]
PICI REGION 1 - Mawb	Core	67	66185	66559	1	WP_115319240.1	100	99.2	6.56e-78	Gp19/Gp15/Gp42 family protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	68	66556	66897	1	WP_241473174.1	69.0	98.2	5.13e-48	phage head completion protein [Mycolicibacterium neoaurum]
PICI REGION 1 - Mawb	Core	69	67626	68417	1	WP_414688481.1	45.5	25.8	2.97e-06	heparin-binding hemagglutinin [Mycobacterium sp.]
PICI REGION 1 - Mawb	Core	70	68776	70095	1	WP_115319242.1	100	99.8	0.0	FAD-dependent oxidoreductase [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	71	70092	70487	-1	WP_115319243.1	100	99.2	3.43e-90	MULTISPECIES: MmcQ/YjbR family DNA-binding protein [Mycolicibacterium]
PICI REGION 1 - Mawb	Core	72	70542	72665	1	WP_115321018.1	99.9	98.2	0.0	NAD-dependent DNA ligase LigA [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	73	73216	74169	1	WP_115319244.1	100	99.7	4.87e-220	DUF4878 domain-containing protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	74	74202	75356	1	WP_115319245.1	100	99.7	2.99e-246	DUF4878 domain-containing protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	75	75389	76393	1	WP_115319246.1	100	99.7	3.08e-232	AAA family ATPase [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	76	76403	77260	1	WP_115319247.1	100	99.7	1.86e-197	DUF58 domain-containing protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	77	77265	77741	1	WP_115319248.1	100	99.4	3.73e-107	hypothetical protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	78	77732	78823	1	WP_115319249.1	100	99.7	2.79e-245	hypothetical protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	79	78820	79872	1	WP_115319250.1	100	99.7	4.82e-244	VWA domain-containing protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	80	79872	80870	1	WP_225400338.1	60.6	95.2	9.27e-90	tetratricopeptide repeat protein [[Mycobacterium] zoologicum]
PICI REGION 1 - Mawb	Core	81	80878	81537	-1	WP_115319253.1	100	99.5	2.09e-152	amino acid-binding protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	82	81690	81989	1	WP_115321019.1	100	99.0	1.49e-60	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	83	81986	83470	1	WP_115319254.1	100	99.8	0.0	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	84	83489	84520	1	WP_036339260.1	100	99.7	2.50e-247	MULTISPECIES: ATP-dependent 6-phosphofructokinase [Mycobacteriaceae]
PICI REGION 1 - Mawb	Core	85	84569	86080	1	WP_115319255.1	100	99.8	0.0	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	86	86085	86654	-1	WP_232077748.1	100	99.5	5.27e-138	HAD family hydrolase [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	87	86834	87526	1	WP_115321020.1	100	93.5	3.01e-145	MULTISPECIES: response regulator [Mycobacteriaceae]
PICI REGION 1 - Mawb	Core	88	87523	88731	1	WP_115319257.1	100	99.8	1.41e-276	GAF domain-containing sensor histidine kinase [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	89	88734	89795	-1	WP_115319258.1	100	99.7	4.36e-253	AraC family transcriptional regulator [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	90	89997	90533	1	WP_115319259.1	100	99.4	9.47e-113	DUF1641 domain-containing protein [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	91	90618	91589	1	WP_036339240.1	100	99.7	9.41e-251	MULTISPECIES: hydrogenase [Mycobacteriaceae]
PICI REGION 1 - Mawb	Core	92	91644	93251	1	WP_115321021.1	100	99.8	0.0	nickel-dependent hydrogenase large subunit [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	93	93248	94369	1	WP_115321022.1	99.6	66.8	2.91e-177	hydrogenase maturation protease [Mycolicibacterium aichiense]
PICI REGION 1 - Mawb	Core	94	94383	95648	1	WP_286198936.1	95.7	99.8	1.67e-257	hypothetical protein [Mycobacterium sp. ELW1]
