NZ_JAPJDO010000054.1_1|141|893|1|ID=1_1;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.652	WP_266000897.1 deoxyribonuclease IV [Mycobacterium pinniadriaticum]	100	99.6	3.77e-184
NZ_JAPJDO010000054.1_2|1240|2634|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.652	WP_266000896.1 phenylacetate--CoA ligase family protein [Mycobacterium pinniadriaticum]	99.8	98.9	0.0
NZ_JAPJDO010000054.1_3|2631|2966|-1|ID=1_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.670	WP_266000895.1 cupin domain-containing protein [Mycobacterium pinniadriaticum]	100	99.1	1.91e-73
NZ_JAPJDO010000054.1_4|3029|4657|1|ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.683	WP_266000894.1 acyl-CoA dehydrogenase family protein [Mycobacterium pinniadriaticum]	100	99.8	0.0
NZ_JAPJDO010000054.1_5|4654|5562|1|ID=1_5;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.664	WP_179474417.1 crotonase/enoyl-CoA hydratase family protein [Mycolicibacterium vinylchloridicum]	97.7	99.7	3.39e-213
NZ_JAPJDO010000054.1_6|5564|6298|1|ID=1_6;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.697	WP_266000893.1 PaaX family transcriptional regulator C-terminal domain-containing protein [Mycobacterium pinniadriaticum]	100	96.7	3.78e-168
NZ_JAPJDO010000054.1_7|6295|7119|1|ID=1_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.702	WP_266000892.1 crotonase/enoyl-CoA hydratase family protein [Mycobacterium pinniadriaticum]	100	99.6	5.75e-191
NZ_JAPJDO010000054.1_8|7151|7549|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.612	WP_266000891.1 DUF3060 domain-containing protein [Mycobacterium pinniadriaticum]	100	99.2	3.75e-65
NZ_JAPJDO010000054.1_9|7815|8453|1|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.679	WP_266000889.1 TetR/AcrR family transcriptional regulator [Mycobacterium pinniadriaticum]	100	99.5	3.92e-149
NZ_JAPJDO010000054.1_10|8772|9146|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.653	WP_007167812.1 MULTISPECIES: 30S ribosomal protein S12 [Mycobacteriaceae]	100	99.2	1.61e-78
NZ_JAPJDO010000054.1_11|9146|9616|1|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.650	WP_003881868.1 MULTISPECIES: 30S ribosomal protein S7 [Mycobacteriaceae]	100	99.4	1.26e-104
NZ_JAPJDO010000054.1_12|9704|11806|1|ID=1_12;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635	WP_266000887.1 elongation factor G [Mycobacterium pinniadriaticum]	100	99.9	0.0
NZ_JAPJDO010000054.1_13|11901|13091|1|ID=1_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.650	WP_266000886.1 elongation factor Tu [Mycobacterium pinniadriaticum]	100	99.7	2.47e-283
NZ_JAPJDO010000054.1_14|13213|13506|1|ID=1_14;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.684	WP_266000885.1 hypothetical protein [Mycobacterium pinniadriaticum]	100	99.0	7.46e-51
NZ_JAPJDO010000054.1_15|13602|14447|1|ID=1_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636	WP_266000884.1 SHOCT domain-containing protein [Mycobacterium pinniadriaticum]	100	99.6	1.21e-175
NZ_JAPJDO010000054.1_16|14639|15493|1|ID=1_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.669	WP_266000883.1 mycofactocin-coupled SDR family oxidoreductase [Mycobacterium pinniadriaticum]	100	99.6	6.01e-198
NZ_JAPJDO010000054.1_17|15557|16438|-1|ID=1_17;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.697	WP_266000882.1 universal stress protein [Mycobacterium pinniadriaticum]	100	99.7	1.12e-202
NZ_JAPJDO010000054.1_18|16435|17925|-1|ID=1_18;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.654	WP_266000881.1 amino acid permease [Mycobacterium pinniadriaticum]	100	99.8	0.0
NZ_JAPJDO010000054.1_19|17959|19191|-1|ID=1_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.673	WP_266000899.1 ornithine--oxo-acid transaminase [Mycobacterium pinniadriaticum]	100	99.3	3.45e-292
NZ_JAPJDO010000054.1_20|19188|19961|-1|ID=1_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.649	WP_266000880.1 dimethylargininase [Mycobacterium pinniadriaticum]	100	99.6	2.82e-186
NZ_JAPJDO010000054.1_21|20156|20602|1|ID=1_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.662	WP_266000879.1 Lrp/AsnC family transcriptional regulator [Mycobacterium pinniadriaticum]	100	99.3	1.68e-96
