query_id	accession	family	region	batch	record	query_length	family_supported_bp_core_region	core_region_family_coverage	family_supported_weighted_pident	top_contributing_reference	top_reference_supported_bp	top_reference_query_fraction	top_reference_weighted_pident	n_references_hit	n_hsps_total
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	AE005174.2	CFPICI	R2	001	AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome	5145	5145	1.0	97.26	CP028126.1_2294845_2309731	5145	1.0	97.105	10	10
NC_002695.2|CFPICI|R1|core|batch=003|record=NC_002695.2_Escherichia_coli_O157_H7_str._Sakai_DNA__complete_genome|start=1603883|end=1609027|strand=1	NC_002695.2	CFPICI	R1	003	NC_002695.2_Escherichia_coli_O157_H7_str._Sakai_DNA__complete_genome	5145	5145	1.0	97.262	CP028126.1_2294845_2309731	5145	1.0	97.105	10	10
NZ_AP035757.1|CFPICI|R1|core|batch=003|record=NZ_AP035757.1_Escherichia_coli_strain_SOI121_chromosome__complete_genome|start=2677524|end=2684490|strand=-1	NZ_AP035757.1	CFPICI	R1	003	NZ_AP035757.1_Escherichia_coli_strain_SOI121_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_AP035757.1|CFPICI|R2|core|batch=003|record=NZ_AP035757.1_Escherichia_coli_strain_SOI121_chromosome__complete_genome|start=4360854|end=4367819|strand=-1	NZ_AP035757.1	CFPICI	R2	003	NZ_AP035757.1_Escherichia_coli_strain_SOI121_chromosome__complete_genome	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM128549.1|CFPICI|R1|core|batch=003|record=NZ_CM128549.1_Escherichia_coli_strain_MMC-J-0020_chromosome__whole_genome_shotgun_sequence|start=1421819|end=1426962|strand=-1	NZ_CM128549.1	CFPICI	R1	003	NZ_CM128549.1_Escherichia_coli_strain_MMC-J-0020_chromosome__whole_genome_shotgun_sequence	5144	5144	1.0	97.802	CP028126.1_2294845_2309731	5144	1.0	98.814	10	10
NZ_CM128588.1|CFPICI|R1|core|batch=003|record=NZ_CM128588.1_Escherichia_coli_strain_300033_chromosome__whole_genome_shotgun_sequence|start=3408615|end=3415581|strand=-1	NZ_CM128588.1	CFPICI	R1	003	NZ_CM128588.1_Escherichia_coli_strain_300033_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM128594.1|CFPICI|R3|core|batch=003|record=NZ_CM128594.1_Escherichia_coli_strain_100248_chromosome__whole_genome_shotgun_sequence|start=3595952|end=3600752|strand=-1	NZ_CM128594.1	CFPICI	R3	003	NZ_CM128594.1_Escherichia_coli_strain_100248_chromosome__whole_genome_shotgun_sequence	4801	4801	1.0	87.579	BFLF01000001.1_341769_355219	4801	1.0	94.96	10	17
NZ_CM128595.1|CFPICI|R1|core|batch=003|record=NZ_CM128595.1_Escherichia_coli_strain_100181_chromosome__whole_genome_shotgun_sequence|start=1537555|end=1544521|strand=-1	NZ_CM128595.1	CFPICI	R1	003	NZ_CM128595.1_Escherichia_coli_strain_100181_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM128596.1|CFPICI|R3|core|batch=003|record=NZ_CM128596.1_Escherichia_coli_strain_100117_chromosome__whole_genome_shotgun_sequence|start=3597477|end=3602277|strand=-1	NZ_CM128596.1	CFPICI	R3	003	NZ_CM128596.1_Escherichia_coli_strain_100117_chromosome__whole_genome_shotgun_sequence	4801	4801	1.0	87.579	BFLF01000001.1_341769_355219	4801	1.0	94.96	10	17
NZ_CM128597.1|CFPICI|R1|core|batch=003|record=NZ_CM128597.1_Escherichia_coli_strain_E700025_chromosome__whole_genome_shotgun_sequence|start=4813660|end=4820625|strand=1	NZ_CM128597.1	CFPICI	R1	003	NZ_CM128597.1_Escherichia_coli_strain_E700025_chromosome__whole_genome_shotgun_sequence	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
