Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_CP116925.1	Upstream	3135	3271185	3272339	-1	WP_000118826.1	100	99.7	1.92e-274	MULTISPECIES: 8-amino-7-oxononanoate synthase [Gammaproteobacteria]
PICI REGION 1 - NZ_CP116925.1	Upstream	3136	3272336	3273376	-1	WP_000951213.1	100	99.7	4.88e-251	MULTISPECIES: biotin synthase BioB [Bacteria]
PICI REGION 1 - NZ_CP116925.1	Upstream	3137	3273463	3274752	1	WP_001295303.1	100	99.8	0.0	MULTISPECIES: adenosylmethionine--8-amino-7-oxononanoate transaminase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Upstream	3138	3274811	3275287	1	WP_000767389.1	100	99.4	5.52e-118	MULTISPECIES: kinase inhibitor [Bacteria]
PICI REGION 1 - NZ_CP116925.1	Upstream	3139	3275618	3275833	-1	YP_009909929.1	98.6	98.6	2.03e-43	transposase [Escherichia phage ev099]
PICI REGION 1 - NZ_CP116925.1	Core	3140	3275996	3276184	1	CORE	95.0	95.2	6.56e-35	PROTEIN: WP_137432387.1 integrase core domain-containing protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3141	3276394	3277137	-1	WP_032170462.1	100	99.6	1.64e-172	MULTISPECIES: AraC family transcriptional regulator [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Core	3142	3277646	3278023	-1	WP_000344405.1	100	99.2	1.43e-86	MULTISPECIES: IS1 family transposase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Core	3143	3278068	3278343	-1	WP_001356349.1	100	98.9	2.38e-60	MULTISPECIES: IS1-like element transposase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Core	3144	3279148	3279729	-1	WP_272781936.1	100	99.5	1.76e-138	tail fiber assembly protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3145	3279729	3280286	-1	WP_160512220.1	98.4	99.5	7.18e-86	phage tail protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3146	3280267	3280794	-1	WP_139358685.1	100	93.2	9.65e-100	phage tail tape measure protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3147	3280810	3281811	-1	WP_285003083.1	99.1	98.2	3.92e-220	phage tail length tape measure family protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3148	3281951	3282376	-1	WP_275250905.1	100	47.2	1.34e-36	major capsid protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3149	3282596	3283576	-1	WP_000019437.1	100	99.7	1.04e-235	IS5-like element ISKpn26 family transposase [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3150	3283837	3284103	1	WP_250186877.1	100	98.9	4.01e-62	DUF2971 domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3151	3284093	3284278	-1	CORE	100	98.4	6.74e-35	PROTEIN: WP_180192767.1 DNA primase family protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3152	3284275	3284574	-1	WP_126722733.1	100	99.0	1.60e-64	DUF4222 domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3153	3284592	3284813	-1	WP_001091145.1	100	98.6	9.54e-43	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Core	3154	3284814	3285005	-1	WP_001156310.1	100	98.4	1.68e-34	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Core	3155	3285005	3285190	-1	WP_000920680.1	100	98.4	2.85e-32	MULTISPECIES: hypothetical protein [Escherichia]
PICI REGION 1 - NZ_CP116925.1	Core	3156	3285183	3285386	-1	WP_284146748.1	100	98.5	2.10e-41	host cell division inhibitor Icd-like protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3157	3285526	3285720	1	WP_024239330.1	100	98.5	1.59e-37	MULTISPECIES: toxin-antitoxin system HicB family antitoxin [Escherichia]
PICI REGION 1 - NZ_CP116925.1	Core	3158	3285744	3286139	1	WP_249963896.1	100	99.2	4.01e-89	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3159	3286142	3287092	1	WP_272781940.1	100	99.7	5.13e-231	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3160	3287144	3287365	-1	WP_024239328.1	100	98.6	4.90e-45	MULTISPECIES: helix-turn-helix transcriptional regulator [Escherichia]
PICI REGION 1 - NZ_CP116925.1	Core	3161	3287558	3288601	-1	CORE	100	93.1	1.89e-241	PROTEIN: WP_135248800.1 tyrosine-type recombinase/integrase, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3162	3288734	3289009	-1	WP_409407949.1	100	95.7	2.87e-56	major capsid protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Core	3163	3289065	3289397	-1	CORE	100	99.1	9.88e-71	PROTEIN: WP_001299443.1 MULTISPECIES: head decoration protein [Enterobacteriaceae]
PICI REGION 1 - NZ_CP116925.1	Downstream	3164	3289487	3290731	-1	WP_219672722.1	97.7	94.2	6.47e-256	S49 family peptidase, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Downstream	3165	3290712	3291083	-1	WP_000477980.1	100	99.2	2.21e-80	phage portal protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Downstream	3166	3291038	3291802	-1	WP_407218788.1	96.7	95.7	1.50e-168	phage portal protein [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Downstream	3167	3292095	3292289	-1	WP_140423793.1	91.2	84.6	1.27e-29	phage portal protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP116925.1	Downstream	3168	3292286	3292492	-1	WP_000198149.1	100	98.6	6.25e-39	MULTISPECIES: phage head-tail joining protein [Bacteria]
PICI REGION 2 - NZ_CP116925.1	Upstream	980	1020606	1022840	1	WP_000226815.1	100	99.9	0.0	MULTISPECIES: GTP diphosphokinase [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Upstream	981	1022918	1023166	1	WP_000581937.1	100	98.8	1.30e-53	MULTISPECIES: type II toxin-antitoxin system antitoxin MazE [Gammaproteobacteria]
PICI REGION 2 - NZ_CP116925.1	Upstream	982	1023166	1023501	1	WP_000254738.1	100	99.1	4.16e-77	MULTISPECIES: endoribonuclease MazF [Gammaproteobacteria]
PICI REGION 2 - NZ_CP116925.1	Upstream	983	1023572	1024363	1	WP_001071648.1	100	99.6	1.46e-183	MULTISPECIES: nucleoside triphosphate pyrophosphohydrolase [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Upstream	984	1024591	1026228	1	WP_000210878.1	100	99.8	0.0	MULTISPECIES: glutamine hydrolyzing CTP synthase [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Core	985	1026316	1027614	1	CORE	100	99.8	1.49e-300	PROTEIN: WP_000036723.1 MULTISPECIES: phosphopyruvate hydratase [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Core	986	1027674	1028546	-1	WP_097437629.1	100	91.4	1.97e-185	TPM domain-containing protein, partial [Escherichia coli]
PICI REGION 2 - NZ_CP116925.1	Core	987	1028560	1028700	-1	CORE	100	97.9	1.84e-24	PROTEIN: WP_001288228.1 MULTISPECIES: cell envelope stress response protein YqcG [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Core	988	1028839	1029510	1	CORE	100	99.6	2.19e-165	PROTEIN: WP_001199973.1 MULTISPECIES: 7-carboxy-7-deazaguanine synthase QueE [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Downstream	989	1030937	1032391	1	WP_000059307.1	100	99.8	0.0	MULTISPECIES: FAD-binding oxidoreductase [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Downstream	990	1032413	1033822	1	WP_000147666.1	100	99.8	0.0	MULTISPECIES: MFS transporter [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Downstream	991	1033800	1034579	1	WP_001299652.1	100	99.6	7.25e-182	MULTISPECIES: electron transfer flavoprotein subunit beta/FixA family protein [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Downstream	992	1034576	1035436	1	WP_001299097.1	100	99.7	1.80e-200	MULTISPECIES: electron transfer flavoprotein subunit alpha/FixB family protein [Enterobacteriaceae]
PICI REGION 2 - NZ_CP116925.1	Downstream	993	1035584	1036159	-1	WP_069905530.1	100	99.5	5.44e-132	MULTISPECIES: glycerol-3-phosphate responsive antiterminator [Enterobacteriaceae]
