JJOB01000001.1_1|2|199|-1|ID=1_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.677	WP_037875224.1 hypothetical protein [Streptomyces sp. NTK 937]	100	100	6.83e-43
JJOB01000001.1_2|196|426|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.680	WP_241834054.1 hypothetical protein [Streptomyces sp. NTK 937]	100	98.7	6.71e-46
JJOB01000001.1_3|426|554|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.682	WP_018555278.1 MULTISPECIES: hypothetical protein [unclassified Streptomyces]	97.0	76.7	9.85e-15
JJOB01000001.1_4|551|1147|-1|ID=1_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.705	WP_241834055.1 hypothetical protein [Streptomyces sp. NTK 937]	100	99.5	3.78e-131
JJOB01000001.1_5|1149|1412|-1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.674	WP_051673629.1 Ig-like domain-containing protein [Streptomyces sp. NTK 937]	100	98.9	6.26e-34
JJOB01000001.1_6|1493|2530|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.666	WP_037875080.1 major capsid protein [Streptomyces sp. NTK 937]	100	99.7	5.42e-243
JJOB01000001.1_7|2544|2939|-1|ID=1_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.667	WP_037875082.1 head decoration protein [Streptomyces sp. NTK 937]	100	99.2	2.93e-91
JJOB01000001.1_8|3542|3838|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.653	WP_241834056.1 hypothetical protein [Streptomyces sp. NTK 937]	100	99.0	5.39e-67
JJOB01000001.1_9|4431|5834|-1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.661	WP_241834057.1 phage portal protein [Streptomyces sp. NTK 937]	100	99.8	0.0
JJOB01000001.1_10|5847|7559|-1|ID=1_10;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.669	WP_241834058.1 terminase large subunit [Streptomyces sp. NTK 937]	100	96.5	0.0
JJOB01000001.1_11|7579|7878|-1|ID=1_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650	WP_037875231.1 phage terminase small subunit [Streptomyces sp. NTK 937]	100	99.0	2.31e-66
JJOB01000001.1_12|8237|8641|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.696	WP_376153690.1 DNA primase [Streptomyces californicus]	95.5	99.3	5.09e-90
JJOB01000001.1_13|9109|9366|-1|ID=1_13;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.636	WP_241834059.1 hypothetical protein [Streptomyces sp. NTK 937]	100	98.8	6.60e-53
JJOB01000001.1_14|9363|9842|-1|ID=1_14;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660	WP_383854749.1 HNH endonuclease [Streptomyces sp. NPDC057557]	79.9	99.4	1.95e-89
JJOB01000001.1_15|10263|10514|1|ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.659	WP_037875098.1 hypothetical protein [Streptomyces sp. NTK 937]	100	98.8	1.64e-52
JJOB01000001.1_16|12324|13946|-1|ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.675	WP_037875100.1 recombinase family protein [Streptomyces sp. NTK 937]	100	99.8	0.0
JJOB01000001.1_17|14385|14585|-1|ID=1_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.662	WP_037875102.1 hypothetical protein [Streptomyces sp. NTK 937]	100	98.5	6.04e-45
JJOB01000001.1_19|15265|15828|1|ID=1_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.674	WP_037881895.1 DUF5919 domain-containing protein [Streptomyces sp. NTK 937]	100	99.5	8.43e-134
JJOB01000001.1_20|16037|16555|-1|ID=1_20;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.688	WP_037875104.1 hypothetical protein [Streptomyces sp. NTK 937]	100	99.4	2.28e-126
JJOB01000001.1_21|16565|17314|-1|ID=1_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696	WP_037875107.1 hypothetical protein [Streptomyces sp. NTK 937]	100	99.6	2.21e-162
JJOB01000001.1_22|17403|17687|-1|ID=1_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.670	WP_157841216.1 hypothetical protein [Streptomyces sp. NTK 937]	100	81.1	2.36e-47
JJOB01000001.1_23|17721|18548|-1|ID=1_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.700	WP_037875113.1 hypothetical protein [Streptomyces sp. NTK 937]	100	99.6	5.17e-199
JJOB01000001.1_24|19160|19462|-1|ID=1_24;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.650	WP_037875115.1 hypothetical protein [Streptomyces sp. NTK 937]	100	99.0	3.09e-67
