family	accession	region	core_start	core_end	core_len_bp	n_core_orfs	had_blastn_support	query_length	supported_bp	core_region_family_coverage	core_region_family_coverage_percent	coverage_bin	family_supported_weighted_identity	family_supported_weighted_identity_percent	top_reference	top_reference_query_fraction	top_reference_query_fraction_percent	top_reference_weighted_identity	n_references_hit	n_hsps_total	query_id	output_fasta	source_tsv
CFPICI	AE005174.2	R1	1273381	1281907	8527	12	0	8527	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
CFPICI	AE005174.2	R2	1687718	1692862	5145	7	1	5145	5145	1.0	100.00%	75-100%	97.26	97.26%	CP028126.1_2294845_2309731	1.0	100.00%	97.105	10	10	AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
CFPICI	AE005174.2	R3	1647591	1655947	8357	8	0	8357	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R3_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
CFPICI	AE005174.2	R4	2300794	2309151	8358	7	0	8358	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R4_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
CFPICI	AE005174.2	R5	2981410	2989768	8359	8	0	8359	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R5_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
CFPICI	AP006841.1	R1	2837357	2844024	6668	8	0	6668	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP006841.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/AP006841.1_CFPICI_output.tsv
CFPICI	AP017922.1	R1	1449601	1456157	6557	10	0	6557	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP017922.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP017922.1_CFPICI_output.tsv
CFPICI	AP018499.1	R1	957847	964510	6664	9	0	6664	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP018499.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP018499.1_CFPICI_output.tsv
CFPICI	AP040133.1	R1	2112114	2118668	6555	9	0	6555	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP040133.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP040133.1_CFPICI_output.tsv
CFPICI	BAAHTQ010000004.1	R1	127808	134362	6555	9	0	6555	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/BAAHTQ010000004.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BAAHTQ010000004.1_CFPICI_output.tsv
CFPICI	BX571857.1	R1	2045472	2052026	6555	9	0	6555	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/BX571857.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BX571857.1_CFPICI_output.tsv
CFPICI	CM002285.1	R1	6543629	6552612	8984	12	0	8984	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM002285.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CM002285.1_CFPICI_output.tsv
CFPICI	CM002330.1	R1	734314	744074	9761	14	0	9761	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM002330.1_R1_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CM002330.1_CFPICI_output.tsv
CFPICI	CM002330.1	R2	1152102	1159155	7054	9	0	7054	0	0.0	0.00%	0%							0	0		/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/CM002330.1_R2_core.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/CM002330.1_CFPICI_output.tsv
