Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_CM128586.1	Upstream	1520	1617107	1618516	-1	WP_001587366.1	100	99.8	0.0	MFS transporter [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Upstream	1521	1618538	1619992	-1	WP_000059295.1	100	99.8	0.0	MULTISPECIES: FAD-binding oxidoreductase [Escherichia]
PICI REGION 1 - NZ_CM128586.1	Upstream	1522	1620062	1620847	-1	WP_000021318.1	100	99.6	9.59e-188	MULTISPECIES: SDR family oxidoreductase [Enterobacteriaceae]
PICI REGION 1 - NZ_CM128586.1	Upstream	1523	1621166	1622443	1	WP_001587368.1	100	99.8	3.82e-304	MFS transporter [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Upstream	1524	1622470	1623948	1	WP_001587369.1	100	99.8	0.0	FGGY-family carbohydrate kinase [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Core	1525	1625136	1625807	-1	CORE	100	99.6	1.54e-165	PROTEIN: WP_001199972.1 7-carboxy-7-deazaguanine synthase QueE [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Core	1526	1625980	1626582	1	WP_000944219.1	100	99.5	1.13e-133	LemA family protein [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Core	1527	1626596	1627489	1	WP_033867293.1	100	99.7	9.48e-181	TPM domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Core	1528	1627504	1628652	1	WP_001217985.1	100	99.7	1.22e-260	TPM domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Core	1529	1628658	1629551	1	WP_001236716.1	100	99.7	1.41e-182	TPM domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Core	1530	1629611	1630909	-1	CORE	100	99.8	1.49e-300	PROTEIN: WP_000036723.1 MULTISPECIES: phosphopyruvate hydratase [Enterobacteriaceae]
PICI REGION 1 - NZ_CM128586.1	Downstream	1531	1630997	1632634	-1	WP_000210878.1	100	99.8	0.0	MULTISPECIES: glutamine hydrolyzing CTP synthase [Enterobacteriaceae]
PICI REGION 1 - NZ_CM128586.1	Downstream	1532	1632862	1633653	-1	WP_001071666.1	100	99.6	1.46e-183	nucleoside triphosphate pyrophosphohydrolase [Escherichia coli]
PICI REGION 1 - NZ_CM128586.1	Downstream	1533	1633749	1635983	-1	WP_000226815.1	100	99.9	0.0	MULTISPECIES: GTP diphosphokinase [Enterobacteriaceae]
PICI REGION 1 - NZ_CM128586.1	Downstream	1534	1636031	1637332	-1	WP_000046778.1	100	99.8	0.0	MULTISPECIES: 23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [Escherichia]
PICI REGION 1 - NZ_CM128586.1	Downstream	1535	1637389	1640145	1	WP_000186450.1	100	99.9	0.0	MULTISPECIES: two-component sensor histidine kinase BarA [Enterobacteriaceae]
