Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHUE010000001.1	Upstream	86	87927	88178	-1	WP_050963020.1	84.3	98.8	1.47e-37	GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Upstream	87	88478	88741	1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHUE010000001.1	Upstream	88	88879	89451	-1	WP_000769720.1	100	99.5	8.29e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHUE010000001.1	Upstream	89	89632	90000	-1	WP_108932421.1	100	99.2	1.62e-77	YxeA family protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Upstream	91	90369	90980	-1	WP_000475326.1	100	99.5	3.94e-140	MULTISPECIES: staphylococcal enterotoxin-like toxin X [Staphylococcus]
PICI REGION 1 - BAAHUE010000001.1	Core	92	91340	91498	1	CORE	100	98.1	7.16e-29	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Core	93	91576	91887	1	CORE	100	99.0	8.76e-64	PROTEIN: WP_001797636.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Core	94	91890	92864	1	CORE	100	96.0	1.09e-224	PROTEIN: WP_001822249.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHUE010000001.1	Core	95	93443	93733	-1	WP_076747335.1	100	84.5	5.83e-52	PBECR4 domain-containing protein, partial [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Core	96	93681	94001	-1	WP_224491659.1	100	99.1	2.19e-72	PBECR4 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Core	97	94857	95123	-1	WP_263971894.1	87.1	78.7	2.10e-33	DUF3102 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUE010000001.1	Core	98	95065	95202	-1	WP_220381445.1	100	97.8	9.99e-24	MULTISPECIES: DUF3102 domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHUE010000001.1	Core	99	95331	96299	-1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
