Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - CP127780.1	Upstream	377	400264	400905	1	WP_076692332.1	99.5	99.5	1.26e-150	MULTISPECIES: pathogenicity island protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Upstream	378	401613	401957	1	WP_070863297.1	99.1	99.1	8.30e-74	pathogenicity island protein [Staphylococcus sp. HMSC063H12]
PICI REGION 1 - CP127780.1	Upstream	379	401988	402641	1	WP_000214170.1	100	99.5	5.52e-147	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Upstream	380	402694	403221	1	WP_000771361.1	100	99.4	4.74e-116	MULTISPECIES: spore coat protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Upstream	381	403224	403565	1	WP_181728701.1	95.6	99.1	4.47e-73	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - CP127780.1	Core	382	403562	404131	1	CORE	100	99.5	2.22e-130	PROTEIN: WP_001293071.1 MULTISPECIES: terminase small subunit [Staphylococcus]
PICI REGION 1 - CP127780.1	Core	383	404408	405376	1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801980.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Core	384	405563	405955	1	WP_073392942.1	99.2	99.2	2.60e-81	MULTISPECIES: DUF3102 domain-containing protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Core	385	406073	406585	1	WP_000813311.1	100	99.4	2.33e-100	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Core	386	406601	406780	1	WP_000797954.1	100	98.3	2.49e-32	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Core	387	407544	408551	-1	CORE	100	99.7	3.53e-243	PROTEIN: WP_001080636.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Core	388	408628	408876	-1	CORE	91.5	85.5	2.51e-38	PROTEIN: WP_050964503.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - CP127780.1	Core	389	408980	409102	-1	CORE	95.0	97.6	5.89e-18	PROTEIN: WP_391549221.1 tyrosine-type recombinase/integrase, partial [Staphylococcus warneri]
PICI REGION 1 - CP127780.1	Downstream	390	409508	409876	1	WP_000849155.1	100	99.2	5.66e-78	MULTISPECIES: YxeA family protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Downstream	391	410057	410629	1	WP_000769723.1	100	99.5	6.81e-121	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Downstream	392	410767	411030	-1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Downstream	393	411324	411578	1	WP_000466746.1	100	98.8	1.35e-38	MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus]
PICI REGION 1 - CP127780.1	Downstream	394	411617	411826	-1	WP_000211680.1	100	98.6	1.20e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 2 - CP127780.1	Upstream	361	390656	390847	-1	WP_001052483.1	100	98.4	9.23e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 2 - CP127780.1	Upstream	362	391091	391387	1	WP_001261460.1	100	99.0	3.52e-63	MULTISPECIES: 30S ribosomal protein S6 [Bacteria]
PICI REGION 2 - CP127780.1	Upstream	363	391408	391911	1	WP_061839556.1	91.6	99.4	1.08e-99	single-stranded DNA-binding protein [Staphylococcus aureus]
PICI REGION 2 - CP127780.1	Upstream	364	391963	392205	1	WP_000897044.1	100	98.8	3.02e-49	MULTISPECIES: 30S ribosomal protein S18 [Bacteria]
PICI REGION 2 - CP127780.1	Upstream	365	392437	393156	-1	WP_000400841.1	100	99.6	9.14e-166	MULTISPECIES: type II toxin-antitoxin system PemK/MazF family toxin [Staphylococcus]
PICI REGION 2 - CP127780.1	Core	366	393269	394483	-1	CORE	99.8	99.8	1.18e-285	PROTEIN: WP_000270135.1 MULTISPECIES: tyrosine-type recombinase/integrase [Staphylococcus]
PICI REGION 2 - CP127780.1	Core	367	394644	395267	-1	WP_089431327.1	81.6	99.5	2.09e-105	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - CP127780.1	Core	368	395362	395580	1	WP_001611932.1	100	74.0	7.12e-28	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
