BAAHTN010000001.1_1|714|1697|1|ID=1_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.320	WP_031887943.1 phosphate ABC transporter substrate-binding protein PstS [Staphylococcus aureus]	100	96.3	6.37e-218
BAAHTN010000001.1_2|1888|2814|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.357	WP_000204625.1 MULTISPECIES: phosphate ABC transporter permease subunit PstC [Staphylococcus]	100	99.7	1.10e-196
BAAHTN010000001.1_3|2816|3733|1|ID=1_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354	WP_000450297.1 MULTISPECIES: phosphate ABC transporter permease PstA [Staphylococcus]	100	99.7	2.61e-198
BAAHTN010000001.1_4|3687|4631|1|ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313	WP_000079447.1 MULTISPECIES: phosphate ABC transporter ATP-binding protein PstB [Staphylococcus]	100	89.8	3.65e-202
BAAHTN010000001.1_5|4638|5279|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318	WP_000974847.1 MULTISPECIES: phosphate signaling complex protein PhoU [Staphylococcus]	100	99.5	3.74e-143
BAAHTN010000001.1_6|5419|7233|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.334	WP_000077571.1 MULTISPECIES: oligoendopeptidase F [Staphylococcus]	100	99.8	0.0
BAAHTN010000001.1_7|7438|7782|1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.272	WP_000171798.1 MULTISPECIES: hypothetical protein [Staphylococcus]	100	99.1	2.29e-71
BAAHTN010000001.1_8|8086|9072|1|ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313	WP_000469949.1 MULTISPECIES: nickel ABC transporter permease [Staphylococcus]	100	99.7	6.81e-217
BAAHTN010000001.1_9|9065|9895|1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.323	WP_000548932.1 MULTISPECIES: nickel transporter permease [Staphylococcus]	100	99.6	1.45e-185
BAAHTN010000001.1_10|9879|10655|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317	WP_000052317.1 MULTISPECIES: ATP-binding cassette domain-containing protein [Staphylococcus]	100	99.2	1.86e-181
