query_id	family	reference	aligned_query_bp	query_fraction	aligned_subject_bp	subject_coverage	weighted_pident	bitscore_sum	n_hsps
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	CP000425.1_2115981_2128907	9373	0.7393	9370	0.7248	98.806	16686.0	3
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	AM406671.1_32370_51783	6943	0.5476	6942	0.3576	89.674	8841.0	8
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	CP003132.1_2352993_2368188	6841	0.5396	7009	0.4612	89.242	8748.0	11
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	CP001834.1_2505680_2520561	6767	0.5337	6787	0.4561	87.535	7816.1	11
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	CP002094.1_2482743_2492765	6265	0.4941	6278	0.6264	89.922	8069.0	4
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	CP006766.1_2464508_2479769	6045	0.4768	6072	0.3979	89.747	7744.0	6
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	AE005176.1_502595_517773	735	0.058	734	0.0484	87.415	842.4	3
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	CP002365.1_1723782_1733895	191	0.0151	195	0.0193	94.872	302.0	1
AP018499.1|PICI|R1|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=839376|end=852054|strand=mixed	PICI	NC_012469.1_197987_210888	64	0.005	64	0.005	85.938	69.4	1
AP018499.1|PICI|R2|core|batch=001|record=AP018499.1_Lactococcus_lactis_subsp._cremoris_C4_DNA__complete_genome|start=612505|end=622090|strand=mixed	PICI	CP000425.1_2115981_2128907	5669	0.5914	5677	0.4392	85.301	5815.3	9
