NZ_LQOY01000155.1_1|167|1069|-1|ID=1_1;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.677	WP_065131803.1 1,4-dihydroxy-2-naphthoyl-CoA synthase [Mycobacterium gordonae]	100	99.7	3.43e-221
NZ_LQOY01000155.1_2|1066|1746|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.706	WP_065131802.1 hypothetical protein [Mycobacterium gordonae]	100	99.6	4.47e-146
NZ_LQOY01000155.1_3|1743|2189|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.669	WP_065131801.1 MULTISPECIES: nitroreductase family deazaflavin-dependent oxidoreductase [Mycobacterium]	100	99.3	1.62e-103
NZ_LQOY01000155.1_4|2204|3805|-1|ID=1_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.673	WP_372513544.1 fatty-acid--CoA ligase FadD8 [Mycobacterium gordonae]	100	99.8	0.0
NZ_LQOY01000155.1_5|3923|5527|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.683	WP_069435058.1 amidohydrolase [Mycobacterium gordonae]	100	99.8	0.0
NZ_LQOY01000155.1_6|5524|6495|1|ID=1_6;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.728	WP_244906520.1 MULTISPECIES: o-succinylbenzoate synthase [Mycobacterium]	100	94.1	8.12e-209
NZ_LQOY01000155.1_7|6492|7280|1|ID=1_7;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.667	WP_065131797.1 alpha/beta fold hydrolase [Mycobacterium gordonae]	100	99.6	2.85e-185
NZ_LQOY01000155.1_8|7386|9035|1|ID=1_8;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.711	WP_065131796.1 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Mycobacterium gordonae]	100	99.8	0.0
NZ_LQOY01000155.1_9|9032|9541|1|ID=1_9;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.657	WP_065131813.1 DUF3592 domain-containing protein [Mycobacterium gordonae]	99.4	93.5	7.59e-101
NZ_LQOY01000155.1_10|9613|10749|1|ID=1_10;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705	WP_065131795.1 MULTISPECIES: glycosyltransferase family 4 protein [Mycobacterium]	100	99.7	2.16e-277
NZ_LQOY01000155.1_11|10754|11578|-1|ID=1_11;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672	WP_065131812.1 MULTISPECIES: SDR family oxidoreductase [Mycobacterium]	100	99.6	1.13e-197
NZ_LQOY01000155.1_12|11689|12333|1|ID=1_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.687	WP_065131794.1 MULTISPECIES: demethylmenaquinone methyltransferase [Mycobacterium]	100	99.5	2.63e-147
NZ_LQOY01000155.1_13|12437|12739|-1|ID=1_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.660	WP_065131793.1 MULTISPECIES: DUF732 domain-containing protein [Mycobacterium]	100	99.0	4.56e-69
NZ_LQOY01000155.1_14|12807|13484|-1|ID=1_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.690	WP_069434901.1 class I SAM-dependent methyltransferase [Mycobacterium gordonae]	100	99.6	6.75e-161
NZ_LQOY01000155.1_15|13620|14864|-1|ID=1_15;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.708	WP_232008070.1 menaquinone reductase [Mycobacterium gordonae]	99.8	97.3	3.63e-294
NZ_LQOY01000155.1_16|14898|15887|1|ID=1_16;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.683	WP_065131791.1 nonaprenyl/(2E,6E)-farnesyl/geranylgeranyl diphosphat synthase [Mycobacterium gordonae]	99.7	99.7	1.24e-230
NZ_LQOY01000155.1_17|15967|16830|1|ID=1_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.660	WP_065131790.1 MULTISPECIES: zinc metalloprotease HtpX [Mycobacterium]	100	99.7	1.94e-200
NZ_LQOY01000155.1_18|16882|18030|-1|ID=1_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.685	WP_069434900.1 YncE family protein [Mycobacterium gordonae]	100	93.0	1.63e-126
NZ_LQOY01000155.1_19|18143|19630|-1|ID=1_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657	WP_069434899.1 SulP family inorganic anion transporter [Mycobacterium gordonae]	100	99.8	0.0
NZ_LQOY01000155.1_20|19874|20899|-1|ID=1_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663	WP_065131787.1 MULTISPECIES: NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Mycobacterium]	100	99.7	1.88e-241
NZ_LQOY01000155.1_21|21026|22399|1|ID=1_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.664	WP_232008069.1 trypsin-like peptidase domain-containing protein [Mycobacterium gordonae]	100	99.8	0.0
NZ_LQOY01000155.1_22|22407|23882|-1|ID=1_22;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661	WP_085088174.1 flavin-containing monooxygenase [Mycobacterium gordonae]	100	99.8	0.0
NZ_LQOY01000155.1_23|23975|24466|-1|ID=1_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.606	WP_065131784.1 MULTISPECIES: YajQ family cyclic di-GMP-binding protein [Mycobacterium]	100	99.4	2.13e-104
NZ_LQOY01000155.1_24|25118|26914|1|ID=1_24;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.649	WP_232007875.1 AMP-dependent synthetase/ligase [Mycobacterium gordonae]	100	98.0	0.0
NZ_LQOY01000155.1_25|26938|27546|-1|ID=1_25;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.621	WP_069433779.1 TetR/AcrR family transcriptional regulator [Mycobacterium gordonae]	100	99.5	4.97e-138
NZ_LQOY01000155.1_26|27567|28331|-1|ID=1_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.660	WP_344735529.1 HD domain-containing protein [Nocardioides fonticola]	68.4	99.2	1.44e-117
NZ_LQOY01000155.1_28|28753|29439|1|ID=1_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.638	WP_069433772.1 class I SAM-dependent methyltransferase [Mycobacterium gordonae]	100	99.6	7.83e-157
