Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
EPIP REGION 1 - AP043817.1	Upstream	1435	1467301	1468341	1	WP_240179223.1	100	99.7	9.30e-240	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Upstream	1436	1468341	1469366	1	WP_240179224.1	100	99.7	2.25e-258	alpha/beta fold hydrolase [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Upstream	1437	1469555	1469854	1	WP_036346100.1	99.0	99.0	4.57e-62	MULTISPECIES: co-chaperone GroES [Mycobacteriaceae]
EPIP REGION 1 - AP043817.1	Upstream	1438	1469940	1471562	1	WP_240179225.1	100	99.8	0.0	chaperonin GroEL [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Upstream	1439	1471845	1472576	1	WP_240179226.1	100	99.6	5.80e-169	toll/interleukin-1 receptor domain-containing protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1440	1472591	1472920	-1	CORE	73.1	98.2	1.02e-49	PROTEIN: WP_214396676.1 phage head completion protein [Mycolicibacterium goodii]
EPIP REGION 1 - AP043817.1	Core	1441	1472917	1473291	-1	CORE	100	99.2	1.09e-76	PROTEIN: WP_240179228.1 Gp19/Gp15/Gp42 family protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1442	1473503	1473907	-1	CORE	100	99.3	6.73e-69	PROTEIN: WP_240179229.1 hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1443	1474232	1474552	-1	CORE	35.2	66.4	3.24e-08	PROTEIN: WP_036367304.1 MULTISPECIES: hypothetical protein [Mycolicibacterium]
EPIP REGION 1 - AP043817.1	Core	1444	1474623	1476584	-1	CORE	100	99.8	8.80e-288	PROTEIN: WP_240179230.1 phage tail protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1445	1476665	1477525	-1	WP_240179231.1	100	99.7	2.01e-197	phage major capsid protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1446	1477689	1478153	-1	WP_240179232.1	100	99.4	3.08e-95	hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1447	1478150	1478425	-1	CORE	100	98.9	9.37e-58	PROTEIN: WP_240179233.1 hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1448	1478422	1478616	-1	CORE	100	98.5	3.90e-38	PROTEIN: WP_240179234.1 hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1449	1478616	1478768	-1	WP_240179235.1	100	98.0	2.18e-29	hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1450	1478852	1479646	-1	WP_336879788.1	63.7	92.8	2.84e-101	helix-turn-helix domain-containing protein [Rhodococcus globerulus]
EPIP REGION 1 - AP043817.1	Core	1451	1479639	1479881	-1	WP_240179236.1	100	98.8	2.05e-47	hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1452	1480812	1481087	-1	CORE	100	98.9	5.85e-61	PROTEIN: WP_240179238.1 hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Core	1453	1481126	1482628	-1	CORE	99.8	99.8	0.0	PROTEIN: WP_240179239.1 recombinase family protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Downstream	1454	1482920	1483417	-1	WP_240179240.1	100	99.4	7.74e-117	SRPBCC family protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Downstream	1455	1483571	1484131	-1	WP_240179241.1	100	99.5	2.41e-128	OsmC family protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Downstream	1456	1484211	1484867	1	WP_240179242.1	100	99.5	5.72e-145	MULTISPECIES: TetR/AcrR family transcriptional regulator [Mycolicibacterium]
EPIP REGION 1 - AP043817.1	Downstream	1457	1485079	1486623	1	WP_240179243.1	100	99.8	0.0	adenylate/guanylate cyclase domain-containing protein [Mycolicibacterium crocinum]
EPIP REGION 1 - AP043817.1	Downstream	1458	1486653	1487015	1	WP_240179244.1	100	99.2	1.29e-82	hypothetical protein [Mycolicibacterium crocinum]
