Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
P4 REGION 1 - NZ_CM128594.1	Upstream	4106	4300650	4301174	1	WP_438414877.1	100	99.4	3.39e-125	outer membrane protein, partial [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Upstream	4107	4301237	4301536	1	WP_000169527.1	100	99.0	1.13e-55	MULTISPECIES: transposase [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Upstream	4108	4301533	4302399	1	WP_000878219.1	100	99.7	7.47e-219	MULTISPECIES: IS3 family transposase [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Upstream	4109	4302799	4303524	1	WP_097741791.1	100	97.5	3.76e-151	phosphoethanolamine transferase [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Upstream	4110	4303512	4304135	1	WP_097741791.1	99.5	99.5	5.93e-148	phosphoethanolamine transferase [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Core	4111	4304400	4305662	-1	CORE	100	99.8	4.16e-310	PROTEIN: WP_072720931.1 MULTISPECIES: tyrosine-type recombinase/integrase [Escherichia]
P4 REGION 1 - NZ_CM128594.1	Core	4112	4305867	4306163	-1	CORE	99.0	99.0	1.03e-69	PROTEIN: WP_077763187.1 MULTISPECIES: integrase [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Core	4113	4306417	4308750	-1	WP_113367935.1	99.7	99.9	0.0	primase-helicase zinc-binding domain-containing protein [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Core	4114	4308765	4309085	-1	CORE	100	99.1	5.18e-71	PROTEIN: WP_000856729.1 MULTISPECIES: DUF5375 domain-containing protein [Enterobacterales]
P4 REGION 1 - NZ_CM128594.1	Core	4115	4309221	4309676	-1	WP_001357995.1	100	99.3	1.74e-113	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Core	4116	4309669	4309956	-1	WP_235399710.1	98.9	99.0	1.64e-62	Derepression protein [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Core	4117	4309949	4310548	-1	CORE	100	99.5	6.83e-139	PROTEIN: WP_000980257.1 MULTISPECIES: host cell division inhibitor Icd-like protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Core	4118	4310545	4310811	-1	WP_001149160.1	100	98.9	3.73e-58	MULTISPECIES: helix-turn-helix transcriptional regulator [Bacteria]
P4 REGION 1 - NZ_CM128594.1	Core	4119	4311363	4312097	1	WP_225102884.1	100	99.6	9.86e-168	glycoprotein 3 [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Core	4120	4312094	4312594	1	CORE	100	99.4	1.75e-118	PROTEIN: WP_000638628.1 MULTISPECIES: ogr/Delta-like zinc finger family protein [Enterobacterales]
P4 REGION 1 - NZ_CM128594.1	Core	4121	4312668	4313240	1	CORE	100	99.5	2.21e-126	PROTEIN: WP_000446132.1 MULTISPECIES: phage polarity suppression protein [Enterobacterales]
P4 REGION 1 - NZ_CM128594.1	Core	4122	4313566	4314810	1	WP_000584997.1	99.8	99.8	5.18e-304	MULTISPECIES: DNA cytosine methyltransferase [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Core	4123	4314848	4315666	-1	WP_001453880.1	100	89.4	1.94e-179	MULTISPECIES: type II restriction endonuclease [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Core	4124	4315659	4315964	-1	WP_000936844.1	100	99.0	3.75e-64	MULTISPECIES: helix-turn-helix domain-containing protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Core	4125	4316132	4317406	-1	CORE	100	99.8	9.84e-311	PROTEIN: WP_000772662.1 tyrosine-type recombinase/integrase [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Downstream	4126	4317552	4317776	1	WP_214277191.1	100	84.0	1.37e-36	hypothetical protein, partial [Escherichia coli]
P4 REGION 1 - NZ_CM128594.1	Downstream	4127	4317851	4318870	1	WP_001300770.1	100	99.7	2.71e-249	MULTISPECIES: NADPH-dependent aldehyde reductase Ahr [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Downstream	4128	4319000	4320502	1	WP_001514874.1	100	99.8	0.0	MULTISPECIES: helicase HerA-like C-terminal domain-containing protein [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Downstream	4129	4320663	4321745	-1	WP_001295681.1	100	99.7	1.19e-249	MULTISPECIES: LPS export ABC transporter permease LptG [Enterobacteriaceae]
P4 REGION 1 - NZ_CM128594.1	Downstream	4130	4321745	4322845	-1	WP_000584117.1	100	99.7	2.22e-248	MULTISPECIES: LPS export ABC transporter permease LptF [Enterobacteriaceae]
