Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - LJGV01000022.1	Upstream	4359	5254948	5256543	1	WP_069992936.1	100	99.8	0.0	N-acyl-D-amino-acid deacylase family protein [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Upstream	4360	5256547	5257092	-1	WP_027761644.1	100	97.8	5.35e-122	MULTISPECIES: Uma2 family endonuclease [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Upstream	4361	5257146	5257856	-1	WP_019357661.1	100	99.6	7.87e-170	MULTISPECIES: PAQR family membrane homeostasis protein TrhA [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Upstream	4362	5258285	5260147	1	WP_019357662.1	100	99.8	0.0	MULTISPECIES: phosphoenolpyruvate carboxykinase (GTP) [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Upstream	4363	5260253	5260666	-1	WP_069992937.1	100	99.3	3.09e-80	SCO4983 family protein [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4364	5260763	5261974	-1	CORE	100	99.8	1.47e-299	PROTEIN: WP_019357664.1 MULTISPECIES: pyridoxal phosphate-dependent aminotransferase [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Core	4365	5262253	5262921	1	WP_019357665.1	100	97.3	1.59e-145	MULTISPECIES: TetR/AcrR family transcriptional regulator [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Core	4366	5262940	5264964	-1	WP_026004826.1	100	99.9	0.0	MULTISPECIES: thioredoxin domain-containing protein [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Core	4367	5265183	5265749	1	WP_027761430.1	100	99.5	3.71e-133	MULTISPECIES: Uma2 family endonuclease [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Core	4368	5266697	5267035	1	WP_069992938.1	100	99.1	9.42e-70	MerR family transcriptional regulator [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4369	5267711	5267914	1	CORE	100	98.5	5.16e-42	PROTEIN: WP_069992939.1 cold-shock protein [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4370	5268081	5268284	-1	CORE	100	98.5	1.26e-42	PROTEIN: WP_069992940.1 cold-shock protein [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4371	5268841	5269188	-1	WP_019548059.1	92.2	99.1	5.84e-63	MerR family transcriptional regulator [Streptomyces sulphureus]
PICI REGION 1 - LJGV01000022.1	Core	4372	5270177	5270656	-1	WP_107423102.1	100	99.4	9.49e-106	MarR family transcriptional regulator [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4373	5270728	5272182	1	WP_069992941.1	100	99.8	0.0	MFS transporter [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4374	5272321	5273487	-1	WP_027761432.1	100	99.7	3.06e-273	MULTISPECIES: hypothetical protein [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Core	4375	5273621	5274832	1	WP_069992942.1	100	99.8	3.27e-287	MULTISPECIES: cystathionine gamma-synthase [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Core	4376	5274934	5275188	-1	WP_069992943.1	100	98.8	1.99e-49	hypothetical protein [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Core	4377	5275175	5275723	-1	CORE	100	99.5	3.30e-99	PROTEIN: WP_069992944.1 sigma factor-like helix-turn-helix DNA-binding protein [Streptomyces qinglanensis]
PICI REGION 1 - LJGV01000022.1	Downstream	4378	5275957	5276514	-1	WP_019357701.1	100	99.5	1.14e-121	MULTISPECIES: MarR family winged helix-turn-helix transcriptional regulator [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Downstream	4379	5276733	5277980	1	WP_019357702.1	100	99.8	4.62e-284	MULTISPECIES: threonine ammonia-lyase [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Downstream	4380	5278231	5279307	1	WP_026004830.1	100	99.7	1.07e-251	MULTISPECIES: daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Downstream	4381	5279304	5280164	1	WP_019357704.1	100	99.7	2.01e-197	MULTISPECIES: ABC transporter permease [Streptomyces]
PICI REGION 1 - LJGV01000022.1	Downstream	4382	5280267	5280764	-1	WP_019357705.1	100	99.4	1.33e-108	MULTISPECIES: transcription elongation factor GreA [Streptomyces]
