Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
EPIP REGION 1 - Mawb	Upstream	62	60508	61590	1	WP_115319234.1	100	99.7	1.36e-255	tRNA 2-thiouridine(34) synthase MnmA [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Upstream	63	61568	62167	-1	WP_115319235.1	100	99.5	1.38e-141	sensor domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Upstream	64	62231	63274	1	WP_115319236.1	99.7	96.3	1.55e-231	methionine synthase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Upstream	65	63405	63752	-1	WP_147292004.1	100	99.1	3.88e-69	hypothetical protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Upstream	66	65675	65980	1	WP_241472265.1	80.2	99.0	1.41e-50	P27 family phage terminase small subunit [Mycolicibacterium neoaurum]
EPIP REGION 1 - Mawb	Core	67	66185	66559	1	CORE	100	99.2	6.56e-78	PROTEIN: WP_115319240.1 Gp19/Gp15/Gp42 family protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	68	66556	66897	1	CORE	69.0	98.2	5.13e-48	PROTEIN: WP_241473174.1 phage head completion protein [Mycolicibacterium neoaurum]
EPIP REGION 1 - Mawb	Core	69	67626	68417	1	WP_414688481.1	45.5	25.8	2.97e-06	heparin-binding hemagglutinin [Mycobacterium sp.]
EPIP REGION 1 - Mawb	Core	70	68776	70095	1	WP_115319242.1	100	99.8	0.0	FAD-dependent oxidoreductase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	71	70092	70487	-1	WP_115319243.1	100	99.2	3.43e-90	MULTISPECIES: MmcQ/YjbR family DNA-binding protein [Mycolicibacterium]
EPIP REGION 1 - Mawb	Core	72	70542	72665	1	WP_115321018.1	99.9	98.2	0.0	NAD-dependent DNA ligase LigA [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	73	73216	74169	1	WP_115319244.1	100	99.7	4.87e-220	DUF4878 domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	74	74202	75356	1	WP_115319245.1	100	99.7	2.99e-246	DUF4878 domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	75	75389	76393	1	WP_115319246.1	100	99.7	3.08e-232	AAA family ATPase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	76	76403	77260	1	WP_115319247.1	100	99.7	1.86e-197	DUF58 domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	77	77265	77741	1	WP_115319248.1	100	99.4	3.73e-107	hypothetical protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	78	77732	78823	1	WP_115319249.1	100	99.7	2.79e-245	hypothetical protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	79	78820	79872	1	WP_115319250.1	100	99.7	4.82e-244	VWA domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	80	79872	80870	1	WP_225400338.1	60.6	95.2	9.27e-90	tetratricopeptide repeat protein [[Mycobacterium] zoologicum]
EPIP REGION 1 - Mawb	Core	81	80878	81537	-1	WP_115319253.1	100	99.5	2.09e-152	amino acid-binding protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	82	81690	81989	1	WP_115321019.1	100	99.0	1.49e-60	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	83	81986	83470	1	WP_115319254.1	100	99.8	0.0	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	84	83489	84520	1	WP_036339260.1	100	99.7	2.50e-247	MULTISPECIES: ATP-dependent 6-phosphofructokinase [Mycobacteriaceae]
EPIP REGION 1 - Mawb	Core	85	84569	86080	1	WP_115319255.1	100	99.8	0.0	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	86	86085	86654	-1	WP_232077748.1	100	99.5	5.27e-138	HAD family hydrolase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	87	86834	87526	1	WP_115321020.1	100	93.5	3.01e-145	MULTISPECIES: response regulator [Mycobacteriaceae]
EPIP REGION 1 - Mawb	Core	88	87523	88731	1	WP_115319257.1	100	99.8	1.41e-276	GAF domain-containing sensor histidine kinase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	89	88734	89795	-1	WP_115319258.1	100	99.7	4.36e-253	AraC family transcriptional regulator [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	90	89997	90533	1	WP_115319259.1	100	99.4	9.47e-113	DUF1641 domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	91	90618	91589	1	WP_036339240.1	100	99.7	9.41e-251	MULTISPECIES: hydrogenase [Mycobacteriaceae]
EPIP REGION 1 - Mawb	Core	92	91644	93251	1	WP_115321021.1	100	99.8	0.0	nickel-dependent hydrogenase large subunit [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	93	93248	94369	1	WP_115321022.1	99.6	66.8	2.91e-177	hydrogenase maturation protease [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	94	94383	95648	1	WP_286198936.1	95.7	99.8	1.67e-257	hypothetical protein [Mycobacterium sp. ELW1]
EPIP REGION 1 - Mawb	Core	95	95632	96522	1	WP_115319261.1	100	99.7	1.68e-210	NifU family protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	96	96519	97697	1	WP_115319262.1	100	99.7	1.04e-307	NHL repeat-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	97	97694	98530	1	WP_115319263.1	100	99.6	2.03e-202	hypothetical protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	98	98527	99744	1	WP_232077577.1	99.8	98.5	2.53e-293	cytochrome P450 [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	99	99765	100550	-1	WP_115319264.1	100	99.6	3.12e-168	hydrogenase nickel incorporation protein HypB [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	100	100575	100910	-1	WP_115319265.1	100	99.1	2.82e-75	hydrogenase maturation nickel metallochaperone HypA [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	101	101168	103498	1	WP_115319266.1	100	99.9	0.0	carbamoyltransferase HypF [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	102	103471	103746	1	WP_115319267.1	100	98.9	9.72e-60	MULTISPECIES: HypC/HybG/HupF family hydrogenase formation chaperone [Mycolicibacterium]
EPIP REGION 1 - Mawb	Core	103	103743	104846	1	WP_115319268.1	100	99.7	1.56e-269	hydrogenase formation protein HypD [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	104	104839	106053	1	WP_115319269.1	100	86.9	2.14e-244	hydrogenase expression/formation protein HypE [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	105	106235	106894	-1	WP_115319270.1	100	99.5	1.19e-142	GntR family transcriptional regulator [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	106	106939	107928	-1	WP_115319271.1	100	99.7	3.10e-234	transketolase family protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	107	107925	108764	-1	WP_115319272.1	100	99.6	4.25e-200	transketolase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	108	108764	110107	-1	WP_115321025.1	100	99.8	2.83e-308	MFS transporter [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	109	110310	111140	1	WP_115321026.1	100	99.6	5.14e-195	sugar phosphate isomerase/epimerase family protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	110	111161	111928	1	WP_115319273.1	100	99.6	8.01e-168	SDR family NAD(P)-dependent oxidoreductase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	111	111937	113655	1	WP_115319274.1	100	99.8	0.0	dihydroxyacetone kinase family protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	112	113652	114122	1	WP_115319275.1	100	99.4	8.49e-103	ribose-5-phosphate isomerase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	113	114109	115392	-1	WP_115319276.1	100	99.8	3.22e-297	TetR/AcrR family transcriptional regulator [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	114	115519	116649	-1	WP_115319277.1	100	99.7	2.13e-267	PQQ-dependent sugar dehydrogenase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	115	116846	117619	1	WP_178059265.1	100	99.6	5.50e-183	DoxX family protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	116	117620	118033	-1	WP_115321027.1	100	97.1	5.45e-87	PH domain-containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	117	118256	120142	1	WP_115321028.1	99.8	98.4	0.0	acetolactate synthase large subunit [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	118	120142	120654	1	WP_036339188.1	100	99.4	1.17e-109	MULTISPECIES: acetolactate synthase small subunit [Mycobacteriaceae]
EPIP REGION 1 - Mawb	Core	119	120644	121708	1	WP_172507308.1	100	93.8	2.16e-237	ketol-acid reductoisomerase [Mycolicibacterium aichiense]
EPIP REGION 1 - Mawb	Core	120	121759	123180	-1	WP_115319280.1	99.8	99.8	0.0	phytoene desaturase family protein [Mycolicibacterium aichiense]
