Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - BX571856.1	Upstream	1477	1608073	1608528	-1	WP_000169127.1	100	99.3	4.60e-100	MULTISPECIES: Ig-like domain-containing protein [Bacteria]
CFPICI REGION 1 - BX571856.1	Upstream	1478	1608620	1609261	-1	WP_000807536.1	100	99.5	2.77e-154	MULTISPECIES: major tail protein [Bacteria]
CFPICI REGION 1 - BX571856.1	Upstream	1479	1609296	1609691	-1	WP_001023806.1	100	99.2	1.57e-86	MULTISPECIES: DUF3168 domain-containing protein [Staphylococcus]
CFPICI REGION 1 - BX571856.1	Upstream	1480	1609692	1610093	-1	YP_007005730.1	100	99.3	7.43e-86	putative DNA-binding protein [Staphylococcus phage SMSAP5]
CFPICI REGION 1 - BX571856.1	Upstream	1481	1610090	1610422	-1	WP_000395502.1	100	99.1	3.06e-74	MULTISPECIES: hypothetical protein [Staphylococcus]
CFPICI REGION 1 - BX571856.1	Core	1482	1610434	1610712	-1	CORE	100	98.9	1.80e-60	PROTEIN: WP_000050973.1 MULTISPECIES: head-tail connector protein [Bacteria]
CFPICI REGION 1 - BX571856.1	Core	1483	1610781	1611989	-1	YP_002268008.1	100	99.8	1.44e-285	major capsid protein [Staphylococcus phage phi2958PVL]
CFPICI REGION 1 - BX571856.1	Core	1484	1611956	1612729	-1	WP_000061871.1	100	99.6	7.47e-174	head maturation protease, ClpP-related [Staphylococcus aureus]
CFPICI REGION 1 - BX571856.1	Core	1485	1612713	1613951	-1	CORE	100	99.8	7.02e-298	PROTEIN: WP_001100670.1 MULTISPECIES: phage portal protein [Bacteria]
CFPICI REGION 1 - BX571856.1	Core	1486	1613956	1615647	-1	CORE	100	99.8	0.0	PROTEIN: WP_000153547.1 terminase large subunit [Staphylococcus aureus]
CFPICI REGION 1 - BX571856.1	Core	1487	1615637	1615942	-1	WP_000778932.1	100	99.0	9.19e-65	MULTISPECIES: P27 family phage terminase small subunit [Bacteria]
CFPICI REGION 1 - BX571856.1	Core	1488	1616068	1616382	-1	CORE	100	99.0	4.64e-73	PROTEIN: WP_000160688.1 HNH endonuclease [Staphylococcus aureus]
CFPICI REGION 1 - BX571856.1	Downstream	1489	1616539	1616976	-1	WP_000528514.1	100	99.3	5.68e-98	MULTISPECIES: transcriptional regulator [Staphylococcus]
CFPICI REGION 1 - BX571856.1	Downstream	1490	1616989	1618356	-1	WP_001793488.1	100	99.8	0.0	MULTISPECIES: SNF2-related protein [Staphylococcus]
CFPICI REGION 1 - BX571856.1	Downstream	1491	1618337	1618627	-1	WP_000665205.1	100	99.0	9.06e-65	MULTISPECIES: VRR-NUC domain-containing protein [Bacillati]
CFPICI REGION 1 - BX571856.1	Downstream	1492	1618968	1621415	-1	WP_000884880.1	100	99.9	0.0	virulence-associated E family protein [Staphylococcus aureus]
CFPICI REGION 1 - BX571856.1	Downstream	1493	1621468	1621668	-1	WP_000265258.1	100	98.5	8.43e-34	MULTISPECIES: DUF1514 family protein [Bacteria]
