Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - LR593887.1	Upstream	2492	3187031	3188113	-1	WP_162658187.1	100	99.7	3.14e-245	phage minor head protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Upstream	2493	3188110	3189699	-1	WP_162658188.1	100	99.8	0.0	phage portal protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Upstream	2494	3189711	3190139	-1	WP_162658189.1	100	99.3	3.32e-100	hypothetical protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Upstream	2495	3190197	3191201	-1	WP_162658190.1	100	99.7	1.30e-258	DNA-methyltransferase [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Upstream	2496	3191198	3192679	-1	WP_162658191.1	100	99.8	0.0	terminase large subunit domain-containing protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2497	3192639	3193166	-1	CORE	100	99.4	2.63e-113	PROTEIN: WP_162658192.1 terminase small subunit [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2498	3193350	3194426	1	WP_310348789.1	38.0	21.4	6.66e-06	cell envelope integrity protein TolA [Pseudomonas sp. BE134]
PICI REGION 1 - LR593887.1	Core	2499	3194654	3196759	-1	CORE	100	99.9	0.0	PROTEIN: WP_162658194.1 bifunctional DNA primase/polymerase [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2500	3196753	3198720	-1	WP_162658195.1	100	99.8	0.0	DEAD/DEAH box helicase [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2501	3198717	3199292	-1	WP_162658196.1	100	99.5	1.10e-131	RusA family crossover junction endodeoxyribonuclease [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2502	3199363	3199878	-1	WP_162658197.1	100	99.4	8.52e-108	DUF669 domain-containing protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2503	3199881	3200663	-1	WP_162658198.1	100	99.6	2.02e-193	ATP-binding protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2504	3201314	3201784	-1	WP_162658200.1	100	99.4	3.29e-91	hypothetical protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Core	2505	3201799	3202014	-1	CORE	100	98.6	8.96e-42	PROTEIN: WP_315852462.1 sigma factor-like helix-turn-helix DNA-binding protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Downstream	2506	3202159	3202383	-1	WP_297056950.1	40.5	98.7	2.33e-07	sigma-70 family RNA polymerase sigma factor, partial [Thermosulfurimonas sp.]
PICI REGION 1 - LR593887.1	Downstream	2507	3202380	3202847	-1	WP_162658202.1	100	99.4	8.87e-109	dATP/dGTP pyrophosphohydrolase domain-containing protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Downstream	2508	3202840	3203052	-1	WP_162658203.1	100	98.6	2.69e-43	helix-turn-helix domain-containing protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Downstream	2510	3204113	3204724	1	WP_232056147.1	100	99.5	1.50e-144	LexA family protein [Tuwongella immobilis]
PICI REGION 1 - LR593887.1	Downstream	2511	3204869	3206020	1	WP_232056149.1	100	91.9	7.04e-260	tyrosine-type recombinase/integrase [Tuwongella immobilis]
