NZ_LJHL01000057.1_1|3|149|-1|ID=1_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.646	WP_136244497.1 cutinase family protein, partial [Mycobacterium intracellulare]	98.0	100	7.07e-22
NZ_LJHL01000057.1_2|703|2190|1|ID=1_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.656	WP_054585088.1 flavin-containing monooxygenase [Mycobacterium intracellulare]	100	99.8	0.0
NZ_LJHL01000057.1_3|2195|2647|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.702	WP_225336973.1 septum formation family protein [Mycobacterium intracellulare]	100	88.7	4.97e-91
NZ_LJHL01000057.1_4|2678|3220|-1|ID=1_4;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.657	WP_054585090.1 ester cyclase [Mycobacterium intracellulare]	100	99.4	6.73e-132
NZ_LJHL01000057.1_5|3261|4568|-1|ID=1_5;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667	WP_042911510.1 cytochrome P450 [Mycobacterium intracellulare]	100	99.8	0.0
NZ_LJHL01000057.1_6|4603|4959|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.669	WP_026071561.1 MULTISPECIES: MmpS family transport accessory protein [Mycobacterium]	100	96.6	1.33e-78
NZ_LJHL01000057.1_7|5041|6126|1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.674	WP_020822267.1 NAD(P)H-dependent amine dehydrogenase family protein [Mycobacterium intracellulare]	100	99.7	1.44e-271
NZ_LJHL01000057.1_8|6236|7948|1|ID=1_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.756	WP_054585091.1 Hsp70 family protein [Mycobacterium intracellulare]	100	99.8	0.0
NZ_LJHL01000057.1_9|7986|8354|-1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.623	WP_054585092.1 hypothetical protein [Mycobacterium intracellulare]	100	99.2	1.75e-72
NZ_LJHL01000057.1_10|8429|9505|-1|ID=1_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705	WP_054585093.1 SAM-dependent methyltransferase [Mycobacterium intracellulare]	100	99.7	1.93e-260
NZ_LJHL01000057.1_11|9584|10207|-1|ID=1_11;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.700	WP_054585094.1 MBL fold metallo-hydrolase [Mycobacterium intracellulare]	100	99.5	5.00e-154
NZ_LJHL01000057.1_12|10207|11292|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.700	WP_054585095.1 S-(hydroxymethyl)mycothiol dehydrogenase [Mycobacterium intracellulare]	100	99.7	7.07e-263
NZ_LJHL01000057.1_13|11371|12429|1|ID=1_13;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.698	WP_054585096.1 class I SAM-dependent methyltransferase [Mycobacterium intracellulare]	100	99.7	7.47e-249
NZ_LJHL01000057.1_14|12429|13247|1|ID=1_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.740	WP_054585097.1 serine hydrolase domain-containing protein [Mycobacterium intracellulare]	100	99.6	7.30e-193
NZ_LJHL01000057.1_15|13400|13912|1|ID=1_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.715	WP_008255895.1 MULTISPECIES: DUF3145 domain-containing protein [Mycobacterium]	100	99.4	1.23e-120
NZ_LJHL01000057.1_16|13973|14911|-1|ID=1_16;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.690	WP_020822275.1 diacylglycerol kinase [Mycobacterium intracellulare]	100	99.7	1.06e-221
NZ_LJHL01000057.1_17|14908|16518|-1|ID=1_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.713	WP_087139843.1 FAD-binding oxidoreductase [Mycobacterium intracellulare]	100	98.0	0.0
NZ_LJHL01000057.1_18|16536|17102|1|ID=1_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.691	WP_020822277.1 MULTISPECIES: TetR/AcrR family transcriptional regulator [Mycobacterium]	100	99.5	5.01e-122
NZ_LJHL01000057.1_19|17099|18637|1|ID=1_19;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.723	WP_054585099.1 glycerol-3-phosphate dehydrogenase/oxidase [Mycobacterium intracellulare]	100	99.8	0.0
NZ_LJHL01000057.1_20|18634|19086|-1|ID=1_20;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.684	WP_054585101.1 nucleoside deaminase [Mycobacterium intracellulare]	100	94.7	4.96e-102
NZ_LJHL01000057.1_21|19166|20728|1|ID=1_21;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.683	WP_054585100.1 FAD-dependent monooxygenase [Mycobacterium intracellulare]	100	99.8	0.0
NZ_LJHL01000057.1_22|20791|22212|-1|ID=1_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.707	WP_008255905.1 MULTISPECIES: acyl-CoA carboxylase subunit beta [Mycobacterium]	100	99.8	0.0
NZ_LJHL01000057.1_23|22256|22354|-1|ID=1_23;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.616	WP_231119596.1 MULTISPECIES: hypothetical protein, partial [Mycobacterium avium complex (MAC)]	100	97.0	5.53e-16
