BAAHTZ010000001.1_1|2|310|1|ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.346	WP_159086450.1 DUF1963 domain-containing protein, partial [Staphylococcus aureus]	100	99.0	3.30e-72
BAAHTZ010000001.1_2|1052|1438|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305	WP_001018962.1 MULTISPECIES: toprim domain-containing protein [Staphylococcus]	100	99.2	3.08e-87
BAAHTZ010000001.1_3|1431|1727|1|ID=1_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.276	WP_001065801.1 MULTISPECIES: thioredoxin family protein [Staphylococcus]	100	99.0	5.19e-65
BAAHTZ010000001.1_4|1977|3002|1|ID=1_4;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.348	WP_000571218.1 MULTISPECIES: methionine ABC transporter ATP-binding protein [Staphylococcus]	100	99.7	2.87e-236
BAAHTZ010000001.1_5|2995|3690|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.349	WP_428701096.1 methionine ABC transporter permease [Staphylococcus aureus]	99.6	99.6	5.36e-129
BAAHTZ010000001.1_6|3708|4529|1|ID=1_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299	WP_000732326.1 MULTISPECIES: MetQ/NlpA family ABC transporter substrate-binding protein [Staphylococcus]	100	99.6	8.83e-190
BAAHTZ010000001.1_7|4672|5892|-1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.320	WP_000266157.1 MULTISPECIES: tyrosine-type recombinase/integrase [Staphylococcus]	100	99.8	7.47e-290
BAAHTZ010000001.1_8|5981|6709|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267	WP_000733775.1 staphylococcal enterotoxin type K [Staphylococcus aureus]	100	99.6	2.16e-170
BAAHTZ010000001.1_9|6733|7461|-1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.280	WP_001033316.1 MULTISPECIES: staphylococcal enterotoxin type Q [Staphylococcus]	100	99.6	6.46e-172
BAAHTZ010000001.1_10|7531|7962|-1|ID=1_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.299	WP_001228759.1 hypothetical protein [Staphylococcus aureus]	100	99.3	9.49e-96
BAAHTZ010000001.1_11|7979|8437|-1|ID=1_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.340	WP_000281657.1 MULTISPECIES: ImmA/IrrE family metallo-endopeptidase [Staphylococcus]	100	99.3	6.53e-105
BAAHTZ010000001.1_12|8449|8781|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.321	WP_001260004.1 MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]	100	99.1	1.92e-68
BAAHTZ010000001.1_13|8974|9237|1|ID=1_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.322	WP_000243851.1 MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]	100	98.9	8.21e-57
BAAHTZ010000001.1_14|9230|9502|1|ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.330	WP_000091731.1 MULTISPECIES: helix-turn-helix domain-containing protein [Bacteria]	100	98.9	8.71e-58
BAAHTZ010000001.1_15|9493|9660|1|ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.304	WP_148249514.1 pathogenicity island protein [Staphylococcus aureus]	97.9	85.7	2.33e-23
BAAHTZ010000001.1_16|9653|9862|1|ID=1_16;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.300	WP_001058486.1 MULTISPECIES: type II toxin-antitoxin system antitoxin TscA [Staphylococcus]	100	98.6	2.83e-40
BAAHTZ010000001.1_17|9865|10185|1|ID=1_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.287	WP_001103942.1 MULTISPECIES: type II toxin-antitoxin system toxin TscT [Staphylococcus]	100	99.1	2.38e-67
BAAHTZ010000001.1_18|10249|11118|1|ID=1_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.345	WP_001002732.1 MULTISPECIES: primase alpha helix C-terminal domain-containing protein [Staphylococcus]	100	99.7	5.87e-212
BAAHTZ010000001.1_19|11135|12592|1|ID=1_19;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.344	WP_000390455.1 virulence-associated E family protein [Staphylococcus aureus]	100	99.8	0.0
BAAHTZ010000001.1_20|12893|13255|1|ID=1_20;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.339	WP_413218390.1 pathogenicity island protein [Staphylococcus aureus]	99.2	99.2	2.32e-85
BAAHTZ010000001.1_21|13257|13541|1|ID=1_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.337	WP_154284690.1 pathogenicity island protein [Staphylococcus aureus]	98.9	98.9	4.54e-64
BAAHTZ010000001.1_22|13538|14179|1|ID=1_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.346	WP_021758233.1 pathogenicity island protein [Staphylococcus aureus]	99.5	99.5	1.26e-150
BAAHTZ010000001.1_23|14696|15037|1|ID=1_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.327	WP_086038032.1 pathogenicity island protein [Staphylococcus aureus]	99.1	99.1	1.33e-74
BAAHTZ010000001.1_24|15049|15627|1|ID=1_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297	WP_429616306.1 pathogenicity island protein [Staphylococcus aureus]	90.6	99.5	2.49e-108
BAAHTZ010000001.1_25|15645|15863|1|ID=1_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.292	WP_000448101.1 capsid morphogenesis B protein [Staphylococcus aureus]	100	98.6	6.81e-38
BAAHTZ010000001.1_26|15914|16441|1|ID=1_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.312	WP_000771368.1 MULTISPECIES: spore coat protein [Staphylococcus]	100	99.4	8.19e-117
BAAHTZ010000001.1_27|16444|16785|1|ID=1_27;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298	WP_374745952.1 pathogenicity island protein [Staphylococcus aureus]	99.1	99.1	9.37e-75
BAAHTZ010000001.1_28|16782|17351|1|ID=1_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363	WP_001293067.1 MULTISPECIES: terminase small subunit [Staphylococcus]	99.5	99.5	1.06e-128
BAAHTZ010000001.1_29|17659|18459|1|ID=1_29;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.287	WP_000278085.1 MULTISPECIES: staphylococcal enterotoxin type B [Staphylococcus]	100	99.6	3.77e-192
BAAHTZ010000001.1_30|18537|19094|-1|ID=1_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.301	WP_001035631.1 MULTISPECIES: DUF4888 domain-containing protein [Staphylococcus]	100	99.5	2.06e-124
BAAHTZ010000001.1_31|19802|19987|1|ID=1_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.296	YP_009218449.1 transcriptional regulator [Staphylococcus phage SA97]	100	98.4	2.96e-34
BAAHTZ010000001.1_32|20818|21012|1|ID=1_32;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.297	WP_000752917.1 MULTISPECIES: CsbD family protein [Bacillati]	100	98.5	3.63e-34
BAAHTZ010000001.1_33|21245|22096|-1|ID=1_33;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.332	WP_141065376.1 DUF368 domain-containing protein [Staphylococcus aureus]	95.8	99.6	4.04e-175
BAAHTZ010000001.1_34|22424|23185|1|ID=1_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.339	WP_000168845.1 MULTISPECIES: Fe-S cluster assembly ATPase SufC [Staphylococcus]	100	99.6	8.13e-176
BAAHTZ010000001.1_35|23283|24590|1|ID=1_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343	WP_000205572.1 MULTISPECIES: Fe-S cluster assembly protein SufD [Staphylococcus]	100	99.8	1.06e-306
