Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - NZ_OGTW02000046.1	Upstream	20	8096	8278	1	WP_127093830.1	100	98.4	5.77e-36	hypothetical protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Upstream	21	8275	8589	1	WP_127093831.1	100	99.0	1.69e-57	hypothetical protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Upstream	22	8721	8963	1	WP_063283919.1	100	98.8	9.31e-53	MULTISPECIES: DUF6275 family protein [Lactococcus]
CFPICI REGION 1 - NZ_OGTW02000046.1	Upstream	23	9043	9465	1	WP_127093807.1	100	99.3	2.64e-96	RinA family protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Upstream	24	9839	10129	1	WP_011835814.1	100	99.0	4.32e-63	MULTISPECIES: hypothetical protein [Lactobacillales]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	25	10133	10648	1	CORE	100	99.4	5.19e-127	PROTEIN: WP_010905939.1 HNH endonuclease [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	26	10777	11250	1	WP_010905938.1	100	99.4	1.03e-108	phage terminase small subunit P27 family [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	27	11240	13210	1	CORE	100	99.8	0.0	PROTEIN: WP_185852386.1 terminase large subunit [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	28	13182	13388	1	WP_010905936.1	100	98.6	1.30e-38	MULTISPECIES: DUF1056 family protein [Lactobacillales]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	29	13391	14563	1	CORE	100	99.7	8.93e-283	PROTEIN: WP_011835809.1 phage portal protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	30	14609	15313	1	WP_223848659.1	100	99.6	2.72e-160	head maturation protease, ClpP-related [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	31	15325	16557	1	WP_127093833.1	100	99.8	1.81e-283	phage major capsid protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	32	16573	16896	1	WP_127093834.1	100	99.1	4.59e-70	head-tail connector protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Core	33	16871	17221	1	CORE	100	99.1	1.17e-74	PROTEIN: WP_127093835.1 phage head closure protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Downstream	34	17223	17729	1	WP_127093836.1	100	99.4	7.68e-114	HK97 gp10 family phage protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Downstream	35	17726	18121	1	WP_021214449.1	100	99.2	1.51e-84	MULTISPECIES: DUF806 family protein [Bacillati]
CFPICI REGION 1 - NZ_OGTW02000046.1	Downstream	36	18152	18745	1	WP_010905928.1	100	99.5	1.88e-135	phage tail protein [Lactococcus lactis]
CFPICI REGION 1 - NZ_OGTW02000046.1	Downstream	37	18890	19306	1	WP_021214451.1	100	99.3	2.97e-83	MULTISPECIES: phage tail assembly chaperone [Streptococcaceae]
CFPICI REGION 1 - NZ_OGTW02000046.1	Downstream	38	19531	24660	1	WP_127093837.1	100	99.9	0.0	phage tail tape measure protein [Lactococcus lactis]
