accession	family	batch	size_bytes	file
AE005174.2	CFPICI	001	14022	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
AP009351.1	CFPICI	001	2174	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP009351.1_CFPICI_output.tsv
AP017922.1	CFPICI	001	2561	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP017922.1_CFPICI_output.tsv
AP018499.1	CFPICI	001	2866	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP018499.1_CFPICI_output.tsv
AP018499.1	PICI	001	6249	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/AP018499.1_PICI_output.tsv
AP040133.1	CFPICI	001	5559	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP040133.1_CFPICI_output.tsv
AP043817.1	EPIP	001	3801	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/EPIP/AP043817.1_EPIP_output.tsv
BAAHTQ010000004.1	CFPICI	001	3041	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BAAHTQ010000004.1_CFPICI_output.tsv
BX571856.1	CFPICI	001	2661	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BX571856.1_CFPICI_output.tsv
BX571857.1	CFPICI	001	5484	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BX571857.1_CFPICI_output.tsv
CM132592.1	CFPICI	001	8369	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CM132592.1_CFPICI_output.tsv
CM132592.1	PICI	001	5815	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CM132592.1_PICI_output.tsv
CP000046.1	CFPICI	001	2577	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP000046.1_CFPICI_output.tsv
CP002114.3	CFPICI	001	4885	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP002114.3_CFPICI_output.tsv
CP002120.1	CFPICI	001	5077	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP002120.1_CFPICI_output.tsv
CP002120.1	PICI	001	2811	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP002120.1_PICI_output.tsv
CP012120.2	CFPICI	001	4744	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP012120.2_CFPICI_output.tsv
CP022290.1	CFPICI	001	2681	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP022290.1_CFPICI_output.tsv
CP022291.1	CFPICI	001	2332	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP022291.1_CFPICI_output.tsv
CP023390.1	CFPICI	001	2174	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP023390.1_CFPICI_output.tsv
CP023391.1	CFPICI	001	2174	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP023391.1_CFPICI_output.tsv
CP035671.1	CFPICI	001	7456	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP035671.1_CFPICI_output.tsv
CP039156.1	CFPICI	001	7476	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP039156.1_CFPICI_output.tsv
CP040625.1	CFPICI	001	5077	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/CP040625.1_CFPICI_output.tsv
CP042408.1	PICI	001	3062	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/PICI/CP042408.1_PICI_output.tsv
