accession	n_families	families
AP017922.1	2	CFPICI,PICI
AP018499.1	2	CFPICI,PICI
AP040133.1	2	CFPICI,PICI
BX571857.1	2	CFPICI,PICI
CM002330.1	2	CFPICI,PICI
CM132592.1	2	CFPICI,PICI
CP005970.1	2	CFPICI,PICI
CP005976.1	2	CFPICI,PICI
CP006853.1	2	CFPICI,PICI
CP006982.1	2	CFPICI,PICI
CP065702.1	2	CFPICI,PICI
CP065737.1	2	CFPICI,PICI
CP093413.1	2	CFPICI,PICI
CP093959.1	2	CFPICI,PICI
CP094474.1	2	CFPICI,PICI
CP102522.1	2	CFPICI,PICI
CP127616.1	2	CFPICI,PICI
CP127780.1	2	CFPICI,PICI
CP157495.1	2	CFPICI,PICI
CP157498.1	2	CFPICI,PICI
CP157500.1	2	CFPICI,PICI
NC_002695.2	2	CFPICI,PICI
NC_004668.1	2	CFPICI,PICI
NZ_AP035757.1	2	CFPICI,PICI
NZ_AP044770.1	2	P4,PICI
NZ_CM128549.1	2	CFPICI,PICI
NZ_CM128581.1	2	CFPICI,PICI
NZ_CM128588.1	3	CFPICI,P4,PICI
NZ_CM128589.1	2	CFPICI,PICI
NZ_CM128592.1	2	CFPICI,PICI
NZ_CM128594.1	3	CFPICI,P4,PICI
NZ_CM128595.1	3	CFPICI,P4,PICI
NZ_CM128596.1	3	CFPICI,P4,PICI
NZ_CM128597.1	2	CFPICI,PICI
NZ_CM128598.1	2	CFPICI,PICI
NZ_CM128599.1	2	CFPICI,PICI
NZ_CM128600.1	2	CFPICI,PICI
NZ_CM128601.1	2	CFPICI,PICI
NZ_CM128602.1	2	CFPICI,PICI
NZ_CM128603.1	2	CFPICI,PICI
NZ_CM128604.1	2	CFPICI,PICI
NZ_CM128605.1	2	CFPICI,PICI
NZ_CM128606.1	2	CFPICI,PICI
NZ_CM129037.1	2	CFPICI,PICI
NZ_CM129038.1	2	CFPICI,PICI
NZ_CM129039.1	2	CFPICI,PICI
NZ_CM129040.1	2	CFPICI,PICI
NZ_CM129041.1	2	CFPICI,PICI
NZ_CM129854.1	2	CFPICI,PICI
NZ_CM132944.1	2	CFPICI,PICI
NZ_CM135133.1	3	CFPICI,P4,PICI
NZ_CM144239.1	2	CFPICI,PICI
NZ_CM144240.1	2	CFPICI,PICI
NZ_CM144241.1	2	CFPICI,PICI
NZ_CM144242.1	2	CFPICI,PICI
NZ_CM144243.1	2	CFPICI,PICI
NZ_CM144247.1	2	CFPICI,PICI
NZ_CM144251.1	2	CFPICI,PICI
NZ_CM148319.1	3	CFPICI,P4,PICI
NZ_CM148361.1	2	CFPICI,PICI
NZ_CM149554.1	2	CFPICI,PICI
NZ_CM149560.1	2	CFPICI,PICI
NZ_CM149564.1	2	CFPICI,PICI
NZ_CM149567.1	2	CFPICI,PICI
NZ_CM149575.1	2	CFPICI,PICI
NZ_CP027352.1	3	CFPICI,P4,PICI
NZ_CP027380.1	2	CFPICI,PICI
NZ_CP027390.1	3	CFPICI,P4,PICI
NZ_CP027442.1	2	CFPICI,PICI
NZ_CP027472.1	2	CFPICI,PICI
NZ_CP027573.1	2	CFPICI,PICI
NZ_CP029242.1	2	P4,PICI
NZ_CP049852.1	2	CFPICI,PICI
NZ_CP054169.1	2	CFPICI,PICI
NZ_CP058897.1	2	CFPICI,PICI
NZ_CP058917.1	2	CFPICI,PICI
NZ_CP058922.1	2	CFPICI,PICI
NZ_CP059332.1	2	CFPICI,PICI
NZ_CP059339.1	2	CFPICI,PICI
NZ_CP073984.1	2	CFPICI,PICI
NZ_CP074019.1	2	CFPICI,PICI
NZ_CP075852.1	2	CFPICI,PICI
NZ_CP076272.1	2	CFPICI,PICI
NZ_CP078137.1	2	CFPICI,PICI
