Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BX950851.1	Upstream	2688	3086967	3087251	1	WP_011094282.1	100	98.9	4.93e-59	MULTISPECIES: 50S ribosomal protein L25 [Pectobacterium]
PICI REGION 1 - BX950851.1	Upstream	2689	3087351	3088499	1	WP_011094283.1	100	99.7	9.49e-274	DUF1624 domain-containing protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Upstream	2690	3088583	3089593	-1	WP_011094284.1	100	99.7	7.08e-239	nucleoid-associated protein YejK [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Upstream	2691	3089796	3090026	1	WP_011094285.1	100	98.7	2.03e-43	MULTISPECIES: YejL family protein [Pectobacterium]
PICI REGION 1 - BX950851.1	Upstream	2692	3090041	3091789	1	WP_011094286.1	100	99.8	0.0	LPS biosynthesis-modulating metalloenzyme YejM [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Core	2693	3092131	3093381	1	CORE	100	99.8	1.00e-299	PROTEIN: WP_011094287.1 integrase domain-containing protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Core	2694	3093528	3094412	1	WP_011094288.1	100	99.7	2.48e-211	MULTISPECIES: hypothetical protein [Pectobacterium]
PICI REGION 1 - BX950851.1	Core	2695	3094518	3094733	1	WP_010286533.1	100	98.6	9.70e-42	MULTISPECIES: helix-turn-helix transcriptional regulator [Pectobacteriaceae]
PICI REGION 1 - BX950851.1	Core	2696	3094872	3095063	-1	WP_039291225.1	100	98.4	2.19e-39	MULTISPECIES: YlcI/YnfO family protein [Pectobacterium]
PICI REGION 1 - BX950851.1	Core	2697	3095253	3095453	1	WP_039291223.1	100	98.5	4.64e-40	MULTISPECIES: host cell division inhibitor Icd-like protein [Pectobacterium]
PICI REGION 1 - BX950851.1	Core	2698	3095446	3095613	1	WP_162837369.1	100	98.2	1.06e-29	MULTISPECIES: hypothetical protein [Pectobacterium]
PICI REGION 1 - BX950851.1	Core	2699	3095610	3098216	1	CORE	100	99.9	0.0	PROTEIN: WP_011094290.1 TOPRIM and DUF927 domain-containing protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Core	2700	3099005	3100030	1	WP_011094292.1	100	99.7	1.83e-248	DUF5677 domain-containing protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Core	2701	3100258	3100503	1	WP_010286544.1	100	98.8	4.60e-49	MULTISPECIES: type II toxin-antitoxin system RelB family antitoxin [Pectobacteriaceae]
PICI REGION 1 - BX950851.1	Core	2702	3100493	3100777	1	CORE	100	98.9	2.17e-62	PROTEIN: WP_011094293.1 type II toxin-antitoxin system RelE/ParE family toxin [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Downstream	2703	3100823	3101182	1	WP_011094294.1	100	99.2	2.24e-78	hypothetical protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Downstream	2704	3101846	3102175	-1	WP_011094295.1	100	99.1	2.62e-79	DHCW motif cupin fold protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Downstream	2705	3102235	3102771	-1	WP_011094296.1	100	99.4	3.33e-122	rhodanese family protein [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Downstream	2706	3103159	3104562	1	WP_039291220.1	100	99.8	0.0	EmmdR/YeeO family multidrug/toxin efflux MATE transporter [Pectobacterium atrosepticum]
PICI REGION 1 - BX950851.1	Downstream	2707	3104605	3105774	-1	WP_011094298.1	100	99.7	5.25e-270	MFS transporter [Pectobacterium atrosepticum]
