Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_JBGEDP010000001.1	Upstream	221	248731	249045	-1	WP_144955196.1	100	99.0	1.90e-63	MULTISPECIES: helix-turn-helix domain-containing protein [Mycobacterium]
PICI REGION 1 - NZ_JBGEDP010000001.1	Upstream	222	249042	249200	-1	CORE	100	54.7	4.20e-09	PROTEIN: WP_428348171.1 tyrosine-type recombinase/integrase [Nocardioides sp.]
PICI REGION 1 - NZ_JBGEDP010000001.1	Upstream	223	249197	250792	-1	WP_369741375.1	100	99.2	0.0	flavin-containing monooxygenase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Upstream	224	250789	251994	-1	WP_202870083.1	62.5	97.5	1.99e-168	zinc ribbon domain-containing protein [Kribbella caucasensis]
PICI REGION 1 - NZ_JBGEDP010000001.1	Upstream	225	253222	253554	-1	WP_369736420.1	100	99.1	9.15e-67	helix-turn-helix domain-containing protein [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	226	253554	254681	-1	CORE	100	91.8	2.47e-265	PROTEIN: WP_369741376.1 tyrosine-type recombinase/integrase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	227	254810	255838	-1	CORE	100	99.7	1.77e-251	PROTEIN: WP_369736422.1 tyrosine-type recombinase/integrase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	228	255993	256121	1	WP_369736423.1	97.6	97.7	9.19e-19	ATP-binding protein [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	229	256142	256342	1	WP_369736424.1	100	98.5	3.83e-39	hypothetical protein [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	230	256342	256962	1	WP_342781099.1	64.5	68.1	7.61e-45	ATP-binding protein, partial [Mycobacterium helveticum]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	231	257164	258507	-1	WP_369736426.1	100	99.8	0.0	IS256 family transposase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	232	258639	259925	1	WP_369736892.1	100	99.5	1.91e-312	IS256 family transposase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	233	261162	261458	-1	CORE	100	99.0	2.67e-67	PROTEIN: WP_369736430.1 type II toxin-antitoxin system RelE/ParE family toxin [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	234	261455	261706	-1	WP_369736431.1	100	98.8	9.51e-52	type II toxin-antitoxin system ParD family antitoxin [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	235	261745	261897	1	WP_369736432.1	100	98.0	1.08e-29	SET domain-containing protein-lysine N-methyltransferase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	236	262269	262742	1	WP_369736433.1	100	99.4	1.16e-105	SgcJ/EcaC family oxidoreductase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	237	262969	264984	1	WP_369736434.1	100	99.9	0.0	GNAT family N-acetyltransferase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	238	265076	265873	1	CORE	100	99.6	8.12e-182	PROTEIN: WP_369736435.1 aminotransferase class V-fold PLP-dependent enzyme [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	239	265944	267191	1	WP_369736437.1	100	99.8	2.09e-296	IS256 family transposase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Core	240	267248	267550	1	CORE	83.0	99.0	6.64e-49	PROTEIN: WP_330981347.1 aminotransferase class V-fold PLP-dependent enzyme [Mycobacterium sp. 050128]
PICI REGION 1 - NZ_JBGEDP010000001.1	Downstream	241	267990	268748	-1	WP_369736439.1	100	95.3	1.29e-178	hypothetical protein [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Downstream	242	268844	269386	1	WP_369736440.1	99.4	99.4	1.04e-119	ISAs1 family transposase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Downstream	243	269406	270692	-1	WP_369736892.1	100	99.5	1.91e-312	IS256 family transposase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Downstream	244	270759	271295	1	WP_369736441.1	100	99.4	9.22e-129	ISAs1 family transposase [Mycobacterium servetii]
PICI REGION 1 - NZ_JBGEDP010000001.1	Downstream	245	271290	271715	-1	WP_369736443.1	100	99.3	9.17e-102	hypothetical protein [Mycobacterium servetii]
