Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHTX010000005.1	Upstream	110	106746	107087	1	WP_117217112.1	99.1	99.1	4.64e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Upstream	111	107099	107677	1	WP_286209886.1	100	99.5	8.70e-109	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Upstream	112	107695	107913	1	WP_000448775.1	100	98.6	6.81e-38	MULTISPECIES: capsid morphogenesis B protein [Bacilli]
PICI REGION 1 - BAAHTX010000005.1	Upstream	113	107964	108491	1	WP_000771356.1	100	99.4	5.77e-117	spore coat protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Upstream	114	108494	108835	1	WP_217151841.1	99.1	99.1	3.27e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Core	115	108832	109401	1	CORE	100	99.5	3.16e-130	PROTEIN: WP_001293080.1 terminase small subunit [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Core	116	109678	110646	1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHTX010000005.1	Core	117	111829	112014	1	YP_009218449.1	100	98.4	2.96e-34	transcriptional regulator [Staphylococcus phage SA97]
PICI REGION 1 - BAAHTX010000005.1	Core	118	113153	114127	-1	CORE	100	96.0	1.09e-224	PROTEIN: WP_001822249.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHTX010000005.1	Core	119	114130	114441	-1	CORE	100	99.0	8.76e-64	PROTEIN: WP_001797636.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Core	120	114519	114677	-1	CORE	100	98.1	7.16e-29	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Downstream	121	115037	115648	1	WP_000475326.1	100	99.5	3.94e-140	MULTISPECIES: staphylococcal enterotoxin-like toxin X [Staphylococcus]
PICI REGION 1 - BAAHTX010000005.1	Downstream	123	116017	116385	1	WP_108932421.1	100	99.2	1.62e-77	YxeA family protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTX010000005.1	Downstream	124	116566	117138	1	WP_000769720.1	100	99.5	8.29e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTX010000005.1	Downstream	125	117276	117539	-1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTX010000005.1	Downstream	126	117839	118090	1	WP_050963020.1	84.3	98.8	1.47e-37	GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Upstream	93	96122	96418	1	WP_001261460.1	100	99.0	3.52e-63	MULTISPECIES: 30S ribosomal protein S6 [Bacteria]
PICI REGION 2 - BAAHTX010000005.1	Upstream	94	96439	96942	1	WP_061839556.1	91.6	99.4	1.08e-99	single-stranded DNA-binding protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Upstream	95	96994	97236	1	WP_000897044.1	100	98.8	3.02e-49	MULTISPECIES: 30S ribosomal protein S18 [Bacteria]
PICI REGION 2 - BAAHTX010000005.1	Upstream	96	97418	98248	-1	WP_000357934.1	100	99.6	5.36e-197	KilA-N domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Upstream	97	98267	98734	-1	WP_326033815.1	70.3	99.4	4.83e-72	hypothetical protein [Staphylococcus xylosus]
PICI REGION 2 - BAAHTX010000005.1	Core	98	98731	99948	-1	CORE	100	99.8	6.34e-286	PROTEIN: WP_000270130.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Core	99	100404	101099	-1	WP_000668212.1	100	99.6	6.33e-121	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Core	100	101243	101455	1	WP_000794656.1	100	98.6	9.04e-42	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Core	101	101456	101728	1	WP_000091734.1	100	98.9	6.13e-58	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Core	102	101719	101886	1	WP_148121253.1	97.9	85.7	1.35e-22	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Core	103	101879	102088	1	WP_001058486.1	100	98.6	2.83e-40	MULTISPECIES: type II toxin-antitoxin system antitoxin TscA [Staphylococcus]
PICI REGION 2 - BAAHTX010000005.1	Core	104	102091	102408	1	WP_001103936.1	100	99.1	9.01e-67	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 2 - BAAHTX010000005.1	Core	105	102472	103341	1	WP_001002700.1	100	99.7	4.83e-211	primase alpha helix C-terminal domain-containing protein [Staphylococcus aureus]
