Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHTN010000001.1	Upstream	547	556139	557446	-1	WP_000205572.1	100	99.8	1.06e-306	MULTISPECIES: Fe-S cluster assembly protein SufD [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Upstream	548	557544	558305	-1	WP_000168845.1	100	99.6	8.13e-176	MULTISPECIES: Fe-S cluster assembly ATPase SufC [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Upstream	549	558633	559484	1	WP_141065376.1	95.8	99.6	4.04e-175	DUF368 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Upstream	550	559717	559911	-1	WP_000752917.1	100	98.5	3.63e-34	MULTISPECIES: CsbD family protein [Bacillati]
PICI REGION 1 - BAAHTN010000001.1	Upstream	551	560945	561499	1	WP_001035618.1	100	99.5	7.17e-120	DUF4888 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	552	561734	562702	-1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Core	553	563131	563622	-1	WP_234694358.1	99.4	99.4	1.89e-105	pathogenicity island protein, partial [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	554	563806	564864	-1	WP_000657538.1	100	99.7	1.11e-250	phage capsid protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	555	564851	565057	-1	WP_000884055.1	100	98.6	1.12e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Core	556	565038	565244	-1	WP_326515163.1	56.9	73.9	3.42e-12	hypothetical protein [Staphylococcus hominis]
PICI REGION 1 - BAAHTN010000001.1	Core	557	565282	565626	-1	WP_123073285.1	99.1	99.1	1.61e-80	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	558	566297	568669	-1	WP_000985235.1	100	99.9	0.0	phage/plasmid primase, P4 family [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	559	568761	569009	-1	WP_001103959.1	100	98.8	5.32e-53	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	560	569010	569393	-1	WP_303751621.1	98.4	99.2	4.39e-82	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	561	569395	569598	-1	WP_164071220.1	98.5	98.5	6.04e-41	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	562	569565	569759	-1	WP_141060246.1	100	87.7	2.71e-29	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	563	569750	570022	-1	WP_000091732.1	100	98.9	1.24e-57	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	564	570015	570278	-1	WP_000243849.1	100	98.9	5.77e-57	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Core	565	570471	570803	1	WP_001260004.1	100	99.1	1.92e-68	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Core	566	570815	571273	1	WP_000281658.1	100	99.3	3.93e-106	MULTISPECIES: ImmA/IrrE family metallo-endopeptidase [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Core	567	571290	572018	1	WP_001033321.1	100	99.6	4.55e-172	MULTISPECIES: staphylococcal enterotoxin type Q [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Core	568	572042	572770	1	WP_000734020.1	100	99.6	2.63e-171	staphylococcal enterotoxin type K [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Core	569	572858	574078	1	CORE	100	99.8	3.04e-289	PROTEIN: WP_000266158.1 MULTISPECIES: tyrosine-type recombinase/integrase [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Downstream	570	574221	575042	-1	WP_000732326.1	100	99.6	8.83e-190	MULTISPECIES: MetQ/NlpA family ABC transporter substrate-binding protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Downstream	571	575060	575755	-1	WP_428701096.1	99.6	99.6	5.36e-129	methionine ABC transporter permease [Staphylococcus aureus]
PICI REGION 1 - BAAHTN010000001.1	Downstream	572	575748	576773	-1	WP_000571218.1	100	99.7	2.87e-236	MULTISPECIES: methionine ABC transporter ATP-binding protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Downstream	573	577023	577319	-1	WP_001065801.1	100	99.0	5.19e-65	MULTISPECIES: thioredoxin family protein [Staphylococcus]
PICI REGION 1 - BAAHTN010000001.1	Downstream	574	577312	577698	-1	WP_001018962.1	100	99.2	3.08e-87	MULTISPECIES: toprim domain-containing protein [Staphylococcus]
