Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHSV010000001.1	Upstream	496	528987	530294	-1	WP_000205572.1	100	99.8	1.06e-306	MULTISPECIES: Fe-S cluster assembly protein SufD [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Upstream	497	530392	531153	-1	WP_000168845.1	100	99.6	8.13e-176	MULTISPECIES: Fe-S cluster assembly ATPase SufC [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Upstream	498	531481	532332	1	WP_141065376.1	95.8	99.6	4.04e-175	DUF368 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Upstream	499	532565	532759	-1	WP_000752917.1	100	98.5	3.63e-34	MULTISPECIES: CsbD family protein [Bacillati]
PICI REGION 1 - BAAHSV010000001.1	Upstream	500	533793	534347	1	WP_001035618.1	100	99.5	7.17e-120	DUF4888 domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	501	534582	535550	-1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Core	502	535979	536470	-1	WP_234694358.1	99.4	99.4	1.89e-105	pathogenicity island protein, partial [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	503	536654	537712	-1	WP_000657538.1	100	99.7	1.11e-250	phage capsid protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	504	537699	537905	-1	WP_000884055.1	100	98.6	1.12e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Core	505	537886	538092	-1	WP_326515163.1	56.9	73.9	3.42e-12	hypothetical protein [Staphylococcus hominis]
PICI REGION 1 - BAAHSV010000001.1	Core	506	538130	538474	-1	WP_123073285.1	99.1	99.1	1.61e-80	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	507	539145	541517	-1	WP_000985235.1	100	99.9	0.0	phage/plasmid primase, P4 family [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	508	541609	541857	-1	WP_001103959.1	100	98.8	5.32e-53	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	509	541858	542241	-1	WP_303751621.1	98.4	99.2	4.39e-82	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	510	542243	542446	-1	WP_164071220.1	98.5	98.5	6.04e-41	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	511	542413	542607	-1	WP_141060246.1	100	87.7	2.71e-29	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	512	542598	542870	-1	WP_000091732.1	100	98.9	1.24e-57	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	513	542863	543126	-1	WP_000243849.1	100	98.9	5.77e-57	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Core	514	543319	543651	1	WP_001260004.1	100	99.1	1.92e-68	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Core	515	543663	544121	1	WP_000281658.1	100	99.3	3.93e-106	MULTISPECIES: ImmA/IrrE family metallo-endopeptidase [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Core	516	544138	544866	1	WP_001033321.1	100	99.6	4.55e-172	MULTISPECIES: staphylococcal enterotoxin type Q [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Core	517	544890	545618	1	WP_000734020.1	100	99.6	2.63e-171	staphylococcal enterotoxin type K [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Core	518	545706	546926	1	CORE	100	99.8	3.04e-289	PROTEIN: WP_000266158.1 MULTISPECIES: tyrosine-type recombinase/integrase [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Downstream	519	547069	547890	-1	WP_000732326.1	100	99.6	8.83e-190	MULTISPECIES: MetQ/NlpA family ABC transporter substrate-binding protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Downstream	520	547908	548603	-1	WP_428701096.1	99.6	99.6	5.36e-129	methionine ABC transporter permease [Staphylococcus aureus]
PICI REGION 1 - BAAHSV010000001.1	Downstream	521	548596	549621	-1	WP_000571218.1	100	99.7	2.87e-236	MULTISPECIES: methionine ABC transporter ATP-binding protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Downstream	522	549871	550167	-1	WP_001065801.1	100	99.0	5.19e-65	MULTISPECIES: thioredoxin family protein [Staphylococcus]
PICI REGION 1 - BAAHSV010000001.1	Downstream	523	550160	550546	-1	WP_001018962.1	100	99.2	3.08e-87	MULTISPECIES: toprim domain-containing protein [Staphylococcus]
