query_id	family	reference	aligned_query_bp	query_fraction	aligned_subject_bp	subject_coverage	weighted_pident	bitscore_sum	n_hsps
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	Alyssa1	3756	0.3742	3768	0.3401	82.811	3331.0	8
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	Herbertwm_11104_bp	3494	0.3481	3493	0.3146	79.509	2433.0	9
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	CN1	3422	0.3409	3451	0.3175	80.074	2501.5	7
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	Caroline1	3422	0.3409	3451	0.3175	80.074	2501.5	7
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	JSGardenL2	3410	0.3397	3439	0.3161	79.977	2473.3	7
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	WillG	3365	0.3352	3394	0.3124	79.825	2411.7	6
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	Anya	3365	0.3352	3394	0.3122	79.825	2411.7	6
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	ChrisB1	3365	0.3352	3394	0.3122	79.825	2411.7	6
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	SarahF	3365	0.3352	3394	0.3119	79.825	2411.7	6
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	EPIP	Suzzy	3326	0.3313	3355	0.3085	80.33	2478.3	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	Herbertwm_11104_bp	10983	1.0	10983	0.9891	100.0	20283.0	2
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	JSForest2	9845	0.8964	9851	0.8926	98.458	17341.8	4
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	JSForest1	9845	0.8964	9835	0.8911	98.296	17241.8	4
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	Caroline1	8420	0.7666	8410	0.7736	95.628	13493.0	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	JSGardenL2	8409	0.7656	8416	0.7736	95.788	13566.0	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	WillG	8399	0.7647	8405	0.7735	95.83	13569.0	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	ChrisB1	8399	0.7647	8389	0.7716	95.652	13471.0	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	Anya	8399	0.7647	8388	0.7716	95.675	13483.0	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	CN1	8387	0.7636	8399	0.7726	95.801	13536.0	7
machiense_contig_7|EPIP|R1|core|batch=009|record=machiense_contig_7|start=639140|end=650122|strand=mixed	EPIP	SarahF	8363	0.7614	8369	0.7691	95.848	13519.0	7
