Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_NSFK01000001.1	Upstream	2224	2407931	2408263	1	WP_020822293.1	100	99.1	9.88e-71	NAD(P)H-binding protein [Mycobacterium sp. MOTT36Y]
PICI REGION 1 - NZ_NSFK01000001.1	Upstream	2225	2408600	2408908	1	WP_232525834.1	100	99.0	1.16e-63	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Upstream	2226	2408905	2409078	1	WP_020822294.1	100	98.3	4.09e-28	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Upstream	2227	2409075	2409320	1	WP_008255987.1	100	98.8	5.80e-52	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Upstream	2228	2409920	2410057	-1	WP_008255991.1	100	97.8	3.25e-20	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2229	2410143	2410733	-1	CORE	100	99.5	4.84e-142	PROTEIN: WP_008255993.1 MULTISPECIES: Fic family protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2231	2412819	2413172	-1	WP_074021194.1	83.8	99.2	3.46e-63	transposase [Mycobacterium intracellulare]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2232	2413165	2413512	-1	WP_008256000.1	100	99.1	4.10e-70	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2233	2413946	2414806	-1	WP_232525836.1	100	99.7	5.60e-204	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2234	2415590	2418364	-1	WP_008256004.1	100	99.9	0.0	MULTISPECIES: transglycosylase family protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2235	2418489	2418674	-1	WP_036428789.1	100	98.4	8.49e-34	MULTISPECIES: helix-turn-helix transcriptional regulator [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2236	2419225	2420595	-1	CORE	100	99.8	0.0	PROTEIN: WP_008256008.1 MULTISPECIES: DNA primase family protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Core	2237	2420592	2421593	-1	CORE	100	99.7	4.16e-250	PROTEIN: WP_008256010.1 MULTISPECIES: bifunctional DNA primase/polymerase [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Downstream	2238	2421590	2421829	-1	WP_008256013.1	100	98.8	1.23e-52	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Downstream	2239	2421924	2422232	-1	WP_008256014.1	100	99.0	1.41e-64	MULTISPECIES: hypothetical protein [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Downstream	2240	2422229	2422438	-1	WP_008256016.1	100	98.6	6.95e-41	MULTISPECIES: helix-turn-helix transcriptional regulator [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Downstream	2241	2423108	2424316	1	WP_008256019.1	100	99.8	5.09e-295	MULTISPECIES: tyrosine-type recombinase/integrase [Mycobacterium]
PICI REGION 1 - NZ_NSFK01000001.1	Downstream	2242	2424323	2425759	-1	WP_008256020.1	100	99.8	0.0	MULTISPECIES: type I glutamate--ammonia ligase [Mycobacterium]
