NZ_ABIN01000295.1_1|3|680|-1|ID=1_1;partial=10;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.693	WP_009957088.1 30S ribosomal protein S3, partial [Mycobacterium intracellulare]	100	100	1.59e-139
NZ_ABIN01000295.1_2|680|1237|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.719	WP_009957089.1 MULTISPECIES: 50S ribosomal protein L22 [Mycobacterium]	100	99.5	1.21e-84
NZ_ABIN01000295.1_3|1234|1515|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.599	WP_009957090.1 MULTISPECIES: 30S ribosomal protein S19 [Mycobacterium]	100	98.9	5.78e-62
NZ_ABIN01000295.1_4|1545|2387|-1|ID=1_4;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.677	WP_008260807.1 MULTISPECIES: 50S ribosomal protein L2 [Mycobacterium]	100	99.6	3.37e-202
NZ_ABIN01000295.1_5|2416|2718|-1|ID=1_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.611	WP_003873516.1 MULTISPECIES: 50S ribosomal protein L23 [Mycobacterium]	100	99.0	3.35e-62
NZ_ABIN01000295.1_6|2718|3389|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689	WP_009957092.1 MULTISPECIES: 50S ribosomal protein L4 [Mycobacterium]	100	99.6	1.58e-149
NZ_ABIN01000295.1_7|3389|4042|-1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.674	WP_008260820.1 MULTISPECIES: 50S ribosomal protein L3 [Mycobacterium]	100	99.5	8.07e-140
NZ_ABIN01000295.1_8|4057|4362|-1|ID=1_8;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.631	WP_003873519.1 MULTISPECIES: 30S ribosomal protein S10 [Mycobacteriaceae]	100	99.0	7.86e-66
NZ_ABIN01000295.1_9|4788|6080|1|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.680	WP_009957094.1 MULTISPECIES: cytochrome P450 [Mycobacterium]	100	97.4	1.35e-304
NZ_ABIN01000295.1_10|6046|6705|-1|ID=1_10;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.711	WP_067248962.1 TetR/AcrR family transcriptional regulator [Mycobacterium sp. 852002-10029_SCH5224772]	94.9	98.2	6.37e-135
NZ_ABIN01000295.1_11|6724|8169|-1|ID=1_11;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.716	WP_009957095.1 mycofactocin dehydrogenase MftG [Mycobacterium intracellulare]	100	99.8	0.0
NZ_ABIN01000295.1_12|8178|10235|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.729	WP_014381122.1 mycofactocin biosynthesis glycosyltransferase MftF [Mycobacterium intracellulare]	100	68.8	0.0
NZ_ABIN01000295.1_13|10489|11676|-1|ID=1_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.697	WP_009957097.1 MULTISPECIES: pre-mycofactocin synthase MftD [Mycobacterium]	100	99.7	3.78e-282
NZ_ABIN01000295.1_14|11679|12890|-1|ID=1_14;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.700	WP_009957098.1 MULTISPECIES: mycofactocin radical SAM maturase [Mycobacterium]	100	99.8	5.35e-302
NZ_ABIN01000295.1_15|12887|13210|-1|ID=1_15;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.701	WP_009957100.1 MULTISPECIES: mycofactocin biosynthesis chaperone MftB [Mycobacterium]	99.1	99.1	1.21e-73
NZ_ABIN01000295.1_16|13213|13302|-1|ID=1_16;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622	WP_007773607.1 MULTISPECIES: mycofactocin precursor MftA [Mycobacteriaceae]	100	96.7	8.79e-12
NZ_ABIN01000295.1_17|13384|13998|1|ID=1_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685	WP_009957101.1 MULTISPECIES: mycofactocin system transcriptional regulator [Mycobacterium]	100	96.1	7.80e-139
NZ_ABIN01000295.1_18|13995|14681|1|ID=1_18;partial=01;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.734	WP_009957102.1 DUF2332 domain-containing protein, partial [Mycobacterium intracellulare]	100	100	6.73e-165
