Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - LWMQ01000001.1	Upstream	3073	3410831	3412078	1	WP_397752352.1	99.5	91.6	4.68e-271	FG-GAP repeat domain-containing protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Upstream	3074	3412197	3413165	1	WP_030812732.1	100	99.7	8.63e-217	MULTISPECIES: Yip1 family protein [Streptomyces]
PICI REGION 1 - LWMQ01000001.1	Upstream	3075	3413234	3413734	-1	WP_030812730.1	100	99.4	1.23e-118	MULTISPECIES: phosphoribosyltransferase [Streptomyces]
PICI REGION 1 - LWMQ01000001.1	Upstream	3076	3413741	3414316	-1	WP_030812728.1	100	99.5	9.79e-135	MULTISPECIES: dCTP deaminase [Streptomyces]
PICI REGION 1 - LWMQ01000001.1	Upstream	3077	3414465	3414638	-1	WP_366385960.1	100	89.7	3.98e-30	hypothetical protein [Streptomyces parvus]
PICI REGION 1 - LWMQ01000001.1	Core	3078	3415000	3416184	-1	CORE	100	99.7	1.73e-282	PROTEIN: WP_078955628.1 tyrosine-type recombinase/integrase [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3079	3416184	3416459	-1	WP_330323241.1	92.8	75.0	2.66e-35	excisionase family DNA-binding protein [Streptomyces anulatus]
PICI REGION 1 - LWMQ01000001.1	Core	3080	3416942	3418414	-1	WP_189846486.1	99.0	99.8	0.0	ATP-binding protein [Streptomyces rubiginosohelvolus]
PICI REGION 1 - LWMQ01000001.1	Core	3081	3418418	3419245	-1	CORE	100	99.6	2.38e-204	PROTEIN: WP_044374860.1 bifunctional DNA primase/polymerase [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3082	3419242	3419973	-1	WP_044374862.1	100	99.6	3.49e-181	DNA cytosine methyltransferase [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3083	3420064	3421836	-1	WP_044374864.1	100	99.8	0.0	MarR family transcriptional regulator [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3084	3422091	3422558	-1	WP_044374866.1	100	99.4	2.53e-99	hypothetical protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3085	3422633	3423460	-1	WP_104011574.1	100	99.6	2.90e-205	phosphoadenosine phosphosulfate reductase [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3086	3423457	3424329	-1	WP_318316340.1	97.9	99.7	7.65e-186	protein spdB [Streptomyces californicus]
PICI REGION 1 - LWMQ01000001.1	Core	3087	3424326	3424595	-1	WP_044374871.1	100	98.9	2.98e-19	DUF6284 family protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Core	3088	3425124	3425969	1	CORE	97.2	99.6	2.75e-197	PROTEIN: WP_391921617.1 sigma factor-like helix-turn-helix DNA-binding protein [Streptomyces rubiginosohelvolus]
PICI REGION 1 - LWMQ01000001.1	Downstream	3089	3425972	3426778	1	WP_078955629.1	100	99.6	9.25e-194	protein phosphatase 2C domain-containing protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Downstream	3090	3426908	3428014	-1	WP_146079956.1	100	99.7	1.80e-259	helix-turn-helix domain-containing protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Downstream	3091	3428049	3428681	-1	WP_044374876.1	100	99.5	1.27e-153	hypothetical protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Downstream	3092	3428765	3429802	-1	WP_107501760.1	100	99.7	2.80e-245	DUF3800 domain-containing protein [Streptomyces globisporus]
PICI REGION 1 - LWMQ01000001.1	Downstream	3093	3430315	3430755	1	WP_030815693.1	100	99.3	2.92e-96	MULTISPECIES: hypothetical protein [Streptomyces albovinaceus subgroup]
