Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHVD010000003.1	Upstream	35	32761	33012	-1	WP_050963020.1	84.3	98.8	1.47e-37	GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Upstream	36	33312	33575	1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHVD010000003.1	Upstream	37	33713	34285	-1	WP_000769720.1	100	99.5	8.29e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHVD010000003.1	Upstream	38	34466	34834	-1	WP_108932421.1	100	99.2	1.62e-77	YxeA family protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Upstream	40	35203	35814	-1	WP_000475326.1	100	99.5	3.94e-140	MULTISPECIES: staphylococcal enterotoxin-like toxin X [Staphylococcus]
PICI REGION 1 - BAAHVD010000003.1	Core	41	36174	36332	1	CORE	100	98.1	7.16e-29	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Core	42	36410	36721	1	CORE	100	99.0	8.76e-64	PROTEIN: WP_001797636.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Core	43	36724	37698	1	CORE	100	96.0	1.09e-224	PROTEIN: WP_001822249.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHVD010000003.1	Core	44	38837	39022	-1	YP_009218449.1	100	98.4	2.96e-34	transcriptional regulator [Staphylococcus phage SA97]
PICI REGION 1 - BAAHVD010000003.1	Core	45	40205	41173	-1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHVD010000003.1	Core	46	41450	42019	-1	CORE	100	99.5	3.16e-130	PROTEIN: WP_001293080.1 terminase small subunit [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Downstream	47	42016	42357	-1	WP_217151841.1	99.1	99.1	3.27e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Downstream	48	42360	42887	-1	WP_000771356.1	100	99.4	5.77e-117	spore coat protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Downstream	49	42938	43156	-1	WP_000448775.1	100	98.6	6.81e-38	MULTISPECIES: capsid morphogenesis B protein [Bacilli]
PICI REGION 1 - BAAHVD010000003.1	Downstream	50	43174	43752	-1	WP_286209886.1	100	99.5	8.70e-109	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHVD010000003.1	Downstream	51	43764	44105	-1	WP_117217112.1	99.1	99.1	4.64e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Upstream	40	35203	35814	-1	WP_000475326.1	100	99.5	3.94e-140	MULTISPECIES: staphylococcal enterotoxin-like toxin X [Staphylococcus]
PICI REGION 2 - BAAHVD010000003.1	Upstream	41	36174	36332	1	CORE	100	98.1	7.16e-29	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Upstream	42	36410	36721	1	CORE	100	99.0	8.76e-64	PROTEIN: WP_001797636.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Upstream	43	36724	37698	1	CORE	100	96.0	1.09e-224	PROTEIN: WP_001822249.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 2 - BAAHVD010000003.1	Upstream	44	38837	39022	-1	YP_009218449.1	100	98.4	2.96e-34	transcriptional regulator [Staphylococcus phage SA97]
PICI REGION 2 - BAAHVD010000003.1	Core	45	40205	41173	-1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 2 - BAAHVD010000003.1	Core	46	41450	42019	-1	CORE	100	99.5	3.16e-130	PROTEIN: WP_001293080.1 terminase small subunit [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	47	42016	42357	-1	WP_217151841.1	99.1	99.1	3.27e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	48	42360	42887	-1	WP_000771356.1	100	99.4	5.77e-117	spore coat protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	49	42938	43156	-1	WP_000448775.1	100	98.6	6.81e-38	MULTISPECIES: capsid morphogenesis B protein [Bacilli]
PICI REGION 2 - BAAHVD010000003.1	Core	50	43174	43752	-1	WP_286209886.1	100	99.5	8.70e-109	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	51	43764	44105	-1	WP_117217112.1	99.1	99.1	4.64e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	52	44452	45093	-1	WP_031385342.1	99.5	99.5	3.78e-152	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	53	45090	45374	-1	WP_437248130.1	98.9	98.9	3.19e-64	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	54	45376	45738	-1	WP_108932420.1	100	99.2	3.29e-85	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	55	46024	47493	-1	WP_001795628.1	100	99.8	0.0	virulence-associated E family protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	56	47510	48379	-1	WP_001002700.1	100	99.7	4.83e-211	primase alpha helix C-terminal domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	57	48443	48760	-1	WP_001103936.1	100	99.1	9.01e-67	type II toxin-antitoxin system toxin TscT [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	58	48763	48972	-1	WP_001058486.1	100	98.6	2.83e-40	MULTISPECIES: type II toxin-antitoxin system antitoxin TscA [Staphylococcus]
PICI REGION 2 - BAAHVD010000003.1	Core	59	48965	49132	-1	WP_148121253.1	97.9	85.7	1.35e-22	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	60	49123	49395	-1	WP_000091734.1	100	98.9	6.13e-58	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	61	49396	49608	-1	WP_000794656.1	100	98.6	9.04e-42	helix-turn-helix domain-containing protein [Staphylococcus aureus]
PICI REGION 2 - BAAHVD010000003.1	Core	62	49752	50447	1	WP_000668212.1	100	99.6	6.33e-121	helix-turn-helix domain-containing protein [Staphylococcus aureus]
