Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - FR714927.1	Upstream	1785	1970802	1971164	-1	WP_000755150.1	100	99.2	5.47e-84	MULTISPECIES: phage head completion protein [Bacteria]
CFPICI REGION 1 - FR714927.1	Upstream	1786	1971148	1971444	-1	YP_009196788.1	100	99.0	1.18e-61	head-tail adapter protein [Staphylococcus phage 23MRA]
CFPICI REGION 1 - FR714927.1	Upstream	1787	1971422	1971706	-1	YP_908832.1	100	98.9	9.95e-59	Arc-like repressor [Staphylococcus phage phiNM3]
CFPICI REGION 1 - FR714927.1	Upstream	1788	1971726	1972871	-1	WP_000154559.1	100	99.7	6.62e-269	MULTISPECIES: phage major capsid protein [Bacteria]
CFPICI REGION 1 - FR714927.1	Upstream	1789	1972895	1973638	-1	YP_007237156.1	100	99.6	4.85e-165	head maturation protease [Staphylococcus phage phi5967PVL]
CFPICI REGION 1 - FR714927.1	Core	1790	1973616	1974803	-1	CORE	100	99.7	2.01e-277	PROTEIN: WP_000025274.1 MULTISPECIES: phage portal protein [Bacteria]
CFPICI REGION 1 - FR714927.1	Core	1791	1974819	1976480	-1	CORE	100	99.8	0.0	PROTEIN: WP_000625088.1 MULTISPECIES: terminase large subunit [Bacteria]
CFPICI REGION 1 - FR714927.1	Core	1792	1976477	1976821	-1	YP_009830104.1	100	99.1	9.71e-73	terminase small subunit [Staphylococcus phage P282]
CFPICI REGION 1 - FR714927.1	Core	1793	1976951	1977250	-1	CORE	100	99.0	1.66e-66	PROTEIN: WP_000988332.1 MULTISPECIES: HNH endonuclease [Bacteria]
CFPICI REGION 1 - FR714927.1	Downstream	1794	1977482	1977898	-1	YP_908825.1	100	99.3	2.27e-96	transcriptional regulator [Staphylococcus phage phiNM3]
CFPICI REGION 1 - FR714927.1	Downstream	1795	1977926	1978126	-1	WP_001557462.1	100	98.5	4.48e-38	MULTISPECIES: DUF1514 family protein [Staphylococcus]
CFPICI REGION 1 - FR714927.1	Downstream	1796	1978126	1978275	-1	WP_000595265.1	100	98.0	4.52e-24	MULTISPECIES: transcriptional activator RinB [Bacteria]
CFPICI REGION 1 - FR714927.1	Downstream	1797	1978272	1978478	-1	WP_000195784.1	100	98.6	1.44e-26	MULTISPECIES: DUF1381 domain-containing protein [Bacteria]
CFPICI REGION 1 - FR714927.1	Downstream	1798	1978475	1978711	-1	WP_001821603.1	100	98.7	2.00e-44	hypothetical protein [Staphylococcus aureus]
