BAAHTT010000001.1_1|224|1564|-1|ID=1_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.327	WP_000798980.1 MULTISPECIES: PepSY-associated TM helix domain-containing protein [Staphylococcus]	100	99.8	0.0
BAAHTT010000001.1_2|1868|5308|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.304	WP_000608541.1 MULTISPECIES: dynamin family protein [Staphylococcus]	100	99.9	0.0
BAAHTT010000001.1_3|5328|6206|1|ID=1_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.322	WP_001133022.1 MULTISPECIES: 5'-3' exonuclease [Staphylococcus]	100	99.7	2.22e-213
BAAHTT010000001.1_4|6682|7800|1|ID=1_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.350	WP_000959432.1 MULTISPECIES: alanine dehydrogenase [Staphylococcus]	100	99.7	2.89e-263
BAAHTT010000001.1_5|7895|8935|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.352	WP_000210828.1 MULTISPECIES: bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB [Staphylococcus]	100	99.7	4.12e-243
BAAHTT010000001.1_6|8966|10288|1|ID=1_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.345	WP_000064778.1 MULTISPECIES: APC family permease [Staphylococcus]	100	99.8	2.90e-302
BAAHTT010000001.1_7|10379|11836|1|ID=1_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329	WP_117200801.1 multidrug efflux MFS transporter NorB [Staphylococcus aureus]	100	95.3	3.36e-307
BAAHTT010000001.1_8|12234|43877|1|ID=1_8;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.360	WP_117218900.1 hyperosmolarity resistance protein Ebh [Staphylococcus aureus]	100	99.7	0.0
BAAHTT010000001.1_9|43936|44337|-1|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.323	WP_001062934.1 MULTISPECIES: ribonuclease HI family protein [Staphylococcus]	100	99.3	1.44e-92
BAAHTT010000001.1_10|44814|45518|-1|ID=1_10;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.305	WP_000282171.1 MULTISPECIES: queuosine precursor transporter [Staphylococcus]	100	99.6	2.80e-153
