query_id	family	reference	aligned_query_bp	query_fraction	aligned_subject_bp	subject_coverage	weighted_pident	bitscore_sum	n_hsps
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	CP028126.1_2294845_2309731	5145	1.0	5145	0.3456	97.105	8678.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	AAAAWV020000011.1_88682_104064	5145	1.0	5145	0.3345	97.221	8711.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	CP023541.1_1969075_1984466	5145	1.0	5146	0.3343	97.183	8700.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	NZ_CP008957.1_1680148_1695618	5145	1.0	5145	0.3326	99.981	9498.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	CP028122.1_1829035_1844575	5145	1.0	5145	0.3311	97.143	8689.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	CP014752.1_2068299_2084242	5145	1.0	5140	0.3224	94.932	8052.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	CP043478.1_2044053_2060283	5145	1.0	5144	0.3169	97.415	8765.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	NC_011745.1_1739927_1756201	5145	1.0	5144	0.3161	97.279	8726.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	CP026827.1_1440478_1467734	5145	1.0	5145	0.1888	97.454	8778.0	1
AE005174.2|CFPICI|R2|core|batch=001|record=AE005174.2_Escherichia_coli_O157_H7_str._EDL933_genome|start=1687718|end=1692862|strand=1	CFPICI	AKLQ01000035.1_37524_53136	5142	0.9994	5142	0.3293	96.888	8612.0	1
