Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_OGTW02000044.1	Upstream	23	20142	20342	-1	WP_063283138.1	98.5	98.5	2.69e-39	MULTISPECIES: cold-shock protein [Bacteria]
PICI REGION 1 - NZ_OGTW02000044.1	Upstream	24	21430	21996	-1	WP_010905422.1	100	99.5	1.98e-128	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - NZ_OGTW02000044.1	Upstream	25	21962	22450	-1	WP_127093787.1	100	99.4	8.08e-113	Panacea domain-containing protein [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Upstream	26	22619	22840	-1	WP_010905420.1	100	98.6	5.53e-42	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Upstream	27	22957	23229	1	WP_010905419.1	100	98.9	5.48e-43	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - NZ_OGTW02000044.1	Core	28	23922	24242	-1	CORE	100	99.1	1.01e-68	PROTEIN: WP_127093788.1 sigma factor-like helix-turn-helix DNA-binding protein [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Core	29	24345	24674	-1	WP_127093789.1	100	99.1	2.63e-70	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Core	30	24887	25477	-1	WP_127093790.1	100	99.5	3.67e-137	HK97 family phage prohead protease [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Core	31	25486	26094	-1	WP_023164726.1	100	99.5	1.21e-129	MULTISPECIES: hypothetical protein [Bacillati]
PICI REGION 1 - NZ_OGTW02000044.1	Core	32	26120	26305	-1	WP_063283421.1	100	98.4	4.20e-34	MULTISPECIES: hypothetical protein [Bacteria]
PICI REGION 1 - NZ_OGTW02000044.1	Core	33	26482	27066	-1	WP_010905413.1	100	99.5	8.67e-135	MULTISPECIES: hypothetical protein [Bacilli]
PICI REGION 1 - NZ_OGTW02000044.1	Core	34	27376	28818	-1	WP_010905412.1	100	99.8	0.0	MULTISPECIES: VapE domain-containing protein [Lactococcus]
PICI REGION 1 - NZ_OGTW02000044.1	Core	35	28811	29389	-1	WP_046780977.1	100	99.5	4.98e-124	MULTISPECIES: hypothetical protein [Bacillati]
PICI REGION 1 - NZ_OGTW02000044.1	Core	36	29397	29723	-1	WP_003131481.1	100	99.1	8.53e-71	MULTISPECIES: HTH domain-containing protein [Bacillati]
PICI REGION 1 - NZ_OGTW02000044.1	Core	37	29710	29904	-1	WP_003131482.1	100	98.5	6.49e-37	MULTISPECIES: hypothetical protein [Bacillati]
PICI REGION 1 - NZ_OGTW02000044.1	Core	38	29901	30155	-1	WP_010905409.1	100	98.8	9.05e-55	MULTISPECIES: hypothetical protein [Bacilli]
PICI REGION 1 - NZ_OGTW02000044.1	Core	39	30152	30391	-1	WP_127093791.1	100	98.8	8.36e-51	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Core	40	30426	30851	-1	WP_127093792.1	100	99.3	9.92e-97	hypothetical protein [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Core	41	30856	31050	-1	CORE	100	98.5	1.12e-37	PROTEIN: WP_010905406.1 MULTISPECIES: DUF1655 domain-containing protein [Lactococcus]
PICI REGION 1 - NZ_OGTW02000044.1	Downstream	42	31209	31469	-1	WP_010905405.1	100	98.9	6.76e-60	MULTISPECIES: excisionase [Bacillati]
PICI REGION 1 - NZ_OGTW02000044.1	Downstream	43	31485	31676	-1	WP_038603266.1	95.2	98.4	1.68e-34	antirepressor [Lactococcus lactis]
PICI REGION 1 - NZ_OGTW02000044.1	Downstream	44	31970	32338	1	WP_003131489.1	100	99.2	1.10e-84	MULTISPECIES: XRE family transcriptional regulator [Bacillati]
PICI REGION 1 - NZ_OGTW02000044.1	Downstream	45	32350	32937	1	WP_003131490.1	100	99.5	5.03e-139	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - NZ_OGTW02000044.1	Downstream	46	32984	33280	1	WP_003131491.1	100	99.0	4.28e-64	MULTISPECIES: hypothetical protein [Bacillati]
