Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHUX010000007.1	Upstream	106	104519	104860	1	WP_117217112.1	99.1	99.1	4.64e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUX010000007.1	Upstream	107	104872	105450	1	WP_286209886.1	100	99.5	8.70e-109	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUX010000007.1	Upstream	108	105468	105686	1	WP_000448775.1	100	98.6	6.81e-38	MULTISPECIES: capsid morphogenesis B protein [Bacilli]
PICI REGION 1 - BAAHUX010000007.1	Upstream	109	105737	106264	1	WP_000771356.1	100	99.4	5.77e-117	spore coat protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUX010000007.1	Upstream	110	106267	106608	1	WP_217151841.1	99.1	99.1	3.27e-75	pathogenicity island protein [Staphylococcus aureus]
PICI REGION 1 - BAAHUX010000007.1	Core	111	106605	107174	1	CORE	100	99.5	3.16e-130	PROTEIN: WP_001293080.1 terminase small subunit [Staphylococcus aureus]
PICI REGION 1 - BAAHUX010000007.1	Core	112	107451	108419	1	CORE	100	99.7	8.53e-233	PROTEIN: WP_000801979.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHUX010000007.1	Core	113	109602	109787	1	YP_009218449.1	100	98.4	2.96e-34	transcriptional regulator [Staphylococcus phage SA97]
PICI REGION 1 - BAAHUX010000007.1	Core	114	110926	111900	-1	CORE	100	96.0	1.09e-224	PROTEIN: WP_001822249.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHUX010000007.1	Core	115	111903	112214	-1	CORE	100	99.0	8.76e-64	PROTEIN: WP_001797636.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHUX010000007.1	Core	116	112292	112450	-1	CORE	100	98.1	7.16e-29	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
