query_id	accession	family	region	batch	record	query_length	family_supported_bp_core_region	core_region_family_coverage	family_supported_weighted_pident	top_contributing_reference	top_reference_supported_bp	top_reference_query_fraction	top_reference_weighted_pident	n_references_hit	n_hsps_total
NZ_AP044770.1|P4|R1|core|batch=003|record=NZ_AP044770.1_Escherichia_coli_strain_TK3888_chromosome__complete_genome|start=50249|end=58292|strand=mixed	NZ_AP044770.1	P4	R1	003	NZ_AP044770.1_Escherichia_coli_strain_TK3888_chromosome__complete_genome	8044	4640	0.5768	98.772	NC_001609.1	4640	0.5768	98.772	1	1
NZ_CM128588.1|P4|R1|core|batch=003|record=NZ_CM128588.1_Escherichia_coli_strain_300033_chromosome__whole_genome_shotgun_sequence|start=2363631|end=2369785|strand=mixed	NZ_CM128588.1	P4	R1	003	NZ_CM128588.1_Escherichia_coli_strain_300033_chromosome__whole_genome_shotgun_sequence	6155	98	0.0159	77.778	NC_001609.1	98	0.0159	77.778	1	1
NZ_CM128594.1|P4|R1|core|batch=003|record=NZ_CM128594.1_Escherichia_coli_strain_100248_chromosome__whole_genome_shotgun_sequence|start=4304400|end=4317406|strand=mixed	NZ_CM128594.1	P4	R1	003	NZ_CM128594.1_Escherichia_coli_strain_100248_chromosome__whole_genome_shotgun_sequence	13007	8756	0.6732	95.091	NC_001609.1	8756	0.6732	95.091	1	4
NZ_CM128595.1|P4|R1|core|batch=003|record=NZ_CM128595.1_Escherichia_coli_strain_100181_chromosome__whole_genome_shotgun_sequence|start=2014547|end=2022790|strand=mixed	NZ_CM128595.1	P4	R1	003	NZ_CM128595.1_Escherichia_coli_strain_100181_chromosome__whole_genome_shotgun_sequence	8244	4640	0.5628	97.288	NC_001609.1	4640	0.5628	97.288	1	1
NZ_CM128596.1|P4|R1|core|batch=003|record=NZ_CM128596.1_Escherichia_coli_strain_100117_chromosome__whole_genome_shotgun_sequence|start=4305915|end=4318921|strand=mixed	NZ_CM128596.1	P4	R1	003	NZ_CM128596.1_Escherichia_coli_strain_100117_chromosome__whole_genome_shotgun_sequence	13007	8756	0.6732	95.091	NC_001609.1	8756	0.6732	95.091	1	4
NZ_CM135133.1|P4|R1|core|batch=003|record=NZ_CM135133.1_Escherichia_coli_strain_K99B_chromosome__whole_genome_shotgun_sequence|start=3562986|end=3570841|strand=mixed	NZ_CM135133.1	P4	R1	003	NZ_CM135133.1_Escherichia_coli_strain_K99B_chromosome__whole_genome_shotgun_sequence	7856	4632	0.5896	96.835	NC_001609.1	4632	0.5896	96.835	1	1
NZ_CM148319.1|P4|R1|core|batch=003|record=NZ_CM148319.1_Escherichia_coli_strain_28A18CPO003A_chromosome__whole_genome_shotgun_sequence|start=3737528|end=3745848|strand=mixed	NZ_CM148319.1	P4	R1	003	NZ_CM148319.1_Escherichia_coli_strain_28A18CPO003A_chromosome__whole_genome_shotgun_sequence	8321	4640	0.5576	97.244	NC_001609.1	4640	0.5576	97.244	1	1
NZ_CP027352.1|P4|R1|core|batch=004|record=NZ_CP027352.1_Escherichia_coli_strain_2012C-4606_chromosome__complete_genome|start=3730247|end=3741231|strand=mixed	NZ_CP027352.1	P4	R1	004	NZ_CP027352.1_Escherichia_coli_strain_2012C-4606_chromosome__complete_genome	10985	4652	0.4235	98.067	NC_001609.1	4652	0.4235	98.067	1	2
NZ_CP027390.1|P4|R1|core|batch=004|record=NZ_CP027390.1_Escherichia_coli_strain_2015C-4944_chromosome__complete_genome|start=3905859|end=3916843|strand=mixed	NZ_CP027390.1	P4	R1	004	NZ_CP027390.1_Escherichia_coli_strain_2015C-4944_chromosome__complete_genome	10985	4652	0.4235	98.067	NC_001609.1	4652	0.4235	98.067	1	2
NZ_CP029242.1|P4|R1|core|batch=004|record=NZ_CP029242.1_Escherichia_coli_strain_ECCRA-119_chromosome__complete_genome|start=3751025|end=3759345|strand=mixed	NZ_CP029242.1	P4	R1	004	NZ_CP029242.1_Escherichia_coli_strain_ECCRA-119_chromosome__complete_genome	8321	4640	0.5576	97.244	NC_001609.1	4640	0.5576	97.244	1	1
NZ_CP101292.1|P4|R1|core|batch=004|record=NZ_CP101292.1_Escherichia_coli_strain_2003-3014_chromosome__complete_genome|start=50524|end=61508|strand=mixed	NZ_CP101292.1	P4	R1	004	NZ_CP101292.1_Escherichia_coli_strain_2003-3014_chromosome__complete_genome	10985	4652	0.4235	98.045	NC_001609.1	4652	0.4235	98.045	1	2
NZ_CP101513.1|P4|R1|core|batch=004|record=NZ_CP101513.1_Escherichia_coli_strain_HH194M_chromosome__complete_genome|start=50256|end=58557|strand=mixed	NZ_CP101513.1	P4	R1	004	NZ_CP101513.1_Escherichia_coli_strain_HH194M_chromosome__complete_genome	8302	4057	0.4887	97.364	NC_001609.1	4057	0.4887	97.364	1	2
NZ_CP125889.1|P4|R1|core|batch=004|record=NZ_CP125889.1_Escherichia_coli_strain_EPSSH018_chromosome__complete_genome|start=1753362|end=1766523|strand=mixed	NZ_CP125889.1	P4	R1	004	NZ_CP125889.1_Escherichia_coli_strain_EPSSH018_chromosome__complete_genome	13162	7337	0.5574	97.547	NC_001609.1	7337	0.5574	97.547	1	3
NZ_CP132061.1|P4|R1|core|batch=004|record=NZ_CP132061.1_Escherichia_coli_strain_QML220614_chromosome__complete_genome|start=3983210|end=3995447|strand=mixed	NZ_CP132061.1	P4	R1	004	NZ_CP132061.1_Escherichia_coli_strain_QML220614_chromosome__complete_genome	12238	8732	0.7135	96.317	NC_001609.1	8732	0.7135	96.317	1	4
NZ_CP134353.1|P4|R1|core|batch=004|record=NZ_CP134353.1_Escherichia_coli_strain_TUM17668_chromosome__complete_genome|start=4061304|end=4072336|strand=mixed	NZ_CP134353.1	P4	R1	004	NZ_CP134353.1_Escherichia_coli_strain_TUM17668_chromosome__complete_genome	11033	11033	1.0	98.05	NC_001609.1	11033	1.0	98.05	1	5
NZ_CP134376.1|P4|R1|core|batch=004|record=NZ_CP134376.1_Escherichia_coli_strain_TUM12355_chromosome__complete_genome|start=50429|end=56951|strand=mixed	NZ_CP134376.1	P4	R1	004	NZ_CP134376.1_Escherichia_coli_strain_TUM12355_chromosome__complete_genome	6523	3139	0.4812	98.503	NC_001609.1	3139	0.4812	98.503	1	3
