MU211438.1_2|362|1471|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.732	WP_443032105.1 PucR family transcriptional regulator [Streptomyces sp. 604F]	100	99.7	3.41e-249
MU211438.1_3|1634|2644|1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.713	WP_023421036.1 MULTISPECIES: ferredoxin reductase [Streptomyces]	100	99.7	1.45e-247
MU211438.1_4|2652|3770|1|ID=1_4;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.644	WP_164183847.1 MULTISPECIES: fatty acid desaturase family protein [Streptomyces]	100	99.7	1.21e-280
MU211438.1_5|4009|6327|-1|ID=1_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.753	WP_164183845.1 glycoside hydrolase family 3 N-terminal domain-containing protein [Streptomyces sp. 604F]	100	99.9	0.0
MU211438.1_6|6380|8314|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.715	WP_164183843.1 cellulase family glycosylhydrolase [Streptomyces sp. 604F]	100	99.8	0.0
MU211438.1_7|8404|9456|-1|ID=1_7;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.763	WP_023420893.1 LacI family DNA-binding transcriptional regulator [Streptomyces albidoflavus]	100	99.7	1.88e-241
MU211438.1_8|9477|10304|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.673	WP_023415595.1 MULTISPECIES: carbohydrate ABC transporter permease [Streptomyces]	100	99.6	9.94e-172
MU211438.1_9|10319|11254|-1|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.712	WP_023415596.1 MULTISPECIES: carbohydrate ABC transporter permease [Streptomyces]	100	99.7	1.10e-218
MU211438.1_10|11287|12576|-1|ID=1_10;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702	WP_023415597.1 MULTISPECIES: ABC transporter substrate-binding protein [Streptomyces]	100	99.8	8.65e-303
MU211438.1_11|12759|13169|-1|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.727	WP_023421040.1 MULTISPECIES: hypothetical protein [Streptomyces]	100	99.3	1.86e-76
