Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - CM002330.1	Upstream	599	731801	732439	1	WP_024011523.1	100	99.5	2.56e-154	hypothetical protein [Pseudomonas moraviensis]
CFPICI REGION 1 - CM002330.1	Upstream	600	732436	732720	1	WP_024011524.1	100	98.9	5.31e-63	MULTISPECIES: hypothetical protein [Pseudomonas fluorescens group]
CFPICI REGION 1 - CM002330.1	Upstream	601	732717	733106	1	WP_024011525.1	100	99.2	1.78e-91	MULTISPECIES: antiterminator Q family protein [Pseudomonas]
CFPICI REGION 1 - CM002330.1	Upstream	602	733252	733491	-1	WP_024011526.1	100	98.8	3.29e-48	MULTISPECIES: hypothetical protein [Pseudomonas]
CFPICI REGION 1 - CM002330.1	Upstream	603	733842	734096	-1	WP_051600379.1	100	98.8	3.97e-58	MULTISPECIES: DUF6555 family protein [Pseudomonas]
CFPICI REGION 1 - CM002330.1	Core	604	734314	734919	1	CORE	100	99.5	5.42e-146	PROTEIN: WP_024011527.1 MULTISPECIES: HNH endonuclease signature motif containing protein [Pseudomonas]
CFPICI REGION 1 - CM002330.1	Core	605	734944	735267	1	WP_051600598.1	100	97.2	2.59e-71	MULTISPECIES: phage holin, lambda family [Pseudomonas]
CFPICI REGION 1 - CM002330.1	Core	606	735264	735641	1	WP_024011529.1	100	99.2	1.54e-72	hypothetical protein [Pseudomonas moraviensis]
CFPICI REGION 1 - CM002330.1	Core	607	736302	736640	-1	WP_024011532.1	100	99.1	4.48e-77	MULTISPECIES: YceK/YidQ family lipoprotein [Pseudomonas fluorescens group]
CFPICI REGION 1 - CM002330.1	Core	608	736770	736943	1	WP_167333548.1	100	98.3	1.96e-26	hypothetical protein [Pseudomonas moraviensis]
CFPICI REGION 1 - CM002330.1	Core	609	736946	737278	1	CORE	100	99.1	4.87e-80	PROTEIN: WP_024011534.1 HNH endonuclease [Pseudomonas moraviensis]
CFPICI REGION 1 - CM002330.1	Core	610	737413	737898	1	WP_024011535.1	100	99.4	5.88e-101	terminase small subunit [Pseudomonas moraviensis]
