Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - NZ_CP125889.1	Upstream	4897	5069815	5070180	1	WP_000140019.1	100	99.2	2.70e-80	MULTISPECIES: RusA family crossover junction endodeoxyribonuclease [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Upstream	4898	5070177	5070866	1	WP_059245575.1	100	99.6	1.08e-168	MULTISPECIES: bacteriophage antitermination protein Q [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Upstream	4899	5071513	5071728	1	WP_000839574.1	100	98.6	1.73e-44	MULTISPECIES: class II holin family protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CP125889.1	Upstream	4900	5071728	5072225	1	WP_001135262.1	100	99.4	7.74e-117	MULTISPECIES: lysozyme RrrD [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Upstream	4901	5072222	5072689	1	WP_059242545.1	100	99.4	3.32e-95	MULTISPECIES: lysis protein [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Core	4902	5072732	5073082	1	CORE	100	99.1	1.21e-85	PROTEIN: WP_001139555.1 MULTISPECIES: HNH endonuclease [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CP125889.1	Core	4903	5073230	5073712	1	CORE	100	99.4	1.35e-110	PROTEIN: WP_024227584.1 MULTISPECIES: phage terminase small subunit P27 family [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Core	4904	5073712	5075469	1	CORE	100	99.8	0.0	PROTEIN: WP_001140892.1 MULTISPECIES: terminase large subunit [Bacteria]
CFPICI REGION 1 - NZ_CP125889.1	Core	4905	5075617	5076843	1	CORE	100	99.8	8.62e-306	PROTEIN: WP_000923130.1 MULTISPECIES: phage portal protein [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Core	4906	5076836	5077435	1	CORE	100	99.5	5.21e-143	PROTEIN: WP_000999826.1 MULTISPECIES: HK97 family phage prohead protease [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Core	4907	5077450	5078667	1	WP_000766109.1	100	99.8	4.09e-282	MULTISPECIES: phage major capsid protein [Bacteria]
CFPICI REGION 1 - NZ_CP125889.1	Core	4908	5078744	5079061	1	CORE	100	99.1	5.63e-70	PROTEIN: WP_000719066.1 MULTISPECIES: head-tail connector protein [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CP125889.1	Core	4909	5079070	5079408	1	CORE	100	99.1	5.90e-73	PROTEIN: WP_309597997.1 phage head closure protein [Escherichia coli]
CFPICI REGION 1 - NZ_CP125889.1	Downstream	4910	5079408	5079854	1	WP_172900453.1	100	99.3	3.39e-96	MULTISPECIES: HK97-gp10 family putative phage morphogenesis protein [Escherichia]
CFPICI REGION 1 - NZ_CP125889.1	Downstream	4911	5079851	5080195	1	WP_001209399.1	100	99.1	1.18e-73	MULTISPECIES: tail completion protein gp17 [Enterobacteriaceae]
CFPICI REGION 1 - NZ_CP125889.1	Downstream	4912	5080255	5080959	1	WP_096980274.1	99.6	99.6	4.15e-155	phage tail protein [Escherichia coli]
CFPICI REGION 1 - NZ_CP125889.1	Downstream	4913	5080974	5081345	1	WP_000164661.1	100	99.2	1.33e-81	MULTISPECIES: phage tail assembly chaperone [Bacteria]
CFPICI REGION 1 - NZ_CP125889.1	Downstream	4914	5081369	5081647	1	WP_000978930.1	100	98.9	8.29e-57	MULTISPECIES: phage tail assembly protein T [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CP125889.1	Upstream	5108	5267854	5268387	1	WP_000992033.1	100	99.4	6.25e-131	lysozyme [Escherichia coli]
CFPICI REGION 2 - NZ_CP125889.1	Upstream	5109	5268680	5268811	1	WP_001280935.1	100	97.7	3.93e-18	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CP125889.1	Upstream	5110	5269030	5269497	1	WP_001448327.1	100	99.4	3.45e-97	lysis protein [Escherichia coli]
CFPICI REGION 2 - NZ_CP125889.1	Upstream	5111	5269836	5270162	1	WP_000828072.1	100	99.1	2.54e-72	MULTISPECIES: TonB family protein [Enterobacteriaceae]
CFPICI REGION 2 - NZ_CP125889.1	Upstream	5112	5270294	5270494	-1	WP_136138350.1	100	98.5	2.69e-39	YlcI/YnfO family protein [Escherichia coli]
CFPICI REGION 2 - NZ_CP125889.1	Core	5113	5270536	5270901	1	CORE	100	99.2	1.69e-83	PROTEIN: WP_000279801.1 HNH endonuclease [Escherichia coli]
CFPICI REGION 2 - NZ_CP125889.1	Core	5114	5271193	5271756	1	WP_000958360.1	100	99.5	1.28e-119	terminase small subunit [Escherichia coli]
