batch	family	accession	region_name	region_number	core_start	core_end	strand	n_orfs	n_core_orfs	genome_fasta	output_fasta	status	source_tsv
001	CFPICI	AE005174.2	CFPICI REGION 1 - AE005174.2	1	1273381	1281907	1	22	12	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AE005174.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
001	CFPICI	AE005174.2	CFPICI REGION 2 - AE005174.2	2	1687718	1692862	1	17	7	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AE005174.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R2_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
001	CFPICI	AE005174.2	CFPICI REGION 3 - AE005174.2	3	1647591	1655947	1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AE005174.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R3_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
001	CFPICI	AE005174.2	CFPICI REGION 4 - AE005174.2	4	2300794	2309151	-1	17	7	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AE005174.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R4_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
001	CFPICI	AE005174.2	CFPICI REGION 5 - AE005174.2	5	2981410	2989768	-1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AE005174.2.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AE005174.2_R5_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AE005174.2_CFPICI_output.tsv
010	CFPICI	AP006841.1	CFPICI REGION 1 - AP006841.1	1	2837357	2844024	-1	18	8	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/010/AP006841.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP006841.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/010/RESULTS/CFPICI/AP006841.1_CFPICI_output.tsv
001	CFPICI	AP017922.1	CFPICI REGION 1 - AP017922.1	1	1449601	1456157	-1	20	10	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AP017922.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP017922.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP017922.1_CFPICI_output.tsv
001	CFPICI	AP018499.1	CFPICI REGION 1 - AP018499.1	1	957847	964510	1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AP018499.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP018499.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP018499.1_CFPICI_output.tsv
001	CFPICI	AP040133.1	CFPICI REGION 1 - AP040133.1	1	2112114	2118668	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/AP040133.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/AP040133.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/AP040133.1_CFPICI_output.tsv
001	CFPICI	BAAHTQ010000004.1	CFPICI REGION 1 - BAAHTQ010000004.1	1	127808	134362	-1	19	9	/sciclone/scr10/ncnallapaneni/saphari_pub/assembled_genomes/001/BAAHTQ010000004.1.fasta	/sciclone/scr10/ncnallapaneni/saphari_pub/output/core_region_fastas/CFPICI/BAAHTQ010000004.1_R1_core.fasta	ok	/sciclone/scr10/ncnallapaneni/saphari_pub/output/new_genomes_fasta/001/RESULTS/CFPICI/BAAHTQ010000004.1_CFPICI_output.tsv
