Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_JBVVYP010000013.1	Upstream	471	447371	447580	-1	WP_000263126.1	100	98.6	1.40e-40	MULTISPECIES: phage head-tail joining protein [Escherichia]
PICI REGION 1 - NZ_JBVVYP010000013.1	Upstream	472	447584	448543	-1	WP_160371907.1	99.4	99.1	6.45e-229	terminase gpA endonuclease subunit, partial [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Upstream	473	448930	449214	-1	WP_247181984.1	97.9	98.9	6.49e-55	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Upstream	474	449495	449935	-1	WP_257185925.1	98.6	99.3	3.16e-100	helix-turn-helix domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Upstream	475	450097	450501	-1	WP_097450048.1	100	99.3	6.85e-87	phage head-tail connector protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	476	450511	450846	-1	CORE	100	99.1	6.91e-76	PROTEIN: WP_097450047.1 head decoration protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	477	450858	451913	-1	WP_097450046.1	100	99.7	4.22e-259	major capsid protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	478	451913	452119	-1	WP_097450127.1	100	98.6	1.93e-42	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	479	452378	452800	-1	WP_085456794.1	100	99.3	2.97e-93	MULTISPECIES: single-stranded DNA-binding protein [Escherichia]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	480	452797	453570	-1	WP_251672089.1	99.2	99.6	6.53e-193	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	481	453567	453815	-1	WP_333781748.1	83.8	89.2	3.28e-35	hypothetical protein, partial [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	482	453772	455187	-1	WP_194849409.1	98.5	99.8	0.0	helicase RepA family protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	483	455184	455483	-1	WP_126852322.1	98.0	99.0	2.77e-65	DUF4222 domain-containing protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	484	455489	455689	-1	WP_224491881.1	98.5	98.5	4.64e-40	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	485	455682	455816	-1	WP_021530542.1	54.5	97.8	2.59e-15	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	486	455809	456051	-1	WP_249987681.1	96.3	98.8	2.03e-45	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	487	456041	456247	-1	WP_241363779.1	95.6	98.6	8.88e-39	host cell division inhibitor Icd-like protein [Escherichia coli]
PICI REGION 1 - NZ_JBVVYP010000013.1	Core	488	456447	456626	1	WP_000190552.1	100	98.3	3.42e-30	MULTISPECIES: YlcI/YnfO family protein [Escherichia]
