family	cluster_id	count_in_family	n_in	p_in	count_outside_family	n_out	p_out	raw_names	evidence_subjects
CFPICI	FUNC:acid_resistance_repetitive_basic_asr	1	57	0.0175	0	82	0.0000	acid resistance repetitive basic protein Asr	WP_348619391.1 acid resistance repetitive basic protein Asr
CFPICI	FUNC:adenine_specific_methyltransferase	1	57	0.0175	0	82	0.0000	adenine-specific DNA-methyltransferase	WP_442978462.1 adenine-specific DNA-methyltransferase
CFPICI	FUNC:ai_2_transporter_tqsa	2	57	0.0351	0	82	0.0000	AI-2 transporter TqsA | AI-2 transporter TqsA, partial	WP_001118293.1 AI-2 transporter TqsA | WP_288771073.1 AI-2 transporter TqsA, partial
CFPICI	FUNC:ai_2e_transporter	1	57	0.0175	0	82	0.0000	AI-2E family transporter, partial	WP_001318733.1 AI-2E family transporter, partial
CFPICI	FUNC:aipr	1	57	0.0175	0	82	0.0000	AIPR family protein	WP_048618020.1 AIPR family protein
CFPICI	FUNC:anta_antb_antirepressor	4	57	0.0702	1	82	0.0122	antA/AntB antirepressor family protein | antA/AntB antirepressor family protein, partial	WP_101360986.1 antA/AntB antirepressor family protein | WP_225304045.1 antA/AntB antirepressor family protein, partial | WP_431644245.1 antA/AntB antirepressor family protein
CFPICI	FUNC:arm	2	57	0.0351	0	82	0.0000	Arm DNA-binding domain-containing protein | Arm DNA-binding domain-containing protein, partial	WP_012492207.1 Arm DNA-binding domain-containing protein | WP_133253493.1 Arm DNA-binding domain-containing protein, partial
CFPICI	FUNC:bifunctional_primase_polymerase	3	57	0.0526	6	82	0.0732	bifunctional DNA primase/polymerase	WP_011677049.1 bifunctional DNA primase/polymerase | WP_011834143.1 bifunctional DNA primase/polymerase | WP_011836153.1 bifunctional DNA primase/polymerase | WP_012898687.1 bifunctional DNA primase/polymerase | WP_014566705.1 bifunctional DNA primase/polymerase | WP_014570227.1 bifunctional DNA primase/polymerase | WP_014573412.1 bifunctional DNA primase/polymerase | WP_023164572.1 bifunctional DNA primase/polymerase | WP_031914428.1 bifunctional DNA primase/polymerase
CFPICI	FUNC:bro_n	3	57	0.0526	4	82	0.0488	BRO-N domain-containing protein | BRO-N domain-containing protein, partial	WP_003489649.1 BRO-N domain-containing protein, partial | WP_005879190.1 BRO-N domain-containing protein | WP_025315430.1 BRO-N domain-containing protein | WP_031914434.1 BRO-N domain-containing protein | WP_329496604.1 BRO-N domain-containing protein
CFPICI	FUNC:capsid	27	57	0.4737	24	82	0.2927	major capsid protein | phage capsid protein | phage major capsid protein	WP_000216219.1 major capsid protein | WP_000216279.1 major capsid protein | WP_000268554.1 major capsid protein | WP_000624042.1 phage major capsid protein | WP_000657538.1 phage capsid protein | WP_000907465.1 major capsid protein | WP_001137336.1 phage major capsid protein | WP_001369202.1 phage major capsid protein | WP_012492220.1 phage major capsid protein | WP_021293489.1 phage major capsid protein | WP_021538174.1 phage major capsid protein | WP_025315436.1 phage major capsid protein | WP_028985258.1 phage major capsid protein | WP_031914424.1 phage major capsid protein | WP_032308183.1 phage major capsid protein | WP_032346741.1 major capsid protein | WP_037558406.1 phage major capsid protein | WP_038679599.1 phage major capsid protein | WP_045519149.1 phage major capsid protein | WP_048253844.1 phage major capsid protein | WP_048618035.1 phage major capsid protein | WP_049409520.1 phage major capsid protein | WP_058820231.1 phage major capsid protein | WP_062931963.1 phage major capsid protein | WP_074434941.1 phage major capsid protein | WP_080783602.1 phage major capsid protein | WP_082556124.1 phage major capsid protein | WP_086257673.1 phage major capsid protein | WP_086364393.1 phage major capsid protein | WP_086392269.1 phage major capsid protein | WP_095370792.1 phage major capsid protein | WP_103170276.1 phage major capsid protein | WP_103301589.1 phage major capsid protein | WP_107642691.1 phage major capsid protein | WP_135023949.1 phage major capsid protein | WP_198051931.1 phage major capsid protein | WP_264065179.1 phage major capsid protein | WP_369080051.1 phage major capsid protein | WP_389539704.1 phage major capsid protein
