Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - AP008957.1	Upstream	2503	2693431	2693799	1	WP_020907333.1	100	99.2	2.13e-82	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Upstream	2504	2693796	2694194	1	WP_020907334.1	100	99.2	6.89e-95	YopX family protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Upstream	2505	2694191	2694448	1	WP_020907335.1	100	98.8	2.57e-59	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Upstream	2508	2695388	2695708	1	WP_148209198.1	100	99.1	1.33e-64	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Upstream	2509	2695705	2695998	1	WP_041814929.1	100	99.0	6.37e-61	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2510	2696005	2696760	1	CORE	41.6	54.4	1.30e-29	PROTEIN: YP_010093366.1 HNH endonuclease [Vibrio phage 1.238.A._10N.261.52.F10]
CFPICI REGION 1 - AP008957.1	Core	2511	2696747	2697583	1	WP_282380350.1	54.5	86.7	7.84e-84	ArdC-like ssDNA-binding domain-containing protein [Arthrobacter sp. AL12]
CFPICI REGION 1 - AP008957.1	Core	2512	2697677	2698345	1	WP_277376982.1	34.9	82.5	7.91e-35	hypothetical protein [Rhodococcus sp. RCBS9]
CFPICI REGION 1 - AP008957.1	Core	2513	2698379	2698903	1	WP_041814932.1	100	99.4	3.63e-124	terminase small subunit [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2514	2698860	2700068	1	CORE	100	99.8	7.23e-295	PROTEIN: WP_020907341.1 terminase large subunit [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2515	2700086	2700748	1	WP_020907342.1	100	99.5	3.93e-162	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2516	2700911	2702134	1	CORE	100	99.8	2.88e-300	PROTEIN: WP_020907343.1 phage portal protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2517	2702134	2702931	1	WP_378631125.1	98.1	99.6	1.53e-186	phage head morphogenesis protein [Rhodococcus sp. NPDC056516]
CFPICI REGION 1 - AP008957.1	Core	2518	2703245	2703724	1	WP_050768593.1	100	99.4	1.35e-105	restriction endonuclease [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2519	2703668	2704540	-1	WP_041814935.1	100	99.7	1.67e-207	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Core	2520	2704624	2705505	1	CORE	100	99.7	1.86e-201	PROTEIN: WP_020907346.1 HK97 family phage prohead protease [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Downstream	2521	2705538	2706632	1	WP_020907347.1	100	99.7	6.20e-254	phage major capsid protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Downstream	2522	2706632	2706832	1	WP_041814936.1	100	98.5	2.60e-37	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Downstream	2523	2706969	2707487	1	WP_020907348.1	99.4	99.4	7.20e-115	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Downstream	2524	2707487	2707795	1	WP_041814938.1	100	78.6	9.73e-52	hypothetical protein [Rhodococcus erythropolis]
CFPICI REGION 1 - AP008957.1	Downstream	2525	2707795	2708262	1	WP_020907350.1	100	99.4	3.90e-103	HK97 gp10 family phage protein [Rhodococcus erythropolis]
