Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - CP005970.1	Upstream	236	257581	257952	1	WP_137983600.1	98.4	99.2	2.90e-76	MULTISPECIES: DUF3450 domain-containing protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Upstream	237	257952	258290	1	WP_024650633.1	100	99.1	2.69e-60	MULTISPECIES: hypothetical protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Upstream	238	258346	258576	1	WP_032662025.1	100	98.7	5.17e-46	Acb2/Tad1 domain-containing protein [Pseudomonas syringae]
CFPICI REGION 1 - CP005970.1	Upstream	239	258737	259087	1	WP_060707615.1	100	99.1	1.48e-77	hypothetical protein [Pseudomonas syringae]
CFPICI REGION 1 - CP005970.1	Upstream	240	259138	259317	1	WP_057443346.1	100	98.3	7.14e-32	MULTISPECIES: hypothetical protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Core	241	259308	259703	1	CORE	100	99.2	1.34e-96	PROTEIN: WP_060707616.1 HNH endonuclease [Pseudomonas syringae]
CFPICI REGION 1 - CP005970.1	Core	242	259872	260357	1	WP_010436441.1	100	99.4	4.17e-110	MULTISPECIES: phage terminase small subunit P27 family [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Core	243	260358	262091	1	CORE	100	99.8	0.0	PROTEIN: WP_060707617.1 terminase large subunit [Pseudomonas syringae]
CFPICI REGION 1 - CP005970.1	Core	244	262245	263555	1	CORE	100	99.8	1.25e-310	PROTEIN: WP_060707618.1 phage portal protein [Pseudomonas syringae]
CFPICI REGION 1 - CP005970.1	Core	245	263559	264401	1	WP_054986379.1	100	99.6	3.33e-193	MULTISPECIES: head maturation protease, ClpP-related [Pseudomonas]
CFPICI REGION 1 - CP005970.1	Core	246	264413	265798	1	WP_080376660.1	100	99.8	1.03e-308	MULTISPECIES: phage major capsid protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Core	247	265850	266266	1	WP_060707619.1	100	99.3	1.22e-91	hypothetical protein [Pseudomonas syringae]
CFPICI REGION 1 - CP005970.1	Core	248	266270	266743	1	CORE	100	99.4	1.07e-101	PROTEIN: WP_060707620.1 MULTISPECIES: head-tail connector protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Core	249	266743	267081	1	CORE	100	99.1	4.15e-73	PROTEIN: WP_060707621.1 MULTISPECIES: phage head closure protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Downstream	250	267074	267559	1	WP_003370677.1	100	99.4	1.34e-106	MULTISPECIES: HK97-gp10 family putative phage morphogenesis protein [Pseudomonas syringae group]
CFPICI REGION 1 - CP005970.1	Downstream	251	267559	267927	1	WP_046832800.1	100	99.2	1.23e-81	MULTISPECIES: DUF3168 domain-containing protein [Pseudomonas]
CFPICI REGION 1 - CP005970.1	Downstream	252	267991	268491	1	WP_060707622.1	100	99.4	2.59e-120	MULTISPECIES: phage tail tube protein [Pseudomonas]
CFPICI REGION 1 - CP005970.1	Downstream	253	268501	268938	1	WP_054986373.1	100	99.3	2.92e-91	MULTISPECIES: phage tail assembly chaperone family protein, TAC [Pseudomonas]
CFPICI REGION 1 - CP005970.1	Downstream	254	269189	271762	1	WP_060707623.1	100	99.9	0.0	phage tail tape measure protein [Pseudomonas syringae]
