JTIY01000001.1_2|110|1171|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.725	WP_198533171.1 substrate-binding domain-containing protein [Streptomyces sp. AcH 505]	99.7	95.2	8.64e-231
JTIY01000001.1_3|1344|2267|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.733	WP_041983135.1 LysR family transcriptional regulator [Streptomyces sp. AcH 505]	100	99.7	8.29e-212
JTIY01000001.1_4|2416|3177|1|ID=1_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.717	WP_041983137.1 SDR family NAD(P)-dependent oxidoreductase [Streptomyces sp. AcH 505]	100	99.6	1.89e-165
JTIY01000001.1_5|3460|5382|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.715	WP_041983138.1 ATP-binding cassette domain-containing protein [Streptomyces sp. AcH 505]	100	99.8	0.0
JTIY01000001.1_6|5542|6486|1|ID=1_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.719	WP_041994871.1 SDR family oxidoreductase [Streptomyces sp. AcH 505]	100	99.7	1.19e-219
JTIY01000001.1_7|6580|7446|1|ID=1_7;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689	WP_041983139.1 MULTISPECIES: LLM class F420-dependent oxidoreductase [unclassified Streptomyces]	100	99.7	3.14e-211
JTIY01000001.1_8|7594|8931|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.754	WP_041994873.1 class F sortase [Streptomyces sp. AcH 505]	99.5	45.7	8.47e-138
JTIY01000001.1_9|9297|9647|1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.650	WP_041983140.1 MULTISPECIES: PRC-barrel domain-containing protein [unclassified Streptomyces]	100	99.1	3.77e-80
JTIY01000001.1_10|9775|10812|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.706	WP_041983141.1 zinc-dependent alcohol dehydrogenase family protein [Streptomyces sp. AcH 505]	100	99.7	1.92e-252
JTIY01000001.1_11|10799|11503|-1|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.725	WP_041983143.1 TetR/AcrR family transcriptional regulator [Streptomyces sp. AcH 505]	100	99.6	3.87e-160
JTIY01000001.1_12|11646|12677|1|ID=1_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.730	WP_041983144.1 medium chain dehydrogenase/reductase family protein [Streptomyces sp. AcH 505]	100	99.7	8.59e-239
JTIY01000001.1_13|12729|13850|1|ID=1_13;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697	WP_041983145.1 hypothetical protein [Streptomyces sp. AcH 505]	99.7	97.3	2.49e-260
JTIY01000001.1_14|13872|14237|-1|ID=1_14;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.710	WP_052456964.1 MULTISPECIES: cupin domain-containing protein [unclassified Streptomyces]	99.2	99.2	3.24e-83
JTIY01000001.1_15|14542|15381|1|ID=1_15;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.670	WP_041983146.1 ABC transporter ATP-binding protein [Streptomyces sp. AcH 505]	100	99.6	4.96e-199
JTIY01000001.1_16|15353|16189|1|ID=1_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.661	WP_078863352.1 ABC transporter permease subunit [Streptomyces sp. AcH 505]	100	99.6	3.19e-190
JTIY01000001.1_17|16189|17211|1|ID=1_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636	WP_157874242.1 ABC transporter substrate-binding protein [Streptomyces sp. AcH 505]	100	98.5	2.28e-236
JTIY01000001.1_18|17237|18694|1|ID=1_18;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.696	WP_041983150.1 UbiD family decarboxylase [Streptomyces sp. AcH 505]	100	99.8	0.0
JTIY01000001.1_19|18721|19455|1|ID=1_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.698	WP_198533173.1 MULTISPECIES: GntR family transcriptional regulator [unclassified Streptomyces]	100	99.6	1.85e-163
JTIY01000001.1_20|19524|20021|1|ID=1_20;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699	WP_041983152.1 (2Fe-2S)-binding protein [Streptomyces sp. AcH 505]	100	99.4	1.62e-118
JTIY01000001.1_21|20021|22348|1|ID=1_21;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.706	WP_052456965.1 molybdopterin cofactor-binding domain-containing protein [Streptomyces sp. AcH 505]	100	99.9	0.0
JTIY01000001.1_22|22348|23277|1|ID=1_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.740	WP_041983153.1 FAD binding domain-containing protein [Streptomyces sp. AcH 505]	100	99.7	8.51e-206
JTIY01000001.1_23|23567|23860|-1|ID=1_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.731	WP_041983154.1 hypothetical protein [Streptomyces sp. AcH 505]	100	99.0	1.45e-57
JTIY01000001.1_24|24130|25236|1|ID=1_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.742	WP_198533175.1 amidohydrolase family protein [Streptomyces sp. AcH 505]	100	99.7	3.85e-250
JTIY01000001.1_25|25166|25933|-1|ID=1_25;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.723	WP_198533176.1 FCD domain-containing protein [Streptomyces sp. AcH 505]	100	99.6	2.40e-169
JTIY01000001.1_26|25976|26635|1|ID=1_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.706	WP_041983156.1 UbiX family flavin prenyltransferase [Streptomyces sp. AcH 505]	100	99.5	5.99e-152
JTIY01000001.1_27|26628|27815|1|ID=1_27;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.746	WP_041983157.1 XdhC family protein [Streptomyces sp. AcH 505]	100	99.7	2.98e-279
JTIY01000001.1_28|27879|28289|-1|ID=1_28;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.686	WP_107070039.1 MULTISPECIES: Rid family hydrolase [unclassified Streptomyces]	100	99.3	6.06e-91
JTIY01000001.1_29|28286|29413|-1|ID=1_29;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.693	WP_041983159.1 MULTISPECIES: mandelate racemase/muconate lactonizing enzyme family protein [unclassified Streptomyces]	100	99.7	2.23e-273
JTIY01000001.1_30|29400|30191|-1|ID=1_30;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.734	WP_078863353.1 MULTISPECIES: creatininase family protein [unclassified Streptomyces]	100	99.6	3.21e-187
JTIY01000001.1_31|30233|31192|1|ID=1_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.748	WP_078863354.1 ROK family protein [Streptomyces sp. NBC_00370]	100	99.7	1.01e-218
