NZ_NSFK01000001.1_1|882|1955|-1|ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.602	WP_036455347.1 MULTISPECIES: DUF190 domain-containing protein [Mycobacterium]	100	99.7	9.59e-259
NZ_NSFK01000001.1_2|3011|3499|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552	WP_020823986.1 MULTISPECIES: inorganic diphosphatase [Mycobacterium]	100	99.4	1.57e-119
NZ_NSFK01000001.1_3|5104|6555|1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605	WP_020823988.1 MULTISPECIES: MFS transporter [Mycobacterium]	100	99.8	0.0
NZ_NSFK01000001.1_4|6643|7416|1|ID=1_4;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.556	WP_020823989.1 MULTISPECIES: 3'(2'),5'-bisphosphate nucleotidase CysQ [Mycobacterium]	100	99.6	7.33e-190
NZ_NSFK01000001.1_5|7806|8504|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.548	WP_020823990.1 MULTISPECIES: adenylyl-sulfate kinase [Mycobacterium]	100	99.6	4.95e-171
NZ_NSFK01000001.1_6|8572|9498|1|ID=1_6;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.556	WP_020823991.1 MULTISPECIES: sulfotransferase domain-containing protein [Mycobacterium]	100	99.7	1.04e-235
NZ_NSFK01000001.1_7|9700|10938|1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.663	WP_036455349.1 MULTISPECIES: PPE family protein [Mycobacterium]	99.8	99.3	4.91e-261
NZ_NSFK01000001.1_8|11039|11431|1|ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.616	WP_308012937.1 PE family protein [Mycobacterium intracellulare]	100	99.2	1.68e-67
NZ_NSFK01000001.1_9|11443|12825|1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.645	WP_020823994.1 MULTISPECIES: PPE family protein [Mycobacterium]	100	99.8	9.15e-284
NZ_NSFK01000001.1_10|12916|13488|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.632	WP_036454236.1 MULTISPECIES: histidine phosphatase family protein [Mycobacterium]	100	99.5	8.03e-129
NZ_NSFK01000001.1_11|13557|13991|1|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.602	WP_080687305.1 MULTISPECIES: universal stress protein [Mycobacterium]	100	99.3	3.57e-96
NZ_NSFK01000001.1_12|14853|15998|1|ID=1_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.661	WP_036455351.1 MULTISPECIES: PPE family protein [Mycobacterium]	100	99.7	2.11e-225
NZ_NSFK01000001.1_13|16086|17252|1|ID=1_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.642	WP_036454238.1 MULTISPECIES: PPE family protein [Mycobacterium]	100	99.7	1.52e-257
NZ_NSFK01000001.1_14|17346|18503|-1|ID=1_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663	WP_080687280.1 PPE family protein [Mycobacterium intracellulare]	100	99.7	2.52e-220
NZ_NSFK01000001.1_15|18668|19771|-1|ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638	WP_020823999.1 PPE family protein [Mycobacterium intracellulare]	100	99.7	1.73e-241
NZ_NSFK01000001.1_16|20986|21285|1|ID=1_16;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.697	WP_003876474.1 MULTISPECIES: PE family protein [Mycobacterium]	100	99.0	2.88e-49
NZ_NSFK01000001.1_17|21373|21669|1|ID=1_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.650	WP_036454244.1 MULTISPECIES: WXG100 family type VII secretion target [Mycobacterium]	100	99.0	1.18e-61
NZ_NSFK01000001.1_18|21711|21995|1|ID=1_18;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.646	WP_020824001.1 MULTISPECIES: WXG100 family type VII secretion target [Mycobacterium]	100	98.9	7.00e-59
NZ_NSFK01000001.1_19|22560|24683|1|ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.579	WP_036454246.1 MULTISPECIES: AAA family ATPase [Mycobacterium]	100	99.9	0.0
NZ_NSFK01000001.1_20|26076|27155|1|ID=1_20;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.637	WP_020824004.1 MULTISPECIES: DUF190 domain-containing protein [Mycobacterium]	100	99.7	7.06e-262
NZ_NSFK01000001.1_21|27617|28360|1|ID=1_21;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612	WP_020824005.1 MULTISPECIES: LmeA family phospholipid-binding protein [Mycobacterium]	100	94.0	9.13e-151
NZ_NSFK01000001.1_22|28395|29288|-1|ID=1_22;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.659	WP_020824006.1 MULTISPECIES: fructose bisphosphate aldolase [Mycobacterium]	100	99.7	3.09e-202
NZ_NSFK01000001.1_23|29683|30060|1|ID=1_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.659	WP_036457761.1 STAS domain-containing protein [Mycobacterium intracellulare]	100	99.2	2.37e-76
NZ_NSFK01000001.1_24|30094|30342|1|ID=1_24;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.679	WP_225327991.1 MULTISPECIES: ATP-binding protein [Mycobacterium]	87.3	95.2	2.66e-38
NZ_NSFK01000001.1_25|30339|30563|1|ID=1_25;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.724	WP_064940527.1 ATP-binding protein [Mycobacterium intracellulare]	82.4	98.7	3.23e-35
NZ_NSFK01000001.1_26|30576|31655|-1|ID=1_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.690	WP_036457764.1 phosphotransferase family protein [Mycobacterium intracellulare]	100	99.7	2.11e-263
NZ_NSFK01000001.1_27|31652|32788|-1|ID=1_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.652	WP_036457767.1 DUF7064 domain-containing protein [Mycobacterium intracellulare]	100	99.7	6.34e-295
NZ_NSFK01000001.1_28|32844|33530|1|ID=1_28;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.668	WP_036458005.1 TetR/AcrR family transcriptional regulator [Mycobacterium intracellulare]	100	90.0	3.09e-142
NZ_NSFK01000001.1_29|33632|34768|1|ID=1_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.696	WP_036457769.1 phosphotransferase [Mycobacterium intracellulare]	100	99.7	5.70e-273
NZ_NSFK01000001.1_30|34895|36655|1|ID=1_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.695	WP_036457772.1 N-acyl-D-amino-acid deacylase family protein [Mycobacterium intracellulare]	100	99.8	0.0
