NZ_MNAM01000009.1_1|2|2119|1|ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.690	WP_075630239.1 copper-translocating P-type ATPase, partial [Mycobacterium intracellulare]	100	99.9	0.0
NZ_MNAM01000009.1_2|2613|2876|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629	WP_306454150.1 alkylmercury lyase [Mycobacterium avium]	100	98.9	1.92e-54
NZ_MNAM01000009.1_3|3729|4004|-1|ID=1_3;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634	WP_008253499.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	98.9	2.79e-59
NZ_MNAM01000009.1_4|4038|4997|-1|ID=1_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624	WP_008253498.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	99.7	3.75e-230
NZ_MNAM01000009.1_5|5261|7495|-1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570	WP_008253497.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	99.9	0.0
NZ_MNAM01000009.1_6|7561|8373|-1|ID=1_6;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.572	WP_036428439.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	99.6	1.48e-192
NZ_MNAM01000009.1_8|9552|10718|1|ID=1_8;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.638	WP_136244620.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	99.7	1.01e-287
NZ_MNAM01000009.1_10|12413|13309|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.645	WP_008253493.1 CBASS cGAMP-activated phospholipase [Mycobacterium nebraskense]	100	99.7	6.90e-213
NZ_MNAM01000009.1_11|13312|14475|1|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.636	WP_008253492.1 MULTISPECIES: nucleotidyltransferase domain-containing protein [Mycobacterium]	100	99.7	7.45e-294
NZ_MNAM01000009.1_12|14960|15412|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.587	WP_036428428.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	99.3	5.19e-110
